method,cycle,native_right_count_gt095,native_right_max,femstyle_external_count_gt095,femstyle_external_max,n_right_probe,n_external_probe,source
FEM,1,0,-3.95925279025e-06,0,-3.95925279025e-06,1159,1220,u12_cycle_0001.mat
FEM,40,0,-2.572429151225e-05,0,-2.572429151225e-05,1159,1220,u12_cycle_0040.mat
FEM,70,0,-1.7361358777e-05,0,-1.7361358777e-05,1159,1220,u12_cycle_0070.mat
FEM,82,59,1.00062856832114,59,1.00062856832114,1159,1220,u12_cycle_0082.mat
PIDL,0,0,-6.246567068046716e-07,0,0.0007457137107849121,722,200,trained_1NN_0.pt
PIDL,1,0,-1.3863564163330011e-05,0,0.0038954615592956543,722,200,trained_1NN_1.pt
PIDL,2,0,-3.1783583835931495e-05,0,0.004274159669876099,722,200,trained_1NN_2.pt
PIDL,3,0,-4.9424888857174665e-05,0,0.004507184028625488,722,200,trained_1NN_3.pt
PIDL,4,0,-6.594634032808244e-05,0,0.004464149475097656,722,200,trained_1NN_4.pt
PIDL,5,0,-8.430529123870656e-05,0,0.005418270826339722,722,200,trained_1NN_5.pt
PIDL,6,0,-0.00010732317605288699,0,0.007577657699584961,722,200,trained_1NN_6.pt
PIDL,7,0,-0.0001317734713666141,0,0.008158862590789795,722,200,trained_1NN_7.pt
PIDL,8,0,-0.00015160013572312891,0,0.010573923587799072,722,200,trained_1NN_8.pt
PIDL,9,0,-0.0001732130185700953,0,0.010899096727371216,722,200,trained_1NN_9.pt
PIDL,10,0,-0.00018854117661248893,0,0.010728389024734497,722,200,trained_1NN_10.pt
PIDL,11,0,-0.0002074675721814856,0,0.011452794075012207,722,200,trained_1NN_11.pt
PIDL,12,0,-0.00022931768035050482,0,0.011469095945358276,722,200,trained_1NN_12.pt
PIDL,13,0,-0.00024960757582448423,0,0.011652767658233643,722,200,trained_1NN_13.pt
PIDL,14,0,-0.00027269389829598367,0,0.011819273233413696,722,200,trained_1NN_14.pt
PIDL,15,0,-0.00029858018388040364,0,0.011850118637084961,722,200,trained_1NN_15.pt
PIDL,16,0,-0.0003204827371519059,0,0.011707156896591187,722,200,trained_1NN_16.pt
PIDL,17,0,-0.00034359528217464685,0,0.011628538370132446,722,200,trained_1NN_17.pt
PIDL,18,0,-0.00036275817546993494,0,0.011652350425720215,722,200,trained_1NN_18.pt
PIDL,19,0,-0.0003814284864347428,0,0.01247134804725647,722,200,trained_1NN_19.pt
PIDL,20,0,-0.0003996753948740661,0,0.013020873069763184,722,200,trained_1NN_20.pt
PIDL,21,0,-0.00041660881834104657,0,0.013387680053710938,722,200,trained_1NN_21.pt
PIDL,22,0,-0.00043195797479711473,0,0.013063818216323853,722,200,trained_1NN_22.pt
PIDL,23,0,-0.0004506619297899306,0,0.013279139995574951,722,200,trained_1NN_23.pt
PIDL,24,0,-0.00046756150550208986,0,0.014075756072998047,722,200,trained_1NN_24.pt
PIDL,25,0,-0.00048344137030653656,0,0.013861507177352905,722,200,trained_1NN_25.pt
PIDL,26,0,-0.0005023446283303201,0,0.015800952911376953,722,200,trained_1NN_26.pt
PIDL,27,0,-0.0005149231292307377,0,0.015618830919265747,722,200,trained_1NN_27.pt
PIDL,28,0,-0.0005289094988256693,0,0.015391230583190918,722,200,trained_1NN_28.pt
PIDL,29,0,-0.0005461993278004229,0,0.015952348709106445,722,200,trained_1NN_29.pt
PIDL,30,0,-0.0005511086201295257,0,0.016729414463043213,722,200,trained_1NN_30.pt
PIDL,31,0,-0.0005658881855197251,0,0.019538938999176025,722,200,trained_1NN_31.pt
PIDL,32,0,-0.0005804479587823153,0,0.021339237689971924,722,200,trained_1NN_32.pt
PIDL,33,0,-0.0005942767020314932,0,0.024140983819961548,722,200,trained_1NN_33.pt
PIDL,34,0,-0.0006016073748469353,0,0.023381590843200684,722,200,trained_1NN_34.pt
PIDL,35,0,-0.0006200869102030993,0,0.02312406897544861,722,200,trained_1NN_35.pt
PIDL,36,0,-0.0006365652661770582,0,0.02491927146911621,722,200,trained_1NN_36.pt
PIDL,37,0,-0.000650188943836838,0,0.02717745304107666,722,200,trained_1NN_37.pt
PIDL,38,0,-0.0006590514676645398,0,0.02667441964149475,722,200,trained_1NN_38.pt
PIDL,39,0,-0.0006678655627183616,0,0.026946455240249634,722,200,trained_1NN_39.pt
PIDL,40,0,-0.0006835091626271605,0,0.025831639766693115,722,200,trained_1NN_40.pt
PIDL,41,0,-0.0006960361497476697,0,0.02593022584915161,722,200,trained_1NN_41.pt
PIDL,42,0,-0.0007091324659995735,0,0.026982218027114868,722,200,trained_1NN_42.pt
PIDL,43,0,-0.0007227037567645311,0,0.028939366340637207,722,200,trained_1NN_43.pt
PIDL,44,0,-0.0007264979067258537,0,0.029630213975906372,722,200,trained_1NN_44.pt
PIDL,45,0,-0.0007363367476500571,0,0.03121533989906311,722,200,trained_1NN_45.pt
PIDL,46,0,-0.0007506261463277042,0,0.03266414999961853,722,200,trained_1NN_46.pt
PIDL,47,0,-0.0007559216464869678,0,0.03280588984489441,722,200,trained_1NN_47.pt
PIDL,48,0,-0.0007608483429066837,0,0.03314322233200073,722,200,trained_1NN_48.pt
PIDL,49,0,-0.000766233482863754,0,0.03342461585998535,722,200,trained_1NN_49.pt
PIDL,50,0,-0.000776183616835624,0,0.033197611570358276,722,200,trained_1NN_50.pt
PIDL,51,0,-0.0007737489067949355,0,0.03300479054450989,722,200,trained_1NN_51.pt
PIDL,52,0,-0.0007838116143830121,0,0.032868921756744385,722,200,trained_1NN_52.pt
PIDL,53,0,-0.0007912724395282567,0,0.03302636742591858,722,200,trained_1NN_53.pt
PIDL,54,0,-0.0007933485903777182,0,0.032269030809402466,722,200,trained_1NN_54.pt
PIDL,55,0,-0.0008017797954380512,0,0.032415807247161865,722,200,trained_1NN_55.pt
PIDL,56,0,-0.0008112168870866299,0,0.034182220697402954,722,200,trained_1NN_56.pt
PIDL,57,0,-0.0008065407746471465,0,0.03524744510650635,722,200,trained_1NN_57.pt
PIDL,58,0,-0.000816690968349576,0,0.035146474838256836,722,200,trained_1NN_58.pt
PIDL,59,0,-0.0008235216373577714,0,0.03485208749771118,722,200,trained_1NN_59.pt
PIDL,60,0,-0.0008377847843803465,0,0.035905420780181885,722,200,trained_1NN_60.pt
PIDL,61,0,-0.0008452015463262796,0,0.03599107265472412,722,200,trained_1NN_61.pt
PIDL,62,0,-0.0008421025704592466,0,0.038980305194854736,722,200,trained_1NN_62.pt
PIDL,63,0,-0.0008603797177784145,0,0.04084140062332153,722,200,trained_1NN_63.pt
PIDL,64,0,-0.0008589167846366763,0,0.04064512252807617,722,200,trained_1NN_64.pt
PIDL,65,0,-0.0008652372634969652,0,0.041181087493896484,722,200,trained_1NN_65.pt
PIDL,66,0,-0.0008750202832743526,0,0.04020655155181885,722,200,trained_1NN_66.pt
PIDL,67,0,-0.0008721724152565002,0,0.04117819666862488,722,200,trained_1NN_67.pt
PIDL,68,0,-0.0008658702718093991,0,0.04217013716697693,722,200,trained_1NN_68.pt
PIDL,69,0,-0.0008617067942395806,0,0.042129337787628174,722,200,trained_1NN_69.pt
PIDL,70,0,-0.0008782897493802011,0,0.04219728708267212,722,200,trained_1NN_70.pt
