cycle,E_el_recomputed,E_total_recomputed,bulk_syy_max_abs,bulk_syy_rms,E_el_saved,alpha_bar_max_saved,alpha_bar_mean_saved,f_min_saved,L_max_tn_over_ref,L_max_ts_over_ref,L_rms_t_over_ref,L_rms_tn_over_ref,L_rms_ts_over_ref,L_signed_mean_tn_over_ref,L_signed_mean_ts_over_ref,L_cancellation_tn,L_cancellation_ts,L_abs_boundary_work_over_Eel,L_signed_boundary_work_over_Eel,R_max_tn_over_ref,R_max_ts_over_ref,R_rms_t_over_ref,R_rms_tn_over_ref,R_rms_ts_over_ref,R_signed_mean_tn_over_ref,R_signed_mean_ts_over_ref,R_cancellation_tn,R_cancellation_ts,R_abs_boundary_work_over_Eel,R_signed_boundary_work_over_Eel,both_rms_t_over_ref,both_signed_mean_tn_over_ref,both_signed_mean_ts_over_ref,both_cancellation_tn,both_cancellation_ts,both_abs_boundary_work_over_Eel,both_signed_boundary_work_over_Eel
1,0.004576270468533039,0.010042363777756691,0.5059273838996887,0.0987573191523552,0.0045762695372104645,0.5852558612823486,0.011249533854424953,0.849054753780365,0.07183837890625,0.01934868097305298,0.00709374482360678,0.0058789735481741216,0.003969746415196747,0.0012581951306294859,-8.385505772836318e-05,0.36773452859838146,0.025364097844745175,0.02294139191508293,-0.018567245453596115,0.049142025411129,0.023319000378251076,0.0066172814822786806,0.004288814820077113,0.005039293813168933,-0.00014004964145450965,-4.171703870685951e-05,0.06912885165960411,0.00993299242166903,0.031122000887989998,0.011375012807548046,0.0068571292451846365,0.0005516683624495315,-6.256286034472506e-05,0.2030948582055525,0.01664931968993978,0.05406339509284315,-0.007192230131741932
5,0.004571153316646814,0.009973263368010521,0.4927399456501007,0.09873880445957184,0.004571153782308102,1.780197262763977,0.03359351307153702,0.1923336237668991,0.04241935908794403,0.024330750107765198,0.00716552427013969,0.005967190073262287,0.0039670364581320386,0.0014182641787782086,-0.00010437383316981413,0.4045998795693776,0.0316359853931383,0.0228672344237566,-0.018411438912153244,0.051316943019628525,0.017477888613939285,0.006379495604226518,0.003928372079486699,0.005026515233304477,-0.0001324163446927634,-3.701124439070592e-05,0.07074485192631763,0.008808731648749563,0.030104270204901695,0.011384578421711922,0.0067797471804979526,0.0006347122641142259,-7.03358388012234e-05,0.2368420272620291,0.018730191550469014,0.05297150481284767,-0.007026860493371069
20,0.004319996573030949,0.00968160480260849,0.5897642970085144,0.09571494907140732,0.004319996573030949,5.826514720916748,0.1155213937163353,0.024984518066048622,0.040736421942710876,0.017031684517860413,0.006027069599204738,0.005044459669705798,0.0032983325764813403,0.0010726314835787247,-6.877487879708893e-05,0.37094384416453935,0.025200999263244706,0.024227721616625786,-0.019389960914850235,0.031428609043359756,0.017033657059073448,0.005275596959271636,0.002678742122725894,0.004544916509661883,-4.63430469140996e-05,-6.604436045092271e-05,0.032228406506038206,0.01749394040519386,0.033212315291166306,0.012286202050745487,0.0056598384105207246,0.0005072187512808603,-6.739518157595918e-05,0.23513982554974716,0.020687948900280112,0.05744003909746312,-0.007103760380550826
40,0.0037882253527641296,0.009276328608393669,0.5543197989463806,0.08873456716537476,0.0037882239557802677,10.263578414916992,0.2179018259048462,0.008631507866084576,0.03638244792819023,0.014393288642168045,0.005892746550301437,0.00479244746782319,0.0034288354895696672,0.0011092188280078705,-0.00014969235522129006,0.4028481146861024,0.05195380338876903,0.027290912345051765,-0.02296147495508194,0.026459580287337303,0.013449049554765224,0.006463776175832475,0.0027431031700946985,0.00585284459203137,-6.589841480370833e-05,-3.721809802334776e-05,0.04051668773010393,0.007784516719724099,0.043919093906879425,0.015737084671854973,0.006187874973196469,0.000515437388977019,-9.285962748419951e-05,0.23600844536870735,0.024174574523824273,0.07121000523628956,-0.007224389817608628
60,0.0029987157322466373,0.008824539370834827,0.511934220790863,0.07715445756912231,0.0029987164307385683,12.68447494506836,0.30933377146720886,0.005752734839916229,0.0411088801920414,0.0161054078489542,0.005574210637629265,0.004549700579159143,0.0032205663833209663,0.0010636567839529035,-6.302725531983776e-05,0.3952153988143566,0.02350286178085227,0.028546620160341263,-0.02411312609910965,0.03072364814579487,0.021815339103341103,0.008686484808002394,0.0031334419684850012,0.008101640047114677,-0.00021705476613773894,-5.5534767100208035e-05,0.11023383947270377,0.008921492862458203,0.0661994144320488,0.018806183710694313,0.007314263834883332,0.00041651907061952977,-5.924134899638744e-05,0.17904310783570096,0.013247113594990024,0.09474603430993386,-0.005306940989321838
70,0.002464168705046177,0.00857841782271862,0.5260750651359558,0.06811783462762833,0.0024641682393848896,13.313019752502441,0.34954580664634705,0.00524110347032547,0.051083412021398544,0.01780097745358944,0.004776462251057237,0.003920799396249182,0.002727988561237583,0.0008879689739458083,-4.012129294725164e-06,0.38711234743301776,0.0017948614331924288,0.029042955487966537,-0.023823976516723633,0.03274448588490486,0.028936343267560005,0.01023573350130154,0.003876699775239843,0.009473196253714136,-0.0002754340919519719,-1.2729591927198405e-05,0.1175390211668317,0.0019545027913838425,0.08649931848049164,0.015635596588253975,0.008014138286932017,0.00030010667750877897,-8.41702689284004e-06,0.12942065314539947,0.0019143523764183889,0.11554227634609499,-0.008188380587429059
80,0.0018038908019661903,0.00829993560910225,0.5166970491409302,0.054767731577157974,0.0018038898706436157,14.1289644241333,0.3845680058002472,0.0046727536246180534,0.03675167262554169,0.017276516184210777,0.004163913478524787,0.0034055051197331146,0.00239597844288292,0.0007480199161486943,-5.426902268922932e-05,0.39182542939314746,0.028061510803750477,0.033948808908462524,-0.027843201532959938,0.06010161712765694,0.05413646996021271,0.014945753385613915,0.00671145170222586,0.013354100136894205,-6.253560049088172e-05,-1.9425081878650654e-05,0.016026110901451625,0.0022348047012745536,0.15255050361156464,-0.01163378544151783,0.011020341667249328,0.0003384498850932424,-3.6662486140998275e-05,0.1160609309561431,0.0068543530079095884,0.18649932906113614,-0.03947698625081461
82,0.0016447319649159908,0.008237228728830814,0.515300452709198,0.0509968101978302,0.0016447314992547035,14.291428565979004,0.39088743925094604,0.004570669028908014,0.048103250563144684,0.019145848229527473,0.004169163143946189,0.0034642713616907994,0.002319643848752277,0.000710667755114856,-1.3033347672918635e-05,0.37069941178515514,0.007281967657149515,0.03361949697136879,-0.02660011686384678,0.08907196670770645,0.06354495882987976,0.01710296587790347,0.008194181970634472,0.01501222353931445,0.00015011966219432692,-8.647561218265948e-05,0.032534901529532326,0.008780989300498337,0.19011251628398895,-0.027435241267085075,0.01250614388443849,0.00042742532492037543,-5.014340983885062e-05,0.13031706921583455,0.00855455659915487,0.22373202167722367,-0.05403535787091341
90,0.0010511103319004178,0.007984240539371967,0.5520809888839722,0.0317668542265892,0.0010511105647310615,14.901534080505371,0.4137325882911682,0.004215722903609276,0.04628293216228485,0.017566068097949028,0.003253925141097614,0.0027885137210789837,0.001676967741161237,0.0004609607159671508,5.628005668878731e-06,0.29159326088027987,0.0044040556817822735,0.03997692093253136,-0.029816417023539543,0.3369522988796234,0.11035305261611938,0.0326259554507685,0.024315657273690505,0.02175320054009865,0.00035967260352986146,2.0066382821584966e-05,0.03925984770575811,0.0013320622715263296,0.512207567691803,-0.17523294687271118,0.023304531281517448,0.0004097802486863428,1.2923557790089568e-05,0.07572779098757451,0.0015676252142635917,0.5521844862192589,-0.2050493598316495
93,2.876227517845109e-05,0.007446609437465668,0.08758723735809326,0.004175698850303888,2.8760434361174703e-05,15.069809913635254,0.4189649522304535,0.004125089384615421,0.2276960164308548,0.09686794877052307,0.0163379098310105,0.014412849530783207,0.007693963028549409,0.0008496594501865469,-0.0001046688944265407,0.13655571865157295,0.03046638718045189,0.4316980540752411,0.041168518364429474,0.746075451374054,0.3423021137714386,0.04530594470285205,0.03904263739647628,0.022984801705717026,-0.00038865771305938534,0.00031556553098092976,0.03063771676020471,0.04287143286708122,1.1886194944381714,-0.006987936329096556,0.03419406497966343,0.00022394341069611093,0.000107673689957145,0.023602651732451636,0.019869905155539384,1.6203175198473436,0.03418058724776621
