archive,status,level,code,detail
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_off,WARN,WARN,name_parse,could not parse archive name — non-standard layout
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.167_N50_R0.0,WARN,WARN,name_parse,could not parse archive name — non-standard layout
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N1000_R0.0_Umax0.08_mono,PASS,PASS,ok,
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N200_R0.0_Umax0.11,PASS,PASS,ok,
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12,PASS,PASS,ok,
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N500_R0.0_Umax0.09,PASS,PASS,ok,
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N600_R0.0_Umax0.1,FAIL,FAIL,resume_from_foreign,first x_tip=0.2829 > 0.05 (strong evidence the run inherited a non-fresh checkpoint)
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N800_R0.0_Umax0.08,PASS,PASS,ok,
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N10_R0.0_Umax0.12_alpha1_corridor_v1,WARN,WARN,missing_settings,"model_settings.txt missing (incomplete run, or method runner skipped writing)"
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N10_R0.0_Umax0.12_oracle_zone0.02_movingzone,WARN,WARN,missing_settings,"model_settings.txt missing (incomplete run, or method runner skipped writing)"
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N250_R0.0_Umax0.11,PASS,PASS,ok,
