method,evidence,component,field,metric,cycle,score,note
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,crack_strip_mean,40,1.4798232174442454,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,max,40,0.01106374137312905,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,p99,40,0.302503777051387,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,tip_2l0_mean,40,1.2419229269039995,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,tip_l0_mean,40,1.1438333844825164,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,damage_alpha,top1_mean,40,0.12215337915516811,
baseline,same_probe_projected_FEM_to_PIDL,strict_probe,psi_plus,crack_strip_mean,40,7.928772129893726,
baseline,same_probe_projected_FEM_to_PIDL,strict_probe,psi_plus,max,40,9.848236351724205,
baseline,same_probe_projected_FEM_to_PIDL,strict_probe,psi_plus,p99,40,0.7776013226461223,
baseline,same_probe_projected_FEM_to_PIDL,strict_boundary_band,psi_plus,right_band_mean,40,0.01723200622562359,
baseline,same_probe_projected_FEM_to_PIDL,strict_tip_driver,psi_plus,tip_2l0_mean,40,11.286946847277878,
baseline,same_probe_projected_FEM_to_PIDL,strict_tip_driver,psi_plus,tip_l0_mean,40,11.884811150206371,
baseline,same_probe_projected_FEM_to_PIDL,strict_probe,psi_plus,top1_mean,40,8.898874165784363,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,alpha_bar,crack_strip_mean,40,0.44430276049000655,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,alpha_bar,max,40,2.5931301076659405,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,alpha_bar,p99,40,0.09478644624844769,
baseline,same_probe_projected_FEM_to_PIDL,strict_boundary_band,alpha_bar,right_band_mean,40,0.06573430836218477,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,alpha_bar,tip_2l0_mean,40,0.3972712600109517,
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,alpha_bar,tip_l0_mean,40,0.7969604602586501,
