method,evidence,component,n_metrics,score_mean,score_median,score_max
femAnchorBC,same_probe_compact,compact_boundary_band,9,0.8170845883068346,0.01603067095294617,7.25217099485195
baseline,same_probe_compact,compact_boundary_band,9,1.4233030093334216,0.02095578525915232,12.608719717739282
femAnchorBC,same_probe_compact,compact_tip_driver,3,11.603377754888783,11.91690185485761,12.280034288993882
baseline,same_probe_compact,compact_tip_driver,3,12.393518573921797,12.714684977021008,13.178923897466603
femAnchorBC,ROLLUP,guardrail_raw_or_log_mean,15,0.34731736079918263,0.0712100052362895,3.131269007045355
baseline,ROLLUP,guardrail_raw_or_log_mean,15,0.9900829804815323,0.1511705043759932,4.337707664065778
Exp18 fourier_s2_all,exp18_summary_partial,partial_damage,2,0.293697503444737,0.293697503444737,0.5484177601600035
Exp18 mlp_s1_alpha,exp18_summary_partial,partial_damage,2,0.299985756059647,0.299985756059647,0.5609328267834033
Exp18 mlp_s2_all,exp18_summary_partial,partial_damage,2,0.312554479877464,0.312554479877464,0.5856692829035012
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_damage,2,0.50378014989968,0.50378014989968,0.9697323068300433
Exp18 mlp_s2_all,exp18_summary_partial,partial_fatigue,1,3.5995550123372757,3.5995550123372757,3.5995550123372757
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_fatigue,1,3.6819293680284275,3.6819293680284275,3.6819293680284275
Exp18 fourier_s2_all,exp18_summary_partial,partial_fatigue,1,4.174194977647421,4.174194977647421,4.174194977647421
Exp18 mlp_s1_alpha,exp18_summary_partial,partial_fatigue,1,4.542194753185022,4.542194753185022,4.542194753185022
Exp18 mlp_s2_all,exp18_summary_partial,partial_history,2,1.7308692335832248,1.7308692335832248,3.2147560845928123
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_history,2,1.7547650104387928,1.7547650104387928,3.2578821988996016
Exp18 fourier_s2_all,exp18_summary_partial,partial_history,2,1.8845432726262608,1.8845432726262608,3.517528758695767
Exp18 mlp_s1_alpha,exp18_summary_partial,partial_history,2,2.1654552689235453,2.1654552689235453,3.714206071061669
Exp18 fourier_s2_all,exp18_summary_partial,partial_morphology,3,2.2390833955120604,3.3276265742124496,3.34462361232372
Exp18 mlp_s2_all,exp18_summary_partial,partial_morphology,3,2.239630213581681,3.335802093673794,3.3380885470712363
Exp18 mlp_s1_alpha,exp18_summary_partial,partial_morphology,3,2.3094751108846308,3.376481420289788,3.5069439123640933
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_morphology,3,2.4840927166508524,3.6256756176913245,3.7816025322612212
femAnchorBC,energy_reaction_proxy,reaction_guardrail,5,0.7999118526708806,0.2539208454105628,3.131269007045355
baseline,energy_reaction_proxy,reaction_guardrail,5,1.3043785734983488,0.23885978142993672,4.337707664065778
femAnchorBC,ROLLUP,strict_available_mean,93,2.7204331454214326,0.2103534614707188,12.575826159263789
baseline,ROLLUP,strict_available_mean,94,3.057163797734472,0.2844100267112561,15.123767468129232
femAnchorBC,same_probe_projected_FEM_to_PIDL,strict_boundary_band,9,0.8170845883068284,0.01603067095294617,7.252170994851899
baseline,same_probe_projected_FEM_to_PIDL,strict_boundary_band,10,1.3076043360371923,0.025701174147306702,12.608719717739282
femAnchorBC,same_probe_projected_FEM_to_PIDL,strict_damage_history,36,0.6486409443733527,0.4987352871368116,2.939576565180984
baseline,same_probe_projected_FEM_to_PIDL,strict_damage_history,36,0.7792584657253675,0.5841151807614362,3.3846662970266825
femAnchorBC,same_probe_projected_FEM_to_PIDL,strict_probe,30,3.648641448508852,0.06172807512532352,11.385651159583693
baseline,same_probe_projected_FEM_to_PIDL,strict_probe,30,4.019385169861778,0.15493874329260066,15.123767468129232
femAnchorBC,same_probe_projected_FEM_to_PIDL,strict_tip_driver,6,11.778718202882942,12.09846807192579,12.575826159263789
baseline,same_probe_projected_FEM_to_PIDL,strict_tip_driver,6,12.612035159822604,12.92762739573486,13.466274272514799
v4 add-only adaptive sampling,native_summary_vs_FEM_summary,summary_damage,2,0.48674472512240985,0.48674472512240985,0.9341557832216751
PIDL baseline,native_summary_vs_FEM_summary,summary_damage,2,0.5010368800554805,0.5010368800554805,0.962944457848183
v4 add-only adaptive sampling,native_summary_vs_FEM_summary,summary_fatigue,2,1.7575100888289634,1.7575100888289634,3.5141989256607555
PIDL baseline,native_summary_vs_FEM_summary,summary_fatigue,2,1.9568095828025789,1.9568095828025789,3.911798327698942
v4 add-only adaptive sampling,native_summary_vs_FEM_summary,summary_history,2,1.6096076742449328,1.6096076742449328,3.1701551247375477
PIDL baseline,native_summary_vs_FEM_summary,summary_history,2,1.7111440078880233,1.7111440078880233,3.3786922830054
v4 add-only adaptive sampling,native_summary_vs_FEM_summary,summary_morphology,5,0.42935203762834967,0.08834328076352498,1.0375103858868366
PIDL baseline,native_summary_vs_FEM_summary,summary_morphology,5,0.47950423843433965,0.08092718189074748,1.2149650509096666
v4 add-only adaptive sampling,ROLLUP,summary_or_partial_mean,11,0.8958622876849418,0.08834328076352498,3.5141989256607555
PIDL baseline,ROLLUP,summary_or_partial_mean,11,0.9759547394239878,0.08092718189074748,3.911798327698942
Exp18 mlp_s2_all,ROLLUP,summary_or_partial_mean,8,1.8006616350004618,1.9002126837481568,3.5995550123372757
Exp18 fourier_s2_all,ROLLUP,summary_or_partial_mean,8,1.9059908395406997,1.9380221671862266,4.174194977647421
Exp18 siren_s2_all_adapthist_wr010,ROLLUP,summary_or_partial_mean,8,1.9564122298322415,2.1138072528648224,3.7816025322612212
Exp18 mlp_s1_alpha,ROLLUP,summary_or_partial_mean,8,2.0501877669756623,1.9965929435376049,4.542194753185022
femAnchorBC,boundary_residual_raw,v7_guardrail,10,0.12102011486333364,0.047257268258903445,0.5521844862192589
baseline,boundary_residual_raw,v7_guardrail,10,0.8329351839731242,0.0920230553597659,2.612878459657487
