archive,umax,Nf_pidl,Nf_fem,log_ratio,err_nf,err_phys_mean,J
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N800_R0.0_Umax0.08,0.08,741,396,0.6266,0.3926,4.2708,13.2050
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12,0.12,289,82,1.2597,1.5869,4.9298,16.3763
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_psiHack_m1000_r0.02_cycle91_Nf81_real_fracture,0.12,91,82,0.1041,0.0108,5.7605,17.2923
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N500_R0.0_Umax0.09,0.09,286,254,0.1187,0.0141,6.2314,18.7084
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N600_R0.0_Umax0.1,0.1,205,170,0.1872,0.0350,7.6217,22.9002
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_golahmar_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.8_r0.03_cycle164_Nf154_real_fracture,0.12,164,82,0.6931,0.4805,7.8350,23.9853
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N700_R0.0_Umax0.08,0.08,350,396,-0.1235,0.0152,8.2905,24.8869
hl_6_Neurons_100_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N200_R0.0_Umax0.11,0.11,140,117,0.1795,0.0322,8.3991,25.2296
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N400_R0.0_Umax0.09,0.09,235,254,-0.0777,0.0060,9.2421,27.7322
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.8_r0.03_cycle90_Nf80_real_fracture,0.12,90,82,0.0931,0.0087,9.7075,29.1311
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N350_R0.0_Umax0.1,0.1,170,170,0.0000,0.0000,11.2379,33.7138
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N250_R0.0_Umax0.11,0.11,122,117,0.0418,0.0018,11.2663,33.8007
hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.11,0.11,124,117,0.0581,0.0034,12.4704,37.4144
hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N600_R0.0_Umax0.08,0.08,332,396,-0.1763,0.0311,12.7796,38.3698
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.5_r0.1_cycle86_Nf76_real_fracture,0.12,86,82,0.0476,0.0023,12.7892,38.3700
hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N400_R0.0_Umax0.1,0.1,165,170,-0.0299,0.0009,12.8028,38.4092
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_2_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N700_R0.0_Umax0.12,0.12,95,82,0.1472,0.0217,12.8630,38.6108
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_enriched_ansatz_modeI_v2_cinit0.1_rcut0.05,0.12,93,82,0.1259,0.0158,13.5280,40.5999
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_enriched_ansatz_modeI_v1_cycle94_Nf84_real_fracture,0.12,94,82,0.1366,0.0187,14.0016,42.0235
hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N500_R0.0_Umax0.09,0.09,227,254,-0.1124,0.0126,14.1112,42.3462
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N3_R0.0_Umax0.12_mit8_K1_lam1.0,0.12,92,82,0.1151,0.0132,14.4204,43.2744
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_fourier_nf16_sig1.0_v1_cycle94_Nf84_real_fracture,0.12,94,82,0.1366,0.0187,14.6267,43.8987
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12,0.12,90,82,0.0931,0.0087,14.6337,43.9098
hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12,0.12,92,82,0.1151,0.0132,15.4090,46.2402
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_3_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N700_R0.0_Umax0.12,0.12,90,82,0.0931,0.0087,15.4195,46.2672
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std_v3_cycle69_Kt15p6_fallback_false_stop,0.12,69,82,-0.1726,0.0298,18.1372,54.4415
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std_v4_cycle87_Nf77_real_fracture,0.12,87,82,0.0592,0.0035,18.2509,54.7562
