cycle,precrack_half_width,precrack_x_max,fem_n_elem_precrack_mask,fem_n_elem_outside_precrack,fem_d_max_outside_precrack,fem_d_mean_outside_precrack,fem_hist_max_outside_precrack,fem_hist_mean_outside_precrack,fem_f_min_outside_precrack,fem_f_mean_outside_precrack,fem_psi_max_outside_precrack,fem_psi_mean_outside_precrack,fem_E_el,fem_E_d,pidl_n_elem_precrack_mask,pidl_n_elem_outside_precrack,pidl_hist_max_outside_precrack,pidl_hist_mean_outside_precrack,pidl_f_min_outside_precrack,pidl_f_mean_outside_precrack,pidl_psi_max_outside_precrack,pidl_psi_mean_outside_precrack,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_E_hist_outside_precrack,fem_E_d_increment_from_first,pidl_E_d_outside_increment_from_first,ratio_E_d_outside_increment_pidl_over_fem,ratio_hist_max_outside_pidl_over_fem,ratio_hist_mean_outside_pidl_over_fem,ratio_f_min_outside_pidl_over_fem,ratio_psi_max_outside_pidl_over_fem
1,0.02,0.0,2053,75677,0.07689806073904037,1.961171074071899e-05,1.2298473119735718,0.011120691895484924,0.4666893184185028,0.9999803900718689,1.4555232524871826,0.011139282956719398,0.00485565,5.07731e-07,11599,55677,0.7367163896560669,0.0142222512513399,0.6538223028182983,0.9999727010726928,0.3754083216190338,0.0071169016882777,0.0047701951116323,6.746650615241379e-05,0.0,0.0,0.0,,0.5990307760024589,1.2788998548835104,1.4009797889395539,0.2579198380908997
2,0.02,0.0,2053,75677,0.13840357959270477,2.778727503027767e-05,2.476581335067749,0.022251272574067116,0.17502504587173462,0.9999064803123474,1.7178995609283447,0.011162054724991322,0.00485449,2.39495e-06,11599,55677,1.119983196258545,0.0213412195444107,0.3810473978519439,0.9998430013656616,0.3832668364048004,0.007118968758732,0.0047695012763142,5.657953443005681e-05,0.0,1.8872189999999998e-06,-1.0886971722356975e-05,-5.768790862298958,0.4522295231736885,0.9591010794269338,2.177102116751855,0.22310200498432217
3,0.02,0.0,2053,75677,0.26593104004859924,5.236258584773168e-05,3.7698681354522705,0.03340206667780876,0.08221747726202011,0.9997631907463074,2.5722715854644775,0.011220172047615051,0.00485174,1.41238e-05,11599,55677,1.474104404449463,0.0284626558423042,0.2566018402576446,0.9996126294136048,0.3829941153526306,0.0071214358322322,0.004768718034029,4.401749902172014e-05,0.0,1.3616069e-05,-2.3449007130693644e-05,-1.7221568964356484,0.391022802783688,0.8521225981868318,3.1210133028027163,0.1488933429568142
4,0.02,0.0,2053,75677,0.9353845119476318,0.0002709231630433351,4.673244476318359,0.04471021890640259,0.04857860878109932,0.9995048642158508,90.99286651611328,0.013109080493450165,0.00482873,0.000125612,11599,55677,1.8097518682479856,0.0355865247547626,0.1874430328607559,0.9993196129798888,0.3630914390087127,0.0071238675154745,0.0047673848457634,3.1175706681096926e-05,0.0,0.000125104269,-3.629079947131686e-05,-0.2900844212703634,0.3872581195824214,0.7959371621342374,3.858550863516806,0.003990328614874612
5,0.02,0.0,2053,75677,1.007691502571106,0.0005650121020153165,5.283147811889648,0.05610961839556694,0.03764703869819641,0.9991582036018372,316.7960205078125,0.02171712927520275,0.00480511,0.000165082,11599,55677,2.1495938301086426,0.0427248142659664,0.1424430906772613,0.998969554901123,0.3830268383026123,0.0071382909081876,0.0047581330873072,2.567707451817114e-05,0.0,0.000164574269,-4.1789431634242646e-05,-0.25392445543381176,0.4068774727958609,0.7614525902628838,3.783646618773376,0.0012090645510276115
6,0.02,0.0,2053,75677,1.0148916244506836,0.0009869495406746864,5.812063694000244,0.06757359951734543,0.035486552864313126,0.9987387657165527,572.10498046875,0.040862832218408585,0.00477568,0.000201671,11599,55677,2.3830525875091553,0.0498525612056255,0.1203080937266349,0.9985837936401368,0.4446184635162353,0.0071277455426752,0.0047353086993098,3.086216020165011e-05,0.0,0.000201163269,-3.660434595076367e-05,-0.1819633680280055,0.41001831930526933,0.7377520446106897,3.390244586073113,0.0007771623717590091
7,0.02,0.0,2053,75677,1.0174702405929565,0.001559330034069717,6.646164417266846,0.07909907400608063,0.033786579966545105,0.9981898665428162,888.810791015625,0.07618817687034607,0.00474113,0.000243963,11599,55677,2.4338858127593994,0.0569640286266803,0.1161752417683601,0.9981548190116882,0.4766480028629303,0.0071114711463451,0.0047081881202757,3.865519829560071e-05,0.0,0.00024345526900000002,-2.8811307856813073e-05,-0.11834333253560872,0.3662090884234106,0.7201604992531426,3.4385025617684546,0.0005362761204983513
8,0.02,0.0,2053,75677,1.0185401439666748,0.002123328624293208,7.740311622619629,0.09063573181629181,0.0325305238366127,0.9975279569625854,1155.4456787109375,0.11467821151018143,0.00471147,0.000280359,11599,55677,2.462283134460449,0.0640555545687675,0.1139585450291633,0.9976806640625,0.5354892015457153,0.0070915236137807,0.0046826456673443,4.4909174903295934e-05,0.0,0.00027985126899999997,-2.255733124911785e-05,-0.08060471310250822,0.3181116283826199,0.7067362207501202,3.503126651188579,0.0004634481840315756
9,0.02,0.0,2053,75677,1.0199437141418457,0.0028420938178896904,9.216608047485352,0.10220857709646225,0.03138389438390732,0.9967685341835022,1477.4266357421875,0.1849796324968338,0.00467535,0.000326106,11599,55677,2.4717202186584473,0.0711226612329483,0.1132359132170677,0.9971586465835572,0.4315508902072906,0.0070671127177774,0.004652596078813,5.412570317275822e-05,0.0,0.000325598269,-1.3340802979655564e-05,-0.04097319995167285,0.2681811145622959,0.6958580507957202,3.6080899276519216,0.00029209632462765255
10,0.02,0.0,2053,75677,1.0203875303268433,0.003567884676158428,10.988102912902832,0.11374207586050034,0.030270259827375412,0.9959748983383179,1791.4364013671875,0.28532031178474426,0.00463956,0.000370569,11599,55677,2.5022592544555664,0.0781655460596084,0.1109439507126808,0.9965802431106568,0.5183942914009094,0.0070428764447569,0.0046261623501777,6.085908171371557e-05,0.0,0.000370061269,-6.607424438698217e-06,-0.01785494725387816,0.22772441014520137,0.6872175091605943,3.6651139218946116,0.0002893735390244842
11,0.02,0.0,2053,75677,1.020580768585205,0.004317340906709433,13.024201393127441,0.12522275745868683,0.02912830002605915,0.9951207041740417,2130.03271484375,0.3981902599334717,0.00460321,0.000415864,11599,55677,2.620850086212158,0.0851777195930481,0.1026725098490715,0.9959492683410645,0.437421441078186,0.0070121749304234,0.0045935939997434,7.20268435543403e-05,0.0,0.000415356269,4.5603374019265175e-06,0.010979339286020304,0.20122923526006883,0.6802095826802864,3.524837005840274,0.0002053590247839331
12,0.02,0.0,2053,75677,1.0205951929092407,0.0050435662269592285,15.284892082214355,0.13664022088050842,0.02796655334532261,0.9942116141319275,2696.318603515625,0.5254315733909607,0.00456807,0.000459282,11599,55677,2.7264699935913086,0.0921621620655059,0.0960604846477508,0.9952529072761536,0.4836032092571258,0.0069844406098127,0.0045643812045454,8.129033085424453e-05,0.0,0.00045877426899999996,1.3823824701830745e-05,0.030132083763029758,0.17837679055410896,0.6744878006754798,3.4348345847850736,0.00017935684923383103
13,0.02,0.0,2053,75677,1.020517110824585,0.005871390458196402,17.77474594116211,0.14802317321300507,0.026780351996421814,0.9932348132133484,3322.873046875,0.677167534828186,0.00452826,0.000508473,11599,55677,2.8319778442382812,0.0991154983639717,0.0900732427835464,0.99449223279953,0.4566568434238434,0.0069533311761915,0.0045288139954209,9.49842797126621e-05,0.0,0.000507965269,2.7517773560248315e-05,0.05417254926585998,0.15932592531070108,0.6695944710045142,3.3634077250209895,0.00013742831488952216
