cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist
1,,67276,1.0005749464035034,0.7367163896560669,0.012450366280972958,0.6538223028182983,0.3754083216190338,0.004808119032531977,0.005470923148095608,0.0
2,,67276,1.000653624534607,1.119983196258545,0.018642514944076538,0.38104739785194397,0.3832668364048004,0.004805303178727627,0.005461820401251316,0.0
3,,67276,1.000606656074524,1.474104404449463,0.024816831573843956,0.25660184025764465,0.3829941153526306,0.004802260547876358,0.0054495688527822495,0.0
4,,67276,1.0005851984024048,1.8097518682479858,0.03097749873995781,0.18744303286075592,0.36309143900871277,0.004799092188477516,0.005435707978904247,0.0
5,,67276,1.0006614923477173,2.1495938301086426,0.037116359919309616,0.14244309067726135,0.3830268383026123,0.004785931669175625,0.005431103520095348,0.0
6,,67276,1.0006808042526245,2.3830525875091553,0.04322563856840134,0.12030809372663498,0.44461846351623535,0.0047606900334358215,0.005435568280518055,0.0
7,,67276,1.0007100105285645,2.4338858127593994,0.04930466413497925,0.11617524176836014,0.4766480028629303,0.004731660708785057,0.005443161353468895,0.0
8,,67276,1.0007270574569702,2.462283134460449,0.05535807088017464,0.11395854502916336,0.5354892015457153,0.004705046769231558,0.005448130425065756,0.0
9,,67276,1.00068199634552,2.4717202186584473,0.061383336782455444,0.11323591321706772,0.43155089020729065,0.004674059338867664,0.005456423852592707,0.0
10,,67276,1.0007128715515137,2.654787063598633,0.06738127022981644,0.10047543793916702,0.5183942914009094,0.004646793007850647,0.005462581291794777,0.0
11,,67276,1.0007256269454956,2.9360713958740234,0.0733485221862793,0.08469849079847336,0.43742144107818604,0.004613613709807396,0.005472131073474884,0.0
12,,67276,1.0007061958312988,3.2008936405181885,0.0792890191078186,0.07301075011491776,0.48360320925712585,0.004583991132676601,0.005480241496115923,0.0
13,,67276,1.0007169246673584,3.4629547595977783,0.08519697189331055,0.0636739507317543,0.4566568434238434,0.004547642543911934,0.005493262782692909,0.0
14,,67276,1.0007115602493286,3.7282090187072754,0.09107538312673569,0.05593544617295265,0.4634394943714142,0.004516474902629852,0.00550153199583292,0.0
15,,67276,1.0007344484329224,4.000565052032471,0.09692396968603134,0.04937031865119934,0.42584943771362305,0.004478031303733587,0.0055162557400763035,0.0
16,,67276,1.0008548498153687,4.226998805999756,0.10274000465869904,0.044753704220056534,0.48582473397254944,0.004444562364369631,0.00552749540656805,0.0
17,,67276,1.0009065866470337,4.447881698608398,0.108515664935112,0.040847111493349075,0.3968971371650696,0.004406208172440529,0.005541665013879538,0.0
18,,67276,1.0009557008743286,4.663519382476807,0.11424943804740906,0.03750665485858917,0.4625098705291748,0.0043711112812161446,0.005553887225687504,0.0
19,,67276,1.000969409942627,4.881890296936035,0.11994047462940216,0.03452473133802414,0.46141374111175537,0.004332435317337513,0.005569661967456341,0.0
20,,67276,1.001003623008728,5.043880462646484,0.1255948394536972,0.03253660723567009,0.43968841433525085,0.004294116981327534,0.005584863945841789,0.0
21,,67276,1.0010675191879272,5.196832180023193,0.13120371103286743,0.03081294149160385,0.3920971751213074,0.0042554596439003944,0.005599760916084051,0.0
22,,67276,1.0010747909545898,5.331973552703857,0.1367630809545517,0.02940146066248417,0.3972235321998596,0.0042180828750133514,0.005613063927739859,0.0
23,,67276,1.0011595487594604,5.459198951721191,0.14228104054927826,0.028159454464912415,0.40916040539741516,0.0041775475256145,0.005629674531519413,0.0
24,,67276,1.0011577606201172,5.574202060699463,0.14776061475276947,0.027103262022137642,0.39800089597702026,0.0041392529383301735,0.005646197125315666,0.0
25,,67276,1.0011258125305176,5.695723533630371,0.15319743752479553,0.026050491258502007,0.37802374362945557,0.004099021665751934,0.0056628938764333725,0.0
26,,67276,1.0011159181594849,5.820263385772705,0.15858739614486694,0.025033967569470406,0.399776428937912,0.004053950775414705,0.00568388681858778,0.0
27,,67276,1.001111388206482,5.935565948486328,0.16393718123435974,0.024144962430000305,0.3946956396102905,0.0040116580203175545,0.0057046678848564625,0.0
28,,67276,1.0011261701583862,6.0564656257629395,0.16923880577087402,0.023262714967131615,0.4145223796367645,0.003967538941651583,0.005724047310650349,0.0
29,,67276,1.001172661781311,6.15127420425415,0.17449547350406647,0.022604258731007576,0.3937525451183319,0.0039237989112734795,0.005743836984038353,0.0
30,,67276,1.0012478828430176,6.23417854309082,0.1797051727771759,0.022051123902201653,0.4232363700866699,0.0038766865618526936,0.005767960101366043,0.0
31,,67276,1.0012704133987427,6.3380584716796875,0.1848675161600113,0.02138623595237732,0.4540714621543884,0.003830918110907078,0.005790736526250839,0.0
32,,67276,1.0012680292129517,6.43964147567749,0.18998472392559052,0.02076471410691738,0.3894725441932678,0.0037856409326195717,0.00581275625154376,0.0
33,,67276,1.001318097114563,6.549653053283691,0.19505855441093445,0.02012169174849987,0.3980754315853119,0.0037397926207631826,0.0058352043852210045,0.0
34,,67276,1.0012985467910767,6.663407325744629,0.20008525252342224,0.01948770508170128,0.363314151763916,0.003690941259264946,0.005860366392880678,0.0
35,,67276,1.001267671585083,6.758500099182129,0.20506328344345093,0.01898043602705002,0.37318679690361023,0.003640428651124239,0.005886922590434551,0.0
36,,67276,1.0013301372528076,6.8511199951171875,0.21000069379806519,0.018505167216062546,0.39622828364372253,0.0035948785953223705,0.0059084463864564896,0.0
37,,67276,1.001299262046814,6.939946174621582,0.21488535404205322,0.018065935000777245,0.3647531569004059,0.0035416646860539913,0.005936572328209877,0.0
