cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,d_p99,d_p999,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,fem_alpha_bar_elem_mean,fem_f_min,f_fatigue_p001,f_fatigue_mean,fem_psi_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,fem_Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,fem_x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,fem_right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,fem_E_d_increment_from_first,pidl_E_d_increment_from_first,ratio_E_d_increment_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,delta_x_tip_pidl_minus_fem_d095,ratio_Kt_pidl_over_fem_proxy
1,0.00468274,0.0127191,0.0174019,1,0.140130305818613,1,1,1.03124,1.01374187938523,1.00008197622768,1.0000071102387,0.116394506877429,0.43647915100635,0.444395872886613,0.938270962764577,18.4954010346346,7.24508895499084,7.05752917044725,0.562692486731232,11.6195146047415,0.656970943104631,4.20553171257091,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,193,113,0,0,0.0048081190325319,0.0054709231480956,0.0,1.0005749464035034,0.7367163896560669,0.0124503662809729,0.6538223028182983,0.3754083216190338,7.584731662460618,0.0,0.7367163896560669,0.012450366280972958,0.6538223576407828,1.0267747157715141,0.4301344551183338,0.0,0.0,,0.7267297569898549,0.1069669575909106,1.497946239381286,0.001,1.8035131300493623
2,0.00468222,0.0127184,0.0174006,1,0.140143494749316,1,1,1.06143,1.02704107172651,1.00016383703849,1.00001422061976,0.121683681930251,0.429093742787366,0.44434738357608,0.93827033436771,18.4953384733035,7.24505439116442,7.05786370529534,0.562962634940348,11.6194157283941,0.657287016590015,4.20450253231997,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,194,113,0,0,0.0048053031787276,0.0054618204012513,0.0,1.000653624534607,1.119983196258545,0.0186425149440765,0.3810473978519439,0.3832668364048004,7.5859145175825615,0.0,1.119983196258545,0.018642514944076538,0.3810473806137034,1.0262873548717488,0.4294424142385284,-7.00000000001047e-07,-9.10274684430036e-06,13.00392406326678,1.0904950416206767,0.15320472431761537,0.8880283254113284,0.001,1.8042359254798184
3,0.00468208,0.0127175,0.0173995,1,0.140146042632412,1,1,1.09139,1.0402344578954,1.00024565792387,1.00002133116264,0.126974684908858,0.422060400768669,0.444298931751353,0.938269714093308,18.4952405351193,7.2450281064985,7.05795362840742,0.563039914464052,11.6193590164992,0.65737743773747,4.20420310134527,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,194,113,0,0,0.0048022605478763,0.0054495688527822,0.0,1.000606656074524,1.474104404449463,0.0248168315738439,0.2566018402576446,0.3829941153526306,7.528084100301042,0.0,1.474104404449463,0.024816831573843956,0.2566018393131333,1.0256681961598906,0.42850944389873796,-1.6000000000009063e-06,-2.135429531339994e-05,13.346434570867403,1.4170886123421327,0.19544708137419156,0.6079742136204052,0.001,1.7906090450036036
4,0.00468206,0.0127166,0.0173987,1,0.140145595305204,1,1,1.12128,1.05340065405806,1.00032746523586,1.00002844173707,0.132266270882507,0.415314146357806,0.444250501788382,0.938269100362916,18.4951823655872,7.24501600539203,7.05798153793695,0.563062405745103,11.6193345129875,0.657403754283173,4.20411451828948,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,194,113,0,0,0.0047990921884775,0.0054357079789042,0.0,1.0005851984024048,1.8097518682479856,0.0309774987399578,0.1874430328607559,0.3630914390087127,7.525539700365714,0.0,1.8097518682479858,0.03097749873995781,0.18744305153679597,1.0249958754218227,0.4274497883792995,-2.5000000000007655e-06,-3.521516919140037e-05,14.086067676555835,1.7180090607274656,0.2342055804043596,0.45132831256671885,0.001,1.790041557532932
5,0.00468207,0.0127158,0.0173979,1,0.140144488144089,1,1,1.15116,1.06655907042665,1.00040926827581,1.00003555231715,0.137558037316132,0.408826975576057,0.444202088170673,0.938268492517065,18.4951563144854,7.24501137932785,7.05798894356452,0.563068791730934,11.6193253474027,0.657411226382589,4.20408896821618,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,194,113,0,0,0.0047859316691756,0.0054311035200953,0.0,1.0006614923477173,2.1495938301086426,0.0371163599193096,0.1424430906772613,0.3830268383026123,7.5033951765157685,0.003252354683354497,2.1495938301086426,0.037116359919309616,0.14244309203349806,1.0221828527073709,0.42711457557489896,-3.3000000000012186e-06,-3.9819628000300165e-05,12.066553939480443,2.015447516890698,0.26982327345954954,0.34841901143277565,0.004252354683354497,1.78478505884225
6,0.00468188,0.0127154,0.0173972,1,0.14014847808633,1,1,1.18103,1.07971546084826,1.0004910700712,1.00004266289872,0.14284874754836,0.402580223502526,0.44415368909947,0.938245334751581,18.4951465436536,7.24500965700778,7.05799098275501,0.563070671035253,11.6193219941567,0.657413425320374,4.20408133059105,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.013,0.046,0.038,194,113,0,0,0.0047606900334358,0.005435568280518,0.0,1.0006808042526243,2.3830525875091553,0.0432256385684013,0.1203080937266349,0.4446184635162353,7.957298545572609,0.005213466938585043,2.3830525875091553,0.04322563484311104,0.12030810102443644,1.0168329887642997,0.4274791418687576,-3.700000000000578e-06,-3.535486757759963e-05,9.555369615565976,2.20711166406467,0.3025972527604255,0.2988425329985938,0.006213466938585043,1.8927556152806149
7,0.00467919,0.0127179,0.0173971,1,0.140220173574853,1,1,1.21069,1.0927775999163,1.00057285820909,1.00004977351503,0.148125472926445,0.396600919483709,0.444105311909724,0.937982606540847,18.495163964962,7.24500203705545,7.05803317345435,0.563102535905824,11.6193057490194,0.65745070731869,4.2039591898593,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.007,-0.015,0.046,0.038,196,113,0,0,0.004731660708785,0.0054431613534688,0.0,1.0007100105285645,2.4338858127593994,0.0493046641349792,0.1161752417683601,0.4766480028629303,8.187129664151044,0.010456142947077751,2.4338858127593994,0.049304667860269547,0.1161752420311966,1.0112136307320285,0.42799214913380357,-1.1999999999998123e-06,-2.7761794626799535e-05,23.134828855669898,2.2272471662539752,0.3328574293191457,0.2929273132286124,0.011456142947077752,1.9474807662024556
8,0.00467478,0.0127231,0.0173979,1,0.140338956309636,1,1,1.23767,1.10470919228777,1.00065443687291,1.00005688458565,0.153391000660293,0.391320264689833,0.444057072364102,0.937607074980741,18.4947106650639,7.24487882926918,7.05857605859072,0.563523222132381,11.6190327965786,0.657942903709163,4.20233707888071,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.009,-0.005,0.046,0.038,197,113,0,0,0.0047050467692315,0.0054481304250657,0.0,1.0007270574569702,2.462283134460449,0.0553580708801746,0.1139585450291633,0.5354892015457153,8.280522773946444,0.012417255900800228,2.462283134460449,0.05535807088017464,0.11395853777771062,1.0064744799180925,0.42820778152067507,3.999999999998796e-06,-2.279272302989962e-05,-5.69818075747662,2.2288971175855297,0.360895167525331,0.29121554724360815,0.013417255900800229,1.9704565860651895
9,0.00466687,0.0127338,0.0174007,1,0.140543776462187,1,1,1.25771,1.11365828444482,1.00073528263897,1.00006399732556,0.158661596016105,0.387464707457559,0.444009279734778,0.937177416161232,18.4932835608488,7.24447112730776,7.06021309495467,0.565059646770086,11.6181107179463,0.659740497406907,4.19644160051245,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.009,-0.013,0.046,0.038,198,113,0,0,0.0046740593388676,0.0054564238525927,0.0,1.00068199634552,2.4717202186584473,0.0613833367824554,0.1132359132170677,0.4315508902072906,8.35145742362384,0.016339480876922607,2.4717202186584473,0.061383336782455444,0.1132359066798197,1.0015405054924607,0.4284992580842089,1.4699999999999436e-05,-1.449929550290021e-05,-0.9863466328503923,2.219460181980909,0.38688213357077705,0.2922483287835216,0.01733948087692261,1.9901283560347889
10,0.00466176,0.0127417,0.0174035,1,0.140678995525413,1,1,1.27698,1.12227018802769,1.00081596584082,1.00007111037037,0.163914815682887,0.383838411759025,0.443961596633953,0.936737870050871,18.493097694044,7.2443302380789,7.06046606928615,0.565381955188088,11.6178344510474,0.660117621027191,4.19519284112015,-0.499,-0.019,-0.001,0.019,-0.001,0.019,-0.499,0.017,-0.001,-0.019,0.001,-0.017,0.011,-0.009,0.046,0.038,199,113,0,0,0.0046467930078506,0.0054625812917947,0.0,1.0007128715515137,2.654787063598633,0.0673812702298164,0.100475437939167,0.5183942914009094,8.386580939898685,0.019621044397354126,2.654787063598633,0.06738127022981644,0.1004754355270687,0.9967894116922793,0.428716834629186,2.2599999999999357e-05,-8.34185630090023e-06,-0.3691086858805517,2.3655507309378256,0.41107492296592396,0.26176493769530756,0.020621044397354127,1.9990930709300603
