cycle,E_el,E_d,total_energy,d_max,d_mean,d_p99,d_p999,alpha_bar_monitor_max,alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,alpha_bar_elem_mean,f_fatigue_min,f_fatigue_p001,f_fatigue_mean,psi_plus_elem_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,right_boundary_d095_count,right_boundary_d095_yspan
1,0.00468274,0.0127191,0.0174019,1,0.140130305818613,1,1,1.03124,1.01374187938523,1.00008197622768,1.0000071102387,0.116394506877429,0.43647915100635,0.444395872886613,0.938270962764577,18.4954010346346,7.24508895499084,7.05752917044725,0.562692486731232,11.6195146047415,0.656970943104631,4.20553171257091,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,193,113,0,0
2,0.00468222,0.0127184,0.0174006,1,0.140143494749316,1,1,1.06143,1.02704107172651,1.00016383703849,1.00001422061976,0.121683681930251,0.429093742787366,0.44434738357608,0.93827033436771,18.4953384733035,7.24505439116442,7.05786370529534,0.562962634940348,11.6194157283941,0.657287016590015,4.20450253231997,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,194,113,0,0
3,0.00468208,0.0127175,0.0173995,1,0.140146042632412,1,1,1.09139,1.0402344578954,1.00024565792387,1.00002133116264,0.126974684908858,0.422060400768669,0.444298931751353,0.938269714093308,18.4952405351193,7.2450281064985,7.05795362840742,0.563039914464052,11.6193590164992,0.65737743773747,4.20420310134527,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,194,113,0,0
4,0.00468206,0.0127166,0.0173987,1,0.140145595305204,1,1,1.12128,1.05340065405806,1.00032746523586,1.00002844173707,0.132266270882507,0.415314146357806,0.444250501788382,0.938269100362916,18.4951823655872,7.24501600539203,7.05798153793695,0.563062405745103,11.6193345129875,0.657403754283173,4.20411451828948,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,194,113,0,0
5,0.00468207,0.0127158,0.0173979,1,0.140144488144089,1,1,1.15116,1.06655907042665,1.00040926827581,1.00003555231715,0.137558037316132,0.408826975576057,0.444202088170673,0.938268492517065,18.4951563144854,7.24501137932785,7.05798894356452,0.563068791730934,11.6193253474027,0.657411226382589,4.20408896821618,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,194,113,0,0
6,0.00468188,0.0127154,0.0173972,1,0.14014847808633,1,1,1.18103,1.07971546084826,1.0004910700712,1.00004266289872,0.14284874754836,0.402580223502526,0.44415368909947,0.938245334751581,18.4951465436536,7.24500965700778,7.05799098275501,0.563070671035253,11.6193219941567,0.657413425320374,4.20408133059105,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.013000000000000012,0.046,0.038,194,113,0,0
7,0.00467919,0.0127179,0.0173971,1,0.140220173574853,1,1,1.21069,1.0927775999163,1.00057285820909,1.00004977351503,0.148125472926445,0.396600919483709,0.444105311909724,0.937982606540847,18.495163964962,7.24500203705545,7.05803317345435,0.563102535905824,11.6193057490194,0.65745070731869,4.2039591898593,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.007000000000000006,-0.015000000000000013,0.046,0.038,196,113,0,0
8,0.00467478,0.0127231,0.0173979,1,0.140338956309636,1,1,1.23767,1.10470919228777,1.00065443687291,1.00005688458565,0.153391000660293,0.391320264689833,0.444057072364102,0.937607074980741,18.4947106650639,7.24487882926918,7.05857605859072,0.563523222132381,11.6190327965786,0.657942903709163,4.20233707888071,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.009000000000000008,-0.0050000000000000044,0.046,0.038,197,113,0,0
9,0.00466687,0.0127338,0.0174007,1,0.140543776462187,1,1,1.25771,1.11365828444482,1.00073528263897,1.00006399732556,0.158661596016105,0.387464707457559,0.444009279734778,0.937177416161232,18.4932835608488,7.24447112730776,7.06021309495467,0.565059646770086,11.6181107179463,0.659740497406907,4.19644160051245,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.009000000000000008,-0.013000000000000012,0.046,0.038,198,113,0,0
10,0.00466176,0.0127417,0.0174035,1,0.140678995525413,1,1,1.27698,1.12227018802769,1.00081596584082,1.00007111037037,0.163914815682887,0.383838411759025,0.443961596633953,0.936737870050871,18.493097694044,7.2443302380789,7.06046606928615,0.565381955188088,11.6178344510474,0.660117621027191,4.19519284112015,-0.499,-0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.019000000000000017,-0.499,0.017000000000000015,-0.0010000000000000009,-0.019000000000000017,0.0010000000000000009,-0.017000000000000015,0.01100000000000001,-0.009000000000000008,0.046,0.038,199,113,0,0
