cycle,field,metric,FEM_nstep2_projected,PIDL_fbpinn,PIDL_over_FEM
20,damage_alpha,max,1.0052622556686401,1.0003516674041748,0.9951151172375421
20,damage_alpha,p999,1.0020295408964157,0.9993874430656433,0.9973632535539733
20,damage_alpha,p99,0.9999914222955704,0.9402071237564087,0.9402151886443971
20,damage_alpha,domain_mean,0.00956571714956274,0.00852871686220169,0.8915919976362199
20,damage_alpha,tip_2l0_mean,0.44171320315479196,0.46728673577308655,1.0578962377299208
20,damage_alpha,tip_5l0_mean,0.1866650564980489,0.1958409547805786,1.049157021965842
20,damage_alpha,right_band_mean,-1.9218950173014035e-05,-0.00044653116492554545,23.2338999219913
20,alpha_bar,max,2.3945114612579346,3.7113802433013916,1.5499530085154205
20,alpha_bar,p999,1.1583194253444706,1.503933072090149,1.2983750761521562
20,alpha_bar,p99,0.677829414010042,0.707538366317749,1.0438295413177021
20,alpha_bar,domain_mean,0.09255868067561585,0.09743771702051163,1.0527128985556202
20,alpha_bar,tip_2l0_mean,0.4711684432030364,0.5550619959831238,1.1780542691054883
20,alpha_bar,tip_5l0_mean,0.3234033120216432,0.39907193183898926,1.233976020048558
20,alpha_bar,right_band_mean,0.17089664378161334,0.18005141615867615,1.0535690589030031
20,psi_raw,max,842.2301635742188,2825.39208984375,3.3546555467135932
20,psi_raw,p999,654.114823425293,2590.48974609375,3.9602981820967886
20,psi_raw,p99,401.088198852539,0.075196273624897,0.00018748064350939203
20,psi_raw,domain_mean,1.1144562220934804,2.0733916759490967,1.8604514334841058
20,psi_raw,tip_2l0_mean,48.94149887901553,40.25711441040039,0.8225558132152198
20,psi_raw,tip_5l0_mean,17.779424232076096,15.63629150390625,0.87945994762286
20,psi_raw,right_band_mean,0.008514877528284918,0.008549080230295658,1.004016816671423
20,g_alpha,max,1.0000573043462422,1.001359224319458,1.0013018453718179
20,g_alpha,p999,1.0000456019022517,1.0012472867965698,1.0012016300976998
20,g_alpha,p99,1.0000405014353315,1.0011235475540161,1.0010830022555388
20,g_alpha,domain_mean,0.987382501311347,0.9887679815292358,1.0014031849015441
20,g_alpha,tip_2l0_mean,0.41810288206861745,0.3822019696235657,0.9141337838490196
20,g_alpha,tip_5l0_mean,0.7504694664980668,0.7363508343696594,0.9811869333015113
20,g_alpha,right_band_mean,1.0000394367602232,1.000893235206604,1.000853764776664
20,psi_active,max,0.3224991727161346,0.40116575360298157,1.2439280083241941
20,psi_active,p999,0.10472564843095324,0.10563800483942032,1.0087118716583416
20,psi_active,p99,0.03415577241922712,0.033922865986824036,0.9931810521060863
20,psi_active,domain_mean,0.004197366516029803,0.004363405518233776,1.0395578993566246
20,psi_active,tip_2l0_mean,0.0009012618220446963,0.0012245483230799437,1.358704311142134
20,psi_active,tip_5l0_mean,0.0008036033219423716,0.0034673241898417473,4.314721075892215
20,psi_active,right_band_mean,0.00851520999611085,0.008556634187698364,1.0048647293027928
20,E_el,integral_from_pidl_diag,,0.004367247689515352,
20,E_d,integral_from_pidl_diag,,0.00547588337212801,
20,E_hist,integral_from_pidl_diag,,0.0,
40,damage_alpha,max,1.0106782913208008,1.0003540515899658,0.9897848407158891
40,damage_alpha,p999,1.0079682121276856,1.0000739097595215,0.9921681038417866
40,damage_alpha,p99,1.0056558847427368,0.9447064399719238,0.9393933395155294
40,damage_alpha,domain_mean,0.011445252142269276,0.009777109138667583,0.8542502180934088
40,damage_alpha,tip_2l0_mean,0.44519516276093873,0.47263291478157043,1.0616308403947445
40,damage_alpha,tip_5l0_mean,0.1892519185703565,0.20134694874286652,1.06390968326175
40,damage_alpha,right_band_mean,-2.3985897195521285e-05,-0.0008654981502331793,36.08362627330812
40,alpha_bar,max,6.920406818389893,6.777757167816162,0.9793871004527275
40,alpha_bar,p999,2.6288248476982123,1.7060507535934448,0.6489784799041501
