epoch,loss,E_el,weight_reg
1.000000000000000000e+00,-1.628307700157165527e+00,2.233275398612022400e-02,2.275003662109375000e+03
2.500000000000000000e+02,-2.122282743453979492e+00,7.191568613052368164e-03,2.089368164062500000e+03
5.000000000000000000e+02,-2.123066186904907227e+00,7.189940195530653000e-03,2.020871215820312500e+03
7.500000000000000000e+02,-2.123503684997558594e+00,7.189313881099224091e-03,1.980895874023437500e+03
1.000000000000000000e+03,-2.123805522918701172e+00,7.188917603343725204e-03,1.953102661132812500e+03
1.250000000000000000e+03,-2.124034643173217773e+00,7.188679650425910950e-03,1.931641845703125000e+03
1.500000000000000000e+03,-2.124220132827758789e+00,7.188504561781883240e-03,1.914144409179687500e+03
1.750000000000000000e+03,-2.124372959136962891e+00,7.188387215137481689e-03,1.899560302734375000e+03
2.000000000000000000e+03,-2.124502182006835938e+00,7.188292685896158218e-03,1.887221069335937500e+03
2.250000000000000000e+03,-2.124619007110595703e+00,7.188158109784126282e-03,1.876361083984375000e+03
2.500000000000000000e+03,-2.124723434448242188e+00,7.188054267317056656e-03,1.866533081054687500e+03
2.750000000000000000e+03,-2.124817609786987305e+00,7.187983021140098572e-03,1.857551391601562500e+03
3.000000000000000000e+03,-2.124902725219726562e+00,7.187921553850173950e-03,1.849417358398437500e+03
3.250000000000000000e+03,-2.124979257583618164e+00,7.187870331108570099e-03,1.842078002929687500e+03
3.500000000000000000e+03,-2.125050067901611328e+00,7.187824696302413940e-03,1.835246459960937500e+03
3.750000000000000000e+03,-2.125115394592285156e+00,7.187782786786556244e-03,1.828947143554687500e+03
4.000000000000000000e+03,-2.125176429748535156e+00,7.187751121819019318e-03,1.823059936523437500e+03
4.250000000000000000e+03,-2.125232219696044922e+00,7.187719456851482391e-03,1.817675415039062500e+03
4.500000000000000000e+03,-2.125284910202026367e+00,7.187691517174243927e-03,1.812582397460937500e+03
4.750000000000000000e+03,-2.125333786010742188e+00,7.187662646174430847e-03,1.807858154296875000e+03
5.000000000000000000e+03,-2.125378847122192383e+00,7.187639828771352768e-03,1.803498168945312500e+03
5.250000000000000000e+03,-2.125422239303588867e+00,7.187621667981147766e-03,1.799254638671875000e+03
5.500000000000000000e+03,-2.125463485717773438e+00,7.187603041529655457e-03,1.795250244140625000e+03
5.750000000000000000e+03,-2.125502347946166992e+00,7.187584415078163147e-03,1.791474609375000000e+03
6.000000000000000000e+03,-2.125538349151611328e+00,7.187563925981521606e-03,1.787988037109375000e+03
6.250000000000000000e+03,-2.125572681427001953e+00,7.187549024820327759e-03,1.784665161132812500e+03
6.500000000000000000e+03,-2.125606060028076172e+00,7.187535520642995834e-03,1.781408325195312500e+03
6.750000000000000000e+03,-2.125637769699096680e+00,7.187518756836652756e-03,1.778323120117187500e+03
7.000000000000000000e+03,-2.125668287277221680e+00,7.187503390014171600e-03,1.775391479492187500e+03
7.250000000000000000e+03,-2.125696897506713867e+00,7.187488488852977753e-03,1.772596191406250000e+03
7.500000000000000000e+03,-2.125724792480468750e+00,7.187471725046634674e-03,1.769889892578125000e+03
7.750000000000000000e+03,-2.125752449035644531e+00,7.187455426901578903e-03,1.767244750976562500e+03
8.000000000000000000e+03,-2.125778675079345703e+00,7.187442388385534286e-03,1.764714111328125000e+03
8.250000000000000000e+03,-2.125803470611572266e+00,7.187431678175926208e-03,1.762304565429687500e+03
8.500000000000000000e+03,-2.125826597213745117e+00,7.187421433627605438e-03,1.760032714843750000e+03
8.750000000000000000e+03,-2.125849246978759766e+00,7.187411189079284668e-03,1.757844970703125000e+03
9.000000000000000000e+03,-2.125870943069458008e+00,7.187400013208389282e-03,1.755746337890625000e+03
9.250000000000000000e+03,-2.125891685485839844e+00,7.187390699982643127e-03,1.753719604492187500e+03
9.500000000000000000e+03,-2.125912666320800781e+00,7.187380455434322357e-03,1.751692993164062500e+03
9.750000000000000000e+03,-2.125932693481445312e+00,7.187372073531150818e-03,1.749722412109375000e+03
1.000000000000000000e+04,-2.125952243804931641e+00,7.187365088611841202e-03,1.747808471679687500e+03
