method,cycle,selector,elem_idx,x,y,alpha_bar,delta_alpha_bar,psi_raw,g_alpha,psi_active
FEM_nstep2_projected,1,max_psi_raw,45224,-0.49533334374427795,-0.0006666667177341878,0.01809353567659855,0.01809353567659855,685.90625,1.0032063240951174e-06,0.0006881054877363666
FEM_nstep2_projected,1,max_psi_active,67634,0.0026666668709367514,-0.0006666667177341878,0.2424047440290451,0.2424047440290451,2.7789742946624756,0.09151875953003849,0.25432828021337345
FEM_nstep2_projected,1,max_delta_alpha_bar,67634,0.0026666668709367514,-0.0006666667177341878,0.2424047440290451,0.2424047440290451,2.7789742946624756,0.09151875953003849,0.25432828021337345
PIDL,1,max_psi_raw,45134,-0.4973333179950714,-0.0006666667177341878,0.004690639209002256,0.004690639209002256,2795.072265625,2.686378593352856e-06,0.0047135502099990845
PIDL,1,max_psi_active,67635,0.0026666668709367514,0.0013333334354683757,0.43513134121894836,0.43513134121894836,6.764219284057617,0.0643276572227478,0.43511962890625
PIDL,1,max_delta_alpha_bar,67635,0.0026666668709367514,0.0013333334354683757,0.43513134121894836,0.43513134121894836,6.764219284057617,0.0643276572227478,0.43511962890625
FEM_nstep2_projected,2,max_psi_raw,494,-0.48866668343544006,-0.0013333334354683757,0.04951528087258339,0.03129545785486698,663.7318725585938,1.5679749506271036e-06,0.0010407149501046962
FEM_nstep2_projected,2,max_psi_active,67634,0.0026666668709367514,-0.0006666667177341878,0.48751550912857056,0.24511076509952548,2.8098533153533936,0.09152196917210884,0.2571633085059211
FEM_nstep2_projected,2,max_delta_alpha_bar,67634,0.0026666668709367514,-0.0006666667177341878,0.48751550912857056,0.24511076509952548,2.8098533153533936,0.09152196917210884,0.2571633085059211
PIDL,2,max_psi_raw,45134,-0.4973333179950714,-0.0006666667177341878,0.00998696405440569,0.005296324845403433,2803.99072265625,2.889367806346854e-06,0.0052977693267166615
PIDL,2,max_psi_active,67635,0.0026666668709367514,0.0013333334354683757,0.8572618961334229,0.4221305549144745,6.603405952453613,0.06393224745988846,0.4221639931201935
PIDL,2,max_delta_alpha_bar,67635,0.0026666668709367514,0.0013333334354683757,0.8572618961334229,0.4221305549144745,6.603405952453613,0.06393224745988846,0.4221639931201935
FEM_nstep2_projected,3,max_psi_raw,494,-0.48866668343544006,-0.0013333334354683757,0.08384539932012558,0.03433011844754219,663.0670776367188,1.7821876266689287e-06,0.001181709941415686
FEM_nstep2_projected,3,max_psi_active,67634,0.0026666668709367514,-0.0006666667177341878,0.7322266101837158,0.2447111010551453,2.8276846408843994,0.09069276771646781,0.25645054631115255
FEM_nstep2_projected,3,max_delta_alpha_bar,67634,0.0026666668709367514,-0.0006666667177341878,0.7322266101837158,0.2447111010551453,2.8276846408843994,0.09069276771646781,0.25645054631115255
PIDL,3,max_psi_raw,45224,-0.49533334374427795,-0.0006666667177341878,0.013972632586956024,0.005494104698300362,2799.12255859375,2.962653979921015e-06,0.005493709351867437
PIDL,3,max_psi_active,67635,0.0026666668709367514,0.0013333334354683757,1.2687549591064453,0.41149306297302246,6.446096420288086,0.06383884698152542,0.41150492429733276
PIDL,3,max_delta_alpha_bar,67635,0.0026666668709367514,0.0013333334354683757,1.2687549591064453,0.41149306297302246,6.446096420288086,0.06383884698152542,0.41150492429733276
FEM_nstep2_projected,20,max_psi_raw,22275,-0.004666666965931654,0.0006666667177341878,1.3682254552841187,0.0337904691696167,842.2301635742188,1.7151589329623675e-06,0.0014445585886646772
FEM_nstep2_projected,20,max_psi_active,70515,0.06666667014360428,0.0013333334354683757,1.072186827659607,0.2732880115509033,15.669912338256836,0.020580789844546782,0.3224991727161346
FEM_nstep2_projected,20,max_delta_alpha_bar,70605,0.06866667419672012,0.0013333334354683757,0.9814844131469727,0.2915639281272888,3.4865550994873047,0.09069370111797678,0.3162085861242594
PIDL,20,max_psi_raw,45044,-0.49933335185050964,-0.0006666667177341878,0.12007458508014679,0.0014209076762199402,2809.182861328125,1.5057244127092417e-06,0.001420672400854528
PIDL,20,max_psi_active,69975,0.054666668176651,0.0013333334354683757,1.5736294984817505,0.48578381538391113,7.8049397468566895,0.062246717512607574,0.4858240783214569
PIDL,20,max_delta_alpha_bar,69975,0.054666668176651,0.0013333334354683757,1.5736294984817505,0.48578381538391113,7.8049397468566895,0.062246717512607574,0.4858240783214569
FEM_nstep2_projected,40,max_psi_raw,22455,-0.0006666667177341878,0.0006666667177341878,2.1806654930114746,0.04777050018310547,1640.9962158203125,1.5492650103633423e-06,0.002542338019309062
