method,cycle,tip2_alpha_bar_mean,tip2_delta_alpha_bar_mean,tip2_psi_raw_mean,tip2_g_alpha_mean,tip2_psi_active_mean,tip2_effective_g,tip2_corr_raw_g,tip2_corr_raw_active,tip2_corr_active_delta_alpha_bar,domain_corr_raw_g,domain_corr_active_delta_alpha_bar,domain_top_raw_g_mean,domain_top_raw_active_mean,domain_top_active_raw_mean,domain_top_raw_active_jaccard,domain_top_active_delta_jaccard,distance_max_raw_to_max_active
FEM_nstep2_projected,1,0.05658270321627461,0.05658270321627461,2.915525563928228,0.554144789260151,0.05559582073650766,0.019068884671894538,-0.41102572726781583,0.15079175151468577,0.9963348572286365,-0.4413162480143248,0.9858137236323697,1.5084340933735751e-05,0.0041540419127983974,5.010058843638654,0.0,0.7928286852589641,0.4980000106152147
PIDL,1,0.055565398186445236,0.055565398186445236,6.587935447692871,0.5491191744804382,0.055565688759088516,0.008434461630699176,-0.27356791496276855,0.0030472923535853624,1.0,-0.3283301293849945,1.000000238418579,0.24582290649414062,0.042952414602041245,7.949207782745361,0.2396694214876033,1.0,0.5000039848507422
FEM_nstep2_projected,2,0.11344415884473473,0.05686145562846012,3.0352500712694854,0.5529273896687955,0.05585953817698037,0.01840360328321062,-0.40905277421758257,0.13875549258395847,0.9962427916142109,-0.44183806209688126,0.9766086298023618,1.3009630269556016e-05,0.003397193364585803,5.165528216463444,0.0,0.8072289156626506,0.49133380259025666
PIDL,2,0.111027792096138,0.055462393909692764,6.6833295822143555,0.5462388396263123,0.05546235293149948,0.008298611081383092,-0.272708535194397,-0.0022312523797154427,0.9999999403953552,-0.3276313841342926,1.0000001192092896,0.2543765902519226,0.04191149026155472,7.473045349121094,0.24567474048442905,1.0,0.5000039848507422
FEM_nstep2_projected,3,0.17050302639569553,0.05705886755096082,3.0775396938638497,0.5526849008776191,0.05601747606572541,0.01820203202493726,-0.4087413765999317,0.13052092101001625,0.9960647147605027,-0.4418944500634866,0.9735851612158581,1.2475422156582613e-05,0.0032439473956157776,4.725258976870957,0.0,0.8072289156626506,0.49133380259025666
PIDL,3,0.1664877086877823,0.05545991286635399,6.7111968994140625,0.5447039604187012,0.055459827184677124,0.008263775898084465,-0.27254438400268555,-0.003976150415837765,1.0000001192092896,-0.3270415663719177,0.9999999403953552,0.26050063967704773,0.04172234609723091,7.516942024230957,0.2517385257301808,1.0,0.498004026663808
FEM_nstep2_projected,20,0.4732098573690475,0.003316970380811741,49.56893569005123,0.4156280241889819,0.0009064217416593732,1.828608440026073e-05,-0.3214055671820282,0.5353641875546546,0.6399822691336312,-0.4438252317212049,0.9507776738195418,3.3026951471368996e-06,0.0019477702363148892,1.190413546431383,0.0,0.46579804560260585,0.07133645230662393
PIDL,20,0.4672994613647461,0.001134886872023344,44.01350784301758,0.413122296333313,0.0011349262204021215,2.578586156890854e-05,-0.32436588406562805,0.7357361316680908,0.9999997615814209,-0.3270990252494812,1.0,0.24001960456371307,0.03853212669491768,4.43667459487915,0.20160213618157544,1.0,0.554003630124124
FEM_nstep2_projected,40,0.5900821407072021,0.008058564327706396,94.99987876808744,0.412428136220805,0.002622182129105756,2.7601952372034024e-05,-0.3199673671330452,0.5018416418939006,0.9346891887642904,-0.40606681905373626,0.8175706626762481,3.1941239052887665e-05,0.018541857964205873,37.88862375294878,0.01925254813137033,0.0829326923076923,0.19533447314370816
PIDL,40,0.48679062724113464,0.0007913478766568005,96.17689514160156,0.40456917881965637,0.0007914187153801322,8.228782122930084e-06,-0.32545894384384155,0.5698469877243042,0.9999996423721313,-0.33037135004997253,0.9999999403953552,0.1434316188097,0.03146129474043846,4.005180358886719,0.13924050632911392,1.0,0.652003092392541
FEM_nstep2_projected,69,1.087987752726084,0.029306486484750066,94.89481055708083,0.40326932987915326,0.013055037254218381,0.00013757377434633853,-0.3097266558995316,0.3466568841050534,0.9375206790590647,-0.34646464746623107,0.8097711878325944,3.0428177239792478e-05,0.018076955409053897,118.42612816132856,0.004464285714285714,0.19973368841544606,0.4453338429323235
PIDL,69,0.5021397471427917,0.0002630504022818059,142.4402618408203,0.3903658390045166,0.0002630563103593886,1.8467833950864188e-06,-0.320295512676239,-0.1320825070142746,0.9999977946281433,-0.3327176868915558,0.9999999403953552,0.007585440296679735,0.011491494253277779,3.3911495208740234,0.026225769669327253,0.9977802441731409,0.8540023738655244
PIDL_over_FEM_nstep2,1,0.9820209185492437,0.9820209185492437,2.2596047618998165,0.9909308634185254,0.9994580172210794,0.4423154146571905,0.6655737021165037,0.020208614350424755,1.0036786254588728,0.7439792458634724,1.0143906647332288,16296.56261244824,10.339908817411539,1.5866495845330417,,1.2613065326633166,1.0040240445638782
PIDL_over_FEM_nstep2,2,0.9786999456542854,0.9753952531938507,2.20190410189796,0.9879033844814783,0.9928895716211888,0.45092316725571957,0.6666830110516213,-0.01608046166796137,1.003771318410301,0.741519149752321,1.0239517537456755,19552.9453936283,12.337092936322954,1.446714650653381,,1.2388059701492538,1.0176462156985278
PIDL_over_FEM_nstep2,3,0.9764501675260903,0.9719771044670882,2.1807019785301804,0.9855596915236062,0.9900450909213762,0.4540029314728639,0.6667893186391228,-0.030463701796378168,1.0039509525741337,0.7400897800932597,1.0271314521130428,20881.108182747586,12.86159761826564,1.5908000092745476,,1.2388059701492538,1.0135757483779595
PIDL_over_FEM_nstep2,20,0.9875099896752741,0.34214561534481064,0.8879252142557369,0.9939712249659816,1.2520950990478543,1.4101357625004112,1.0092105339355348,1.374272222108582,1.5625429169079315,0.7369996157743305,1.0517705953093306,72673.85994489549,19.782685850985725,3.7270027783028814,,2.146853146853147,7.766066466872536
