reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",1,1,0,alpha_bar,crack_strip_mean,0.007932818976693254,0.007011450827121735,0.8838536272819898,1.131409058166318,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,domain_mean,0.0048317518043601735,0.004790312144905329,0.9914234710033223,1.008650722166178,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,max,0.2424047440290451,0.43513134121894836,1.7950611608773244,0.5570840825898414,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,p99,0.03599074773490482,0.03523160517215729,0.9789072856074258,1.0215472033998458,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,p999,0.11238760501146317,0.11320821195840836,1.0073015787360313,0.9927513478682388,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,right_band_mean,0.008561463929024989,0.008584534749388695,1.0026947284430519,0.9973125136029826,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_2l0_integral,3.5307608879202306e-05,7.023466605460271e-05,1.989221821701269,0.5027091443953478,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_2l0_mean,0.05658270321627461,0.055565398186445236,0.9820209185492437,1.0183082469132299,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_4l0_integral,7.797802128594504e-05,0.00015681717195548117,2.0110432320465446,0.4972543524001455,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_4l0_mean,0.031141382618850636,0.031163984909653664,1.0007257959956262,0.9992747304021437,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_l0_integral,1.5269909603152638e-05,2.91997585009085e-05,1.9122417394586209,0.5229464347342989,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,tip_l0_mean,0.09089231191496612,0.09012270718812943,0.9915327852199788,1.0085395207362131,,,
"FEM n_step2 [1,0]",1,1,0,alpha_bar,top1_mean,0.06295366280608707,0.06425769627094269,1.0207141793936974,0.979706190222613,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,crack_strip_mean,22.50728742833847,46.20393753051758,2.052843448044438,0.4871292065415954,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,domain_mean,0.9048060786237279,1.8526675701141357,2.04758523830009,0.48838015692582465,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,max,685.90625,2795.072265625,4.075006264522302,0.2453983957536876,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,p99,156.2744430542101,0.05773216858506203,0.00036942808725950977,2706.8867649403614,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,p999,651.2774658203125,2548.80126953125,3.913541314255243,0.2555230466987679,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,right_band_mean,0.008561441483929115,0.008584176190197468,1.002655476453472,0.9973515564260769,,,
"FEM n_step2 [1,0]",1,1,0,psi_raw,tip_2l0_integral,0.001819288058667466,0.008327150717377663,4.5771480100170985,0.21847665791263418,,,
