cycle,metric,pidl_over_request21_fem
1,damage tip2,1.0182698517390223
20,damage tip2,0.996411289853066
40,damage tip2,0.9958646005315078
69,damage tip2,1.008150495176037
1,alpha_bar tip2,0.9824540115556141
20,alpha_bar tip2,0.9014289802632193
40,alpha_bar tip2,0.6598462108989284
69,alpha_bar tip2,0.37278461226992265
1,alpha_bar p99,0.5813534923114695
20,alpha_bar p99,0.9487411826862792
40,alpha_bar p99,0.46633116915654754
69,alpha_bar p99,0.2024201632674757
1,raw psi tip2,2.4112101540074207
20,raw psi tip2,0.9665639745354999
40,raw psi tip2,1.2017631433954448
69,raw psi tip2,1.5829599554815585
1,active psi tip2,1.0166645717604028
20,active psi tip2,0.9086736643482339
40,active psi tip2,0.12538406606195188
69,active psi tip2,0.02326548760180126
20,Delta E_d,0.10984973854772954
40,Delta E_d,0.20067062614328807
69,Delta E_d,0.2500411936721026
