cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,mean,abs_mean,abs_p99,abs_p999,integral,abs_integral
1,1,0,-1,damage_alpha,-0.004404501455555707,0.00583625368377563,0.13152078151702884,0.19575100898742698,-0.0004040572339264906,0.0005329212685662863
1,1,0,-1,alpha_bar,-0.0012749925951345904,0.0017330848591404012,0.07016107509844025,0.09166278934043752,-0.00022342994601337333,0.0002981934128748089
1,1,0,-1,fatigue_f,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,-1,psi_plus_active,-0.0002543810906658117,0.0007636149580573904,0.0059973518578701965,0.03395824438399956,-0.00012110794869621367,0.00020072840063371002
40,40,39,-1,damage_alpha,-0.006300908068027251,0.012601497001820788,0.18840037405490923,0.8341917950214877,-0.0009126399083896563,0.0014796929109994032
40,40,39,-1,alpha_bar,-0.019090020849772273,0.045520100097414376,1.932655426412832,2.3926862873471113,0.000638577147624502,0.007561775640603792
40,40,39,-1,fatigue_f,0.0021124864926768674,0.024120732820613517,0.7871859815716744,0.8691637986302376,-0.00017143646852543786,0.002683514470757365
40,40,39,-1,psi_plus_active,0.00013025343327547075,0.0023384627411493857,0.039901847540520924,0.1443388422636976,0.0001734629623414697,0.0004460376284247022
69,69,68,-1,damage_alpha,-0.011538209699529333,0.025262844789181674,0.49894173639128,0.9998567259224366,-0.0016401083422486278,0.002875325497198715
69,69,68,-1,alpha_bar,-0.04892959883198386,0.1155521258057285,5.227273766994482,7.626194310188306,0.0057243067891837775,0.021997222859105332
69,69,68,-1,fatigue_f,-0.012300505426029364,0.05393499095034268,0.9105289924144745,0.9533873813264074,-0.009565841926198157,0.013940090490743393
69,69,68,-1,psi_plus_active,0.0012454712417777033,0.0027940998450098884,0.03511419783185694,0.11450258346396815,0.0005820493141648124,0.0007414120096539028
