cycle,path,n_elem,alpha_max,hist_max,hist_mean,f_min,psi_max,E_el,E_d,E_hist,precrack_half_width,precrack_x_max,n_elem_precrack_mask,n_elem_outside_precrack,hist_max_outside_precrack,hist_mean_outside_precrack,f_min_outside_precrack,f_mean_outside_precrack,psi_max_outside_precrack,psi_mean_outside_precrack,E_el_outside_precrack,E_d_outside_precrack,E_hist_outside_precrack
1,,90000,1.00009286403656,0.8572618961334229,0.011030219495296478,0.5428410768508911,0.4221639931201935,0.0047883642837405205,0.005432840436697006,7.202285989826862e-11,0.02,0.0,10000,80000,0.8572618961334229,0.012123113498091698,0.5428410768508911,0.9999788999557495,0.4221639931201935,0.006059917621314526,0.004766080062836409,6.92174508003518e-05,9.440581996700281e-13
2,,90000,1.0001507997512817,1.2687549591064453,0.01652885414659977,0.3196426033973694,0.41150492429733276,0.004787121899425983,0.005422523710876703,7.998200712844294e-11,0.02,0.0,10000,80000,1.2687549591064453,0.01818191446363926,0.3196426033973694,0.9999037981033325,0.41150492429733276,0.006058802362531424,0.004765816032886505,5.729916301788762e-05,2.215653875647927e-12
3,,90000,1.0001670122146606,1.6788806915283203,0.022026432678103447,0.21063624322414398,0.4101242423057556,0.004786644130945206,0.005407693795859814,7.364314713598219e-11,0.02,0.0,10000,80000,1.6788806915283203,0.024240713566541672,0.21063624322414398,0.9997610449790955,0.4101242423057556,0.006058797240257263,0.0047655110247433186,4.2797764763236046e-05,2.2674438281827802e-12
4,,90000,1.0001469850540161,2.0928030014038086,0.027522925287485123,0.14875134825706482,0.4139203429222107,0.004784666001796722,0.005393113009631634,7.125904033511432e-11,0.02,0.0,10000,80000,2.0928030014038086,0.03030143491923809,0.14875134825706482,0.9995724558830261,0.4139203429222107,0.006060716696083546,0.004764049779623747,2.8940652555320412e-05,1.2491344764109513e-12
5,,90000,1.0001106262207031,2.483320713043213,0.03300311043858528,0.1123569905757904,0.4304366111755371,0.004772666841745377,0.005387974437326193,7.29558774503758e-11,0.02,0.0,10000,80000,2.483320713043213,0.03636053204536438,0.1123569905757904,0.9993616342544556,0.4304366111755371,0.006059097126126289,0.0047546932473778725,2.3191265427158214e-05,2.165825895364404e-12
6,,90000,1.0000885725021362,2.557455062866211,0.038450926542282104,0.10697439312934875,0.46457383036613464,0.004740833304822445,0.005397983361035585,6.908069949407292e-11,0.02,0.0,10000,80000,2.557455062866211,0.0424029678106308,0.10697439312934875,0.9991242289543152,0.46457383036613464,0.006042439956218004,0.00472602853551507,3.256819036323577e-05,2.419815433099548e-12
7,,90000,1.0000810623168945,2.6127216815948486,0.04387372359633446,0.10320944339036942,0.5017620325088501,0.004716943949460983,0.00540123600512743,7.285210629204286e-11,0.02,0.0,10000,80000,2.6127216815948486,0.048422735184431076,0.10320944339036942,0.9988634586334229,0.5017620325088501,0.0060197641141712666,0.0047030262649059296,3.586103048291989e-05,4.729030101541243e-12
8,,90000,1.0000776052474976,2.662022590637207,0.049267008900642395,0.10001613199710846,0.5076318979263306,0.004688546992838383,0.0054079447872936726,8.124630135331046e-11,0.02,0.0,10000,80000,2.662022590637207,0.054415393620729446,0.10001613199710846,0.9985726475715637,0.5076318979263306,0.005992656573653221,0.004675577860325575,4.217051900923252e-05,3.997801655691857e-12
9,,90000,1.0000814199447632,2.704389810562134,0.05463402345776558,0.0973888635635376,0.5344464182853699,0.004661119543015957,0.00541342468932271,7.923931649722604e-11,0.02,0.0,10000,80000,2.704389810562134,0.0603814572095871,0.0973888635635376,0.9982591867446899,0.5344464182853699,0.005966064985841513,0.004648627247661352,4.778003130923025e-05,4.29556954242849e-12
10,,90000,1.0000494718551636,2.737767219543457,0.059973523020744324,0.09539129585027695,0.5289169549942017,0.004632977768778801,0.0054196701385080814,6.479031894324194e-11,0.02,0.0,10000,80000,2.737767219543457,0.06631691008806229,0.09539129585027695,0.9978976845741272,0.5289169549942017,0.005935460329055786,0.004620512016117573,5.427550422609784e-05,5.839717598377092e-12
