cycle,fem_E_el,fem_E_d,fem_total_energy,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_total_energy,delta_fem_E_el_from_c1,delta_fem_E_d_from_c1,delta_fem_total_energy_from_c1,delta_pidl_E_el_from_c1,delta_pidl_E_d_from_c1,delta_pidl_E_hist_from_c1,delta_pidl_total_energy_from_c1,delta_pidl_E_el_outside_precrack_from_c1,delta_pidl_E_d_outside_precrack_from_c1,ratio_abs_E_d_pidl_over_fem,ratio_delta_E_d_pidl_over_fem,ratio_delta_E_d_outside_precrack_pidl_over_fem
1,0.00483587,0.00569936,0.0105352,0.0047883642837405,0.005432840436697,7.202285989826862e-11,0.0047660800628364,6.92174508003518e-05,0.010221204792460359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9532369312864954,,
2,0.00484402,0.00570298,0.010547,0.0047871218994259,0.0054225237108767,7.998200712844293e-11,0.0047658160328865,5.729916301788762e-05,0.010209645690284607,8.150000000000171e-06,3.6200000000001856e-06,1.1800000000001046e-05,-1.2423843145994984e-06,-1.0316725820300361e-05,7.959147230174311e-12,-1.1559102175751762e-05,-2.640299499000187e-07,-1.1918287782464176e-05,0.9508228524169294,-2.849924259751335,-3.2923446912882777
3,0.00484624,0.00570384,0.0105501,0.0047866441309452,0.0054076937958598,7.364314713598219e-11,0.0047655110247433,4.2797764763236046e-05,0.010194338000448146,1.0369999999999997e-05,4.480000000000282e-06,1.4899999999999983e-05,-1.7201527953000437e-06,-2.514664083720034e-05,1.620287237713569e-12,-2.6866792012213148e-05,-5.690380930995984e-07,-2.6419686037115753e-05,0.9480795036080605,-5.613089472589008,-5.8972513475701085
4,0.00484584,0.00570458,0.0105504,0.0047846660017967,0.0053931130096316,7.125904033511432e-11,0.0047640497796237,2.8940652555320412e-05,0.010177779082687341,9.96999999999977e-06,5.2200000000002245e-06,1.5199999999999936e-05,-3.6982819437998e-06,-3.972742706540022e-05,-7.638195631542999e-13,-4.342570977301785e-05,-2.030283212699907e-06,-4.027679824503139e-05,0.945400539501874,-7.6106182117621675,-7.715861732764302
5,0.0048422,0.00570928,0.0105515,0.0047726668417453,0.0053879744373261,7.29558774503758e-11,0.0047546932473778,2.3191265427158218e-05,0.010160641352027277,6.329999999999704e-06,9.920000000000068e-06,1.6300000000000342e-05,-1.56974419951994e-05,-4.4865999370900106e-05,9.330175521071737e-13,-6.0563440433081955e-05,-1.1386815458600333e-05,-4.6026185373193584e-05,0.9437222272030975,-4.522782194647157,-4.6397364287493215
6,0.00483443,0.00572069,0.0105551,0.0047408333048224,0.0053979833610355,6.908069949407292e-11,0.004726028535515,3.256819036323577e-05,0.0101388167349386,-1.4400000000001217e-06,2.132999999999996e-05,1.989999999999978e-05,-4.753097891809985e-05,-3.485707566149975e-05,-2.942160404195704e-12,-8.238805752175914e-05,-4.0051527321400236e-05,-3.664926043711603e-05,0.9435895601816391,-1.6341807623769253,-1.7182025521385886
7,0.00480322,0.00576539,0.0105686,0.0047169439494609,0.0054012360051274,7.285210629204286e-11,0.0047030262649059,3.586103048291989e-05,0.010118180027440405,-3.264999999999952e-05,6.602999999999991e-05,3.33999999999994e-05,-7.142033427959965e-05,-3.160443156960055e-05,8.292463937742411e-13,-0.0001030247650199538,-6.305379793049987e-05,-3.335642031743191e-05,0.9368379251234349,-0.47863746129941837,-0.5051706848013321
8,0.00477215,0.00580731,0.0105795,0.0046885469928383,0.0054079447872936,8.124630135331046e-11,0.0046755778603255,4.217051900923252e-05,0.0100964918613782,-6.371999999999975e-05,0.00010795000000000075,4.430000000000059e-05,-9.981729090219934e-05,-2.489564940340045e-05,9.223441455041836e-12,-0.00012471293108215833,-9.050220251089966e-05,-2.7046931791119277e-05,0.931230601998791,-0.23062204171746437,-0.250550549246124
9,0.00470796,0.00588199,0.0105899,0.0046611195430159,0.0054134246893227,7.923931649722604e-11,0.0046486272476613,4.778003130923025e-05,0.010074544311577916,-0.00012791000000000018,0.00018263000000000047,5.469999999999954e-05,-0.00012724474072460003,-1.9415747374300525e-05,7.2164565989574214e-12,-0.0001466604808824431,-0.00011745281517509983,-2.1437419491121545e-05,0.9203389821000545,-0.10631192780102106,-0.11738169791995559
10,0.00467504,0.00592533,0.0106004,0.0046329777687788,0.005419670138508,6.479031894324194e-11,0.0046205120161175,5.427550422609784e-05,0.010052647972077118,-0.00016082999999999983,0.00022597000000000068,6.519999999999963e-05,-0.00015538651496169956,-1.317029818900025e-05,-7.232540955026678e-12,-0.00016855682038324077,-0.00014556804671890002,-1.4941946574253961e-05,0.9146613165018657,-0.058283392437050094,-0.06612358531775862
11,0.00463915,0.00597193,0.0106111,0.0046033803373575,0.0054267458617687,7.466209595019535e-11,0.0045911762863397,6.149384716991335e-05,0.010030126273788296,-0.00019672000000000005,0.0002725700000000006,7.590000000000027e-05,-0.00018498394638299942,-6.094574928300171e-06,2.63923605192673e-12,-0.00019107851867206267,-0.00017490377649669996,-7.723603630438447e-06,0.9087088867030758,-0.022359668812782615,-0.028336220532114428
12,0.00460008,0.00602267,0.0106227,0.0045770062133669,0.005431211553514,6.287979859020965e-11,0.0045648207888007,6.628893606830388e-05,0.0100082178297607,-0.0002357899999999996,0.00032331000000000026,8.750000000000077e-05,-0.00021135807037359934,-1.6288831829998698e-06,-9.143061308058975e-12,-0.00021298696269965965,-0.00020125927403570002,-2.9285147320479155e-06,0.9017946448193244,-0.005038146617796754,-0.009057915721901311
13,0.00456275,0.00607138,0.0106341,0.0045433659106493,0.0054406714625656,7.550386704746613e-11,0.0045310724526643,7.648635073564947e-05,0.009984037448718766,-0.00027311999999999996,0.0003720200000000007,9.890000000000072e-05,-0.00024499837309120004,7.831025868599607e-06,3.4810071491975107e-12,-0.00023716734374159242,-0.0002350076101721001,7.268899935297668e-06,0.8961177627764363,0.021050013086929716,0.019539003105471894
