cycle,field,scale,res_mean,res_abs_p99,res_abs_p999,fem_max,pidl_max,fem_mean,pidl_mean
1,alpha,raw,0.00036158963291817826,0.0016418327636595939,0.10655805604870959,1.0000965595245361,0.9992759227752686,0.048104118555784225,0.04351849853992462
1,alpha_bar,raw,0.031335003961291207,0.09843238757757593,0.14602858473783104,0.2397570013999939,0.792752742767334,0.006496302783489227,0.01103392243385315
1,f,raw,-8.538694442863617e-19,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,1.0,0.9999803900718689
1,psi_raw,log,1.3327306175758202,1.6023806202713846,1.7051898844762143,684.9092407226562,2769.79248046875,4.994125843048096,10.26607894897461
1,psi_active,log,1.3324008565599443,1.599768242963577,1.67396660181982,0.25153669714927673,0.39801090955734253,0.00567898852750659,0.005516564007848501
2,alpha,raw,0.0003473025281391431,0.0016533301793344886,0.10671492109825137,1.0008083581924438,0.9993345737457275,0.04820525646209717,0.04352029040455818
2,alpha_bar,raw,0.04721766658051748,0.1482996043666131,0.21934932672948504,0.484586626291275,1.184923529624939,0.012262383475899696,0.0165496114641428
2,f,raw,-8.538694442863617e-19,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.9999949932098389,0.9999057054519653
2,psi_raw,log,2.0501128686439487,3.3517787590370025,3.4997521061028554,663.463134765625,2774.53125,4.944023132324219,10.264398574829102
2,psi_active,log,2.049799057584572,3.3518202272821638,3.4998019567466527,0.2568426728248596,0.392170786857605,0.005475328769534826,0.005515690892934799
3,alpha,raw,0.00033179331654623783,0.0016627123999240934,0.10686095764294203,1.0009888410568237,0.9993924498558044,0.048228174448013306,0.04352802038192749
3,alpha_bar,raw,0.0631046946123478,0.19813814743567987,0.29245606356646364,0.7291268110275269,1.5729918479919434,0.01804698258638382,0.02206500433385372
3,f,raw,-8.538694442863617e-19,1.1102230246251565e-16,1.1102230246251565e-16,1.0,1.0,0.9999170303344727,0.9997677206993103
3,psi_raw,log,2.0522591869761,3.3490839595313515,3.4931987721107642,662.908447265625,2784.045654296875,4.950756549835205,10.266364097595215
3,psi_active,log,2.051961268039696,3.3491442096111483,3.493267727706421,0.2562655210494995,0.3880683481693268,0.005476159509271383,0.005515389610081911
10,alpha,raw,0.0004876941535154226,0.011623243839773065,0.14129535597842793,1.0008831024169922,0.999422550201416,0.049609892070293427,0.044278696179389954
10,alpha_bar,raw,0.17610781312213028,0.5470336946354832,0.7292330955055658,1.7506738901138306,3.1663904190063477,0.058271653950214386,0.060381706804037094
10,f,raw,-0.0024778045324718094,0.09090241790867164,0.33956546905160795,1.0,1.0,0.9978725910186768,0.9980056285858154
10,psi_raw,log,2.1801702371471356,3.2122359127915394,3.606283125987256,665.8016357421875,2779.453125,5.35129451751709,10.587154388427734
10,psi_active,log,2.1797392560418722,3.209874471455569,3.6064334767002095,0.34858274459838867,0.5244529247283936,0.005326977930963039,0.00540710985660553
