cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,d_p99,d_p999,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,fem_alpha_bar_elem_mean,fem_f_min,f_fatigue_p001,f_fatigue_mean,fem_psi_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,fem_Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,fem_x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,fem_right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,fem_E_d_increment_from_first,pidl_E_d_increment_from_first,ratio_E_d_increment_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,delta_x_tip_pidl_minus_fem_d095,ratio_Kt_pidl_over_fem_proxy
1,0.00486195,2.26662e-07,0.00486218,0.0523137085079859,5.42584976967315e-05,-3.49686875252348e-06,0.0206905285816242,1.08865,0.609451467159048,0.224194427264618,0.0663890760079417,0.0099406206761993,0.780689836879324,1.0,0.999915932139815,0.684621539711919,0.23573596682179,0.0663886431988258,0.0099846575971176,0.43389627217203,0.0055231945541923,8.86334774366318,0.001,0.001,0.001,-0.001,-0.000975,0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.0048081190325319,0.0054709231480956,0.0,1.0005749464035034,0.7367163896560669,0.0124503662809729,0.6538223028182983,0.3754083216190338,7.584731662460618,0.0,0.7367163896560669,0.012450366280972958,0.6538223576407828,0.9889281116695771,24136.922590004502,0.0,0.0,,1.2088187974840114,1.2524737324282629,0.8374930374805989,,0.855741180625943
2,0.00486093,7.00712e-07,0.00486163,0.0840326225061894,8.04301997673355e-05,-6.47248128146986e-06,0.0291411149278794,2.13522,1.2269071841489,0.454069987632795,0.133318499249778,0.0198805865099435,0.449885523391836,0.960009834597548,0.999719579703748,0.75231392379266,0.243299904086336,0.0668583202224109,0.0100131534374714,0.461969500186776,0.0055218499090815,9.14669827306835,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.0048053031787276,0.0054618204012513,0.0,1.000653624534607,1.119983196258545,0.0186425149440765,0.3810473978519439,0.3832668364048004,7.5859145175825615,0.0,1.119983196258545,0.018642514944076538,0.3810473806137034,0.9885563418373849,7794.6722779848205,4.7405000000000004e-07,-9.10274684430036e-06,-19.202081730408946,0.9128507932207375,0.9377245955370701,0.8469874624528955,,0.8293609662317845
3,0.00485897,4.73249e-06,0.0048637,0.14321068744433,0.0001320104974292,-9.01757542781571e-06,0.0454473784540504,3.11206,1.86330247528906,0.68704345735602,0.200952745284817,0.0298193092596537,0.2500096180935,0.741405097491406,0.999418138685031,0.903380030369823,0.257061257923032,0.0672565364016114,0.0100726697305631,0.521262113363585,0.0055193135784907,9.71819358015575,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.0048022605478763,0.0054495688527822,0.0,1.000606656074524,1.474104404449463,0.0248168315738439,0.2566018402576446,0.3829941153526306,7.528084100301042,0.0,1.474104404449463,0.024816831573843956,0.2566018393131333,0.9883289149503496,1151.5225288975148,4.505828e-06,-2.135429531339994e-05,-4.739261088838709,0.7911245887336572,0.8322403231325589,1.0263678742218598,,0.774638212154279
4,0.00485572,1.51884e-05,0.00487091,0.230888578739087,0.0002249375861778,-1.11747303174912e-05,0.0750594197074831,3.95344,2.50581633086987,0.923924086584003,0.268871471791981,0.039747433380086,0.153429694602987,0.525353975130327,0.998994001149958,1.15758131525785,0.280253937689093,0.0680136449834849,0.0101731252102701,0.617112181881633,0.0055156216021767,10.5775436899327,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,0.0047990921884775,0.0054357079789042,0.0,1.0005851984024048,1.8097518682479856,0.0309774987399578,0.1874430328607559,0.3630914390087127,7.525539700365714,0.0,1.8097518682479858,0.03097749873995781,0.18744305153679597,0.988337916617412,357.88549017040634,1.4961738e-05,-3.521516919140037e-05,-2.3536817174181484,0.722220477994789,0.779358466840728,1.2216868015398286,,0.7114638257205436
5,0.00484884,4.37291e-05,0.00489257,0.390949206235439,0.00042317137792,-1.2783318873882e-05,0.118218864403734,4.54985,3.17250277848846,1.16840385832473,0.338407353046047,0.0496641571392607,0.0971789840721485,0.386513962970522,0.998430895577186,1.95809661484806,0.268298074623321,0.0669308986146014,0.0104725424059995,0.910987326568005,0.0055072186979056,12.8614521417428,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,,,,,0,0,0,0,0.0047859316691756,0.0054311035200953,0.0,1.0006614923477173,2.1495938301086426,0.0371163599193096,0.1424430906772613,0.3830268383026123,7.5033951765157685,0.003252354683354497,2.1495938301086426,0.037116359919309616,0.14244309203349806,0.987026107105122,124.19884059116926,4.3502438e-05,-3.9819628000300165e-05,-0.9153424458716581,0.6775703538178829,0.7473470216203113,1.465780817090117,,0.5834018658097666
6,0.00482757,0.000117055,0.00494463,0.734856455563811,0.0010220761300566,0.0036580282648777,0.307157247323512,5.3297,3.83783408818682,1.38369208433126,0.401789332876001,0.0595725257898419,0.0655685165627498,0.337794697432613,0.997735934123167,7.90010926668257,0.367396613880962,0.0655236352949716,0.012355733810894,2.75989138674972,0.0054812696768669,22.4390987942472,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,0.003,-0.001,0.002,,4,0,0,0,0.0047606900334358,0.005435568280518,0.0,1.0006808042526243,2.3830525875091553,0.0432256385684013,0.1203080937266349,0.4446184635162353,7.957298545572609,0.005213466938585043,2.3830525875091553,0.04322563484311104,0.12030810102443644,0.986146246131242,46.43601965330828,0.00011682833799999999,-3.535486757759963e-05,-0.30262236185881236,0.6209368442592123,0.7255968753262428,1.8348454415847386,,0.35461756367919073
7,0.00478182,0.00018299,0.00496481,0.998362960444939,0.0023450399446512,0.0381796599809778,0.584788645455,6.2612,4.67555644646179,1.47293270893867,0.474237377529624,0.0695728090180995,0.0541638921382956,0.26780634711934,0.996864863780183,81.7813156783248,1.37490698897291,0.0714607380182917,0.0305085704466916,20.6768646734012,0.0054242341051452,61.7409247720358,0.001,0.001,-0.000975,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.003,0.001,0.00705,0.003,0.004,0.0,13,2,0,0,0.004731660708785,0.0054431613534688,0.0,1.0007100105285645,2.4338858127593994,0.0493046641349792,0.1161752417683601,0.4766480028629303,8.187129664151044,0.010456142947077751,2.4338858127593994,0.049304667860269547,0.1161752420311966,0.9895104183731298,29.745676558657852,0.00018276333800000002,-2.7761794626799535e-05,-0.15190023847561557,0.5205553265432682,0.7086772092550194,2.1448835595442834,0.007456142947077751,0.13260458430741268
8,0.0047511,0.000222425,0.00497353,1.01127309858741,0.003295964865912,0.0720118602216678,0.743592044662767,9.13141,6.01176302097811,1.5248931058048,0.540378877450889,0.0794207928425727,0.0454867415689091,0.250636272728552,0.995914355482371,122.122385800484,1.62320332333433,0.0752076627244078,0.0526541407258809,42.9269474818966,0.0053857502444761,89.2774749656405,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.001,0.001,0.005,0.001,0.007,0.001,0.011,0.001,0.004,0.0,17,4,0,0,0.0047050467692315,0.0054481304250657,0.0,1.0007270574569702,2.462283134460449,0.0553580708801746,0.1139585450291633,0.5354892015457153,8.280522773946444,0.012417255900800228,2.462283134460449,0.05535807088017464,0.11395853777771062,0.990306827730736,24.494235922516356,0.000222198338,-2.279272302989962e-05,-0.1025782786453588,0.4095775442026385,0.6970223904702759,2.505313440764369,0.007417255900800228,0.09275041411210726
9,0.00471595,0.000265789,0.00498174,1.01673760738875,0.0044081148101081,0.109103312081443,0.79754939940126,12.4474,7.41141985155124,1.54781481949107,0.604264764816153,0.089241035255036,0.0283531387056318,0.244388658940569,0.994860231339182,171.097868609377,1.89890186301756,0.0792347421620832,0.0886031254661391,79.3139230487975,0.0053411522575609,121.85889526441,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.009,0.001,0.009,0.001,0.015,0.001,0.00805,0.0,30,5,0,0,0.0046740593388676,0.0054564238525927,0.0,1.00068199634552,2.4717202186584473,0.0613833367824554,0.1132359132170677,0.4315508902072906,8.35145742362384,0.016339480876922607,2.4717202186584473,0.061383336782455444,0.1132359066798197,0.991117238068173,20.529156032012988,0.000265562338,-1.449929550290021e-05,-0.054598463065572984,0.33350157839743844,0.687837569421198,3.993769945285655,0.007339480876922608,0.0685338350187962
10,0.00468006,0.000309907,0.00498997,1.01883151116161,0.0055666324442055,0.170552305425341,0.820687820658796,15.6846,8.8130580079216,1.55349625834206,0.664547524834349,0.0990030101190491,0.0204146709089321,0.239024149261053,0.993736130985117,221.682262007781,2.32275717618853,0.0854165473050091,0.135768807845547,127.20124393794,0.0052954913545673,154.986027743097,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.013,0.001,0.013,0.001,0.019025,0.001,0.00805,0.0,40,7,0,0,0.0046467930078506,0.0054625812917947,0.0,1.0007128715515137,2.654787063598633,0.0673812702298164,0.100475437939167,0.5183942914009094,8.386580939898685,0.019621044397354126,2.654787063598633,0.06738127022981644,0.1004754355270687,0.9928917594754342,17.626517928909962,0.000309680338,-8.34185630090023e-06,-0.0269369904294674,0.30123335863810075,0.6805981974567419,4.921727045582971,0.006621044397354127,0.05411185164252472
