state,field,metric,value
cycle0_initial_preload_prehistory,hist_alpha_init_elem,min,0.0
cycle0_initial_preload_prehistory,hist_alpha_init_elem,max,0.9400812983512878
cycle0_initial_preload_prehistory,hist_alpha_init_elem,p99,0.8897522687911987
cycle0_initial_preload_prehistory,hist_alpha_init_elem,p999,0.9361408352851868
cycle0_initial_preload_prehistory,hist_alpha_init_elem,domain_mean,0.00677131675183773
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_l0_mean,0.5461136698722839
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_l0_integral,0.00017116735398303717
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_2l0_mean,0.2830945551395416
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_2l0_integral,0.00035647733602672815
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_4l0_mean,0.1257597804069519
cycle0_initial_preload_prehistory,hist_alpha_init_elem,tip_4l0_integral,0.0006313149351626635
cycle0_initial_preload_prehistory,hist_fat0_elem,min,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,max,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,p99,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,p999,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,domain_mean,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_l0_mean,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_l0_integral,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_2l0_mean,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_2l0_integral,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_4l0_mean,0.0
cycle0_initial_preload_prehistory,hist_fat0_elem,tip_4l0_integral,0.0
cycle0_initial_preload_prehistory,f_fatigue0_elem,min,1.0
cycle0_initial_preload_prehistory,f_fatigue0_elem,max,1.0
cycle0_initial_preload_prehistory,f_fatigue0_elem,p99,1.0
cycle0_initial_preload_prehistory,f_fatigue0_elem,p999,1.0
cycle0_initial_preload_prehistory,f_fatigue0_elem,domain_mean,0.9999999996826432
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_l0_mean,0.9999999829521296
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_l0_integral,0.0003134280797212341
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_2l0_mean,1.000000047489275
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_2l0_integral,0.001259216516473316
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_4l0_mean,1.0000000111422014
cycle0_initial_preload_prehistory,f_fatigue0_elem,tip_4l0_integral,0.005020006615723105
cycle0_initial_preload_prehistory,alpha_pretrain_elem,min,-0.00018684618407860398
cycle0_initial_preload_prehistory,alpha_pretrain_elem,max,1.0005816221237183
cycle0_initial_preload_prehistory,alpha_pretrain_elem,p99,0.9656637907028198
cycle0_initial_preload_prehistory,alpha_pretrain_elem,p999,1.0004600286483765
cycle0_initial_preload_prehistory,alpha_pretrain_elem,domain_mean,0.007963401265442371
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_l0_mean,0.5792741179466248
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_l0_integral,0.00018156078294850886
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_2l0_mean,0.31914377212524414
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_2l0_integral,0.00040187110425904393
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_4l0_mean,0.1438627988100052
cycle0_initial_preload_prehistory,alpha_pretrain_elem,tip_4l0_integral,0.0007221921696327627
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,min,-0.001761794090270996
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,max,0.21696752309799194
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,p99,0.12551699578762054
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,p999,0.1771034598350525
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,domain_mean,0.0011920834658667445
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_l0_mean,0.03316047415137291
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_l0_integral,1.0393423508503474e-05
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_2l0_mean,0.03604922071099281
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_2l0_integral,4.5393771870294586e-05
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_4l0_mean,0.018103010952472687
cycle0_initial_preload_prehistory,alpha_pretrain_minus_hist_elem,tip_4l0_integral,9.087723447009921e-05
