case,family,status,first_detected,confirmed_or_nf,last_cycle_like_index,last_E_el,last_alpha_bar_max,last_alpha_bar_mean,last_f_min,last_Kt,last_x_tip,rows,index_note
FEM soft-hist0,FEM,penetrated,,69.0,69.0,0.000334683,19.5322055924873,0.345203919382285,0.0145910883493756,10.5620661988728,0.999,69.0,FEM exported cycle number
FEM tol_irrev=5e-3,FEM,penetrated,,68.0,68.0,1.60974e-34,2.51299529453589,0.275456815467742,0.118628729130827,8.82090493453445,0.999,68.0,FEM exported cycle number
FEM peak-only,FEM,no penetration by c120,,,120.0,0.00479715,0.262548909694375,0.0057885493911344,1.0,14.3110528094941,0.495,120.0,FEM exported cycle number
FEM res_stiff=0,FEM,penetrated,,69.0,69.0,0.000335015,19.3296308380098,0.347472549393858,0.0125409925597585,10.585012802336,0.999,69.0,FEM exported cycle number
PIDL tol_ir=1e-3,PIDL,confirmed,85.0,95.0,96.0,1.1038548109354451e-05,5.798044681549072,0.3890422582626343,0.02521091140806675,229.52549604656124,0.5,96.0,PIDL saved index j plotted as j+1; exact c1 timing still requires PIDL state export
PIDL explicit substeps,PIDL,no fracture by 40 physical cycles,,,39.8,0.0,6.1676106452941895,0.22854936122894287,0.022493626922369003,,0.15608961880207062,200.0,explicit substep index divided by 5; not a FEM-cycle equivalent until timing is audited
PIDL FEM-mesh,PIDL,confirmed,82.0,85.0,86.0,8.532610081601888e-06,11.393660545349121,0.3237529397010803,0.007069177459925413,281.4516831360267,0.5,86.0,PIDL saved index j plotted as j+1; exact c1 timing still requires PIDL state export
FEM-mesh PIDL vs soft-hist0 FEM,comparison,cycle c69 selected ratio,,,69.0,,,,,,,69.0,"At c69, Delta E_d PIDL/FEM=0.251; absolute-vs-incremental energy must stay separated"
probe c69 damage_alpha max,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.9758788930344732,,,,,4485.0,PIDL/FEM=0.976; value column reused for ratio
probe c69 damage_alpha p99,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.9428190630613168,,,,,4485.0,PIDL/FEM=0.943; value column reused for ratio
probe c69 damage_alpha tip_2l0_mean,comparison,common-probe PIDL/FEM ratio,,,69.0,,1.0130518736709464,,,,,4485.0,PIDL/FEM=1.013; value column reused for ratio
probe c69 psi_plus_active max,comparison,common-probe PIDL/FEM ratio,,,69.0,,1.4369377363665214,,,,,4485.0,PIDL/FEM=1.437; value column reused for ratio
probe c69 psi_plus_active p99,comparison,common-probe PIDL/FEM ratio,,,69.0,,1.367787566995723,,,,,4485.0,PIDL/FEM=1.368; value column reused for ratio
probe c69 psi_plus_active tip_2l0_mean,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.0280808085892566,,,,,4485.0,PIDL/FEM=0.028; value column reused for ratio
probe c69 alpha_bar max,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.5088085534096427,,,,,4485.0,PIDL/FEM=0.509; value column reused for ratio
probe c69 alpha_bar p99,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.1909019354083299,,,,,4485.0,PIDL/FEM=0.191; value column reused for ratio
probe c69 alpha_bar tip_2l0_mean,comparison,common-probe PIDL/FEM ratio,,,69.0,,0.4662789250208434,,,,,4485.0,PIDL/FEM=0.466; value column reused for ratio
