cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,fem_alpha_bar_elem_mean,fem_f_min,fem_psi_max,fem_Kt_proxy,fem_x_tip_d095,alpha_bar_elem_p999,alpha_bar_elem_p99,f_fatigue_p001,f_fatigue_mean,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,pidl_E_d_increment_from_first,fem_E_d_increment_from_first,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,ratio_E_d_increment_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,ratio_Kt_pidl_over_fem_proxy,delta_x_tip_pidl_minus_fem_d095
1,0.00483587,0.00569936,0.0105352,1.00007985096113,0.0481008712960319,0.303432,0.237151637011578,0.0068003543935787,1.0,684.292465367956,10.7978731982225,-0.01100000000000001,0.119186725883157,0.0836903127065857,1.0,1.0,649.926918801192,151.601980505232,4.98090126545793,-0.495,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.499,-0.48875,-0.495,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.014,0.002,66,18,0,0,0.0048081190325319,0.0054709231480956,0.0,1.0005749464035034,0.7367163896560669,0.0124503662809729,0.6538223028182983,0.3754083216190338,7.584731662460618,0.0,0.7367163896560669,0.0124503662809729,0.6538223576407828,0.0,0.0,0.994261432282485,0.9599188589763763,,3.1065203636781122,1.8308408004043553,0.6538223028182983,0.7024282952043911,0.01100000000000001
2,0.00484402,0.00570298,0.010547,1.00079535843771,0.0482022004004182,0.614062,0.481010871865356,0.0125645539768195,0.946017915858858,663.510803208168,10.7086067536629,-0.01100000000000001,0.223931401704273,0.117255231051342,1.0,0.999995296472422,637.928934492776,156.904497129079,4.94207096495505,-0.499,0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.014,0.002,66,18,0,0,0.0048053031787276,0.0054618204012513,0.0,1.000653624534607,1.119983196258545,0.0186425149440765,0.3810473978519439,0.3832668364048004,7.5859145175825615,0.0,1.119983196258545,0.0186425149440765,0.3810473806137034,-9.10274684430036e-06,3.6200000000001856e-06,0.9920072953306551,0.9577134061931306,-2.514570951464059,2.328394765621949,1.4837386968507045,0.4027908895425133,0.7083941629463407,0.01100000000000001
3,0.00484624,0.00570384,0.0105501,1.00098125924718,0.0482251321189359,0.927637,0.725378157685161,0.018349157240863,0.685925821177673,662.935431295896,10.6960432324053,-0.009000000000000008,0.339209590022723,0.149704055888925,1.0,0.999918919068793,637.989859641518,158.107322751485,4.95031576336055,-0.499,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.014,0.002,64,18,0,0,0.0048022605478763,0.0054495688527822,0.0,1.000606656074524,1.474104404449463,0.0248168315738439,0.2566018402576446,0.3829941153526306,7.528084100301042,0.0,1.474104404449463,0.0248168315738439,0.2566018393131333,-2.135429531339994e-05,4.480000000000282e-06,0.9909250362912897,0.9554210589326139,-4.766583775312186,2.032187471916234,1.3524780047433236,0.37409561257962604,0.7038195280936748,0.009000000000000008
4,0.00484584,0.00570458,0.0105504,1.00100197928708,0.0482385386423284,1.22868,0.949938280966644,0.0241338218444889,0.49529674925073,662.976614726371,10.6933104453779,-0.009000000000000008,0.454513985055391,0.182462910168555,0.905893086059019,0.999740372465977,638.106783351815,158.439819350276,4.95327054240724,-0.499,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0030000000000000027,0.014,0.002,64,18,0,0,0.0047990921884775,0.0054357079789042,0.0,1.0005851984024048,1.8097518682479856,0.0309774987399578,0.1874430328607559,0.3630914390087127,7.525539700365714,0.0,1.8097518682479856,0.0309774987399578,0.1874430515367959,-3.521516919140037e-05,5.2200000000002245e-06,0.9903530014357675,0.9528673414877519,-6.746200994520854,1.9051257376494053,1.283572031797015,0.3784459178145507,0.7037614533690612,0.009000000000000008
5,0.0048422,0.00570928,0.0105515,1.00099304562769,0.0482617421980157,1.53521,1.17874705534895,0.0299156947481198,0.376353159616532,663.501853632627,10.6868709005549,-0.009000000000000008,0.56146951664649,0.215388175161017,0.802639338899205,0.999512148080915,638.653045282463,159.69429490993,4.96317350027659,-0.499,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.0050000000000000044,0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0030000000000000027,0.014,0.002,64,18,0,0,0.0047859316691756,0.0054311035200953,0.0,1.0006614923477173,2.1495938301086426,0.0371163599193096,0.1424430906772613,0.3830268383026123,7.503395176515768,0.0032523546833544,2.1495938301086426,0.0371163599193096,0.142443092033498,-3.9819628000300165e-05,9.920000000000068e-06,0.9883795938159514,0.9512764341730131,-4.0140754032560375,1.8236260445819634,1.2406985775131418,0.3784825157902148,0.7021133918747128,0.012252354683354408
6,0.00483443,0.00572069,0.0105551,1.00097419736153,0.0483137728926993,1.82142,1.37344464083038,0.0356862682815279,0.293925725595681,663.737273085713,10.6768768226625,-0.007000000000000006,0.667889381923642,0.249231358647812,0.717830599143725,0.999250518225904,638.942335702382,161.704067734705,4.9742241715934,-0.499,0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.007000000000000006,-0.0010000000000000009,0.014,0.002,62,16,0,0,0.0047606900334358,0.005435568280518,0.0,1.0006808042526243,2.3830525875091553,0.0432256385684013,0.1203080937266349,0.4446184635162353,7.957298545572609,0.005213466938585,2.3830525875091553,0.043225634843111,0.1203081010244364,-3.535486757759963e-05,2.132999999999996e-05,0.9847469160657616,0.9501595577662836,-1.6575184049507594,1.7350918389170529,1.2112681053506502,0.4093146099505716,0.7452833518396152,0.012213466938585006
7,0.00480322,0.00576539,0.0105686,1.00095539910561,0.0485601153677303,2.05792,1.5129051840728,0.0414433293712665,0.254252089843019,664.174657274158,10.6306875668416,-0.0050000000000000044,0.766142584697657,0.282752918324511,0.635835879924763,0.998958128534742,639.723964607656,170.504895976176,5.0209526856446,-0.499,0.0010000000000000009,0.0050000000000000044,0.0010000000000000009,0.0050000000000000044,0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,0.01100000000000001,-0.0010000000000000009,0.014,0.002,60,18,0,0,0.004731660708785,0.0054431613534688,0.0,1.0007100105285645,2.4338858127593994,0.0493046641349792,0.1161752417683601,0.4766480028629303,8.187129664151044,0.0104561429470777,2.4338858127593994,0.0493046678602695,0.1161752420311966,-2.7761794626799535e-05,6.602999999999991e-05,0.9851018085336503,0.9441098266498539,-0.42044214185672535,1.6087497342082493,1.189688784250117,0.45692934850639505,0.7701411232973954,0.015456142947077705
8,0.00477215,0.00580731,0.0105795,1.00093629891057,0.0488304162668993,2.27286,1.59703883434559,0.0471686580360463,0.241571772183653,664.598016738623,10.5833508751232,0.007000000000000006,0.893779296940179,0.316326720090164,0.584957202878262,0.998642892546804,640.496849521573,182.132409328302,5.06931251711138,-0.499,0.0010000000000000009,0.0030000000000000027,0.0010000000000000009,0.0050000000000000044,0.0010000000000000009,-0.489,0.0010000000000000009,-0.0010000000000000009,0.009000000000000008,-0.0010000000000000009,0.013000000000000012,-0.0030000000000000027,0.01,0.002,42,12,0,0,0.0047050467692315,0.0054481304250657,0.0,1.0007270574569702,2.462283134460449,0.0553580708801746,0.1139585450291633,0.5354892015457153,8.280522773946444,0.0124172559008002,2.462283134460449,0.0553580708801746,0.1139585377777106,-2.279272302989962e-05,0.00010795000000000075,0.9859385746951582,0.938150438854771,-0.21114148244464528,1.5417803759727646,1.1736197972363334,0.47173783591953466,0.7824103038490682,0.005417255900800194
9,0.00470796,0.00588199,0.0105899,1.00091779747501,0.0493625335379717,2.39609,1.65478681206318,0.0528774495282096,0.233073957636252,665.300263063832,10.3179466011754,0.013000000000000012,0.965422725480608,0.351684554947658,0.514962032155825,0.998300399721325,641.964258459218,272.995928994273,5.33935093766122,-0.499,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,-0.489,-0.0010000000000000009,-0.0010000000000000009,0.015000000000000013,-0.0010000000000000009,0.019000000000000017,-0.0030000000000000027,0.01,0.002,40,9,0,0,0.0046740593388676,0.0054564238525927,0.0,1.00068199634552,2.4717202186584473,0.0613833367824554,0.1132359132170677,0.4315508902072906,8.35145742362384,0.0163394808769226,2.4717202186584473,0.0613833367824554,0.1132359066798197,-1.449929550290021e-05,0.00018263000000000047,0.9927992886234378,0.9276492909020075,-0.07939164158626827,1.4936789444053635,1.160860391908804,0.48583683207452066,0.8094108010476094,0.003339480876922589
10,0.00467504,0.00592533,0.0106004,1.00089840916134,0.0496430497714019,2.469,1.69857461276388,0.0585037507561425,0.224913424105112,665.590966921707,10.3063799194429,0.017000000000000015,0.998121543466719,0.386030660144908,0.473534851021175,0.997939284109435,642.599904355323,288.738734329895,5.3537946578198,-0.499,-0.0010000000000000009,0.0030000000000000027,-0.0010000000000000009,0.0050000000000000044,-0.0010000000000000009,-0.489,-0.0010000000000000009,-0.0010000000000000009,0.019000000000000017,-0.0010000000000000009,0.02300000000000002,-0.0030000000000000027,0.01,0.002,39,7,0,0,0.0046467930078506,0.0054625812917947,0.0,1.0007128715515137,2.654787063598633,0.0673812702298164,0.100475437939167,0.5183942914009094,8.386580939898685,0.0196210443973541,2.654787063598633,0.0673812702298164,0.1004754355270687,-8.34185630090023e-06,0.00022597000000000068,0.9939579143388292,0.921903301891152,-0.03691576891136082,1.5629499249837642,1.1517427405753435,0.4467293952726022,0.8137271287736512,0.0026210443973540866
