comparison,metric,FEM_projected,PIDL,PIDL_minus_FEM,PIDL_over_FEM
FEM state0 d vs PIDL hist_alpha_init,crack_strip_mean,0.17012626614083912,0.16933445632457733,-0.0007918098162617848,0.9953457521038739
FEM state0 d vs PIDL hist_alpha_init,domain_mean,0.0068026979402956425,0.00677131675183773,-3.138118845791207e-05,0.9953869495995072
FEM state0 d vs PIDL hist_alpha_init,max,0.9049999713897705,0.9400812983512878,0.035081326961517334,1.0387638984205099
FEM state0 d vs PIDL hist_alpha_init,p99,0.9049999713897705,0.8897522687911987,-0.015247702598571777,0.9831517093031986
FEM state0 d vs PIDL hist_alpha_init,p999,0.9049999713897705,0.9361408352851868,0.03114086389541626,1.0344097954473905
FEM state0 d vs PIDL hist_alpha_init,right_band_mean,0.0,0.0,0.0,
FEM state0 d vs PIDL hist_alpha_init,tip_2l0_integral,0.0003573450118864819,0.00035647733602672815,-8.676758597537322e-07,0.9975718819882972
FEM state0 d vs PIDL hist_alpha_init,tip_2l0_mean,0.2837836259147494,0.2830945551395416,-0.0006890707752078007,0.9975718444889601
FEM state0 d vs PIDL hist_alpha_init,tip_4l0_integral,0.000632592406124478,0.0006313149351626635,-1.277470961814518e-06,0.9979805780950789
FEM state0 d vs PIDL hist_alpha_init,tip_4l0_mean,0.12601425886404502,0.1257597804069519,-0.0002544784570931158,0.9979805582369241
FEM state0 d vs PIDL hist_alpha_init,tip_l0_integral,0.0001706874558249153,0.00017116735398303717,4.798981581218844e-07,1.002811560789881
FEM state0 d vs PIDL hist_alpha_init,tip_l0_mean,0.5445825181549423,0.5461136698722839,0.001531151717341639,1.0028116064440138
FEM state0 d vs PIDL hist_alpha_init,top1_mean,0.9049999713897705,0.9160540699958801,0.01105409860610962,1.0122144739840535
FEM state0 d vs PIDL pretrain alpha,crack_strip_mean,0.17012626614083912,0.19945180416107178,0.02932553802023266,1.172375134571845
FEM state0 d vs PIDL pretrain alpha,domain_mean,0.0068026979402956425,0.007963401265442371,0.001160703325146729,1.1706239693918095
FEM state0 d vs PIDL pretrain alpha,max,0.9049999713897705,1.0005816221237183,0.09558165073394775,1.105615087022784
FEM state0 d vs PIDL pretrain alpha,p99,0.9049999713897705,0.9656637907028198,0.060663819313049316,1.0670318466639181
FEM state0 d vs PIDL pretrain alpha,p999,0.9049999713897705,1.0004600286483765,0.09546005725860596,1.1054807295872198
FEM state0 d vs PIDL pretrain alpha,right_band_mean,0.0,-2.1297002604114823e-05,-2.1297002604114823e-05,
FEM state0 d vs PIDL pretrain alpha,tip_2l0_integral,0.0003573450118864819,0.00040187110425904393,4.4526092372562047e-05,1.1246025294644568
FEM state0 d vs PIDL pretrain alpha,tip_2l0_mean,0.2837836259147494,0.31914377212524414,0.035360146210494714,1.124602489296254
FEM state0 d vs PIDL pretrain alpha,tip_4l0_integral,0.000632592406124478,0.0007221921696327627,8.959976350828469e-05,1.1416390121677398
FEM state0 d vs PIDL pretrain alpha,tip_4l0_mean,0.12601425886404502,0.1438627988100052,0.017848539945960168,1.1416390502698326
FEM state0 d vs PIDL pretrain alpha,tip_l0_integral,0.0001706874558249153,0.00018156078294850886,1.087332712359357e-05,1.0637031413412537
FEM state0 d vs PIDL pretrain alpha,tip_l0_mean,0.5445825181549423,0.5792741179466248,0.03469159979168246,1.0637031095107834
FEM state0 d vs PIDL pretrain alpha,top1_mean,0.9049999713897705,0.9925736784934998,0.08757370710372925,1.0967665302455711
FEM state0 alpha_bar vs PIDL hist_fat0,crack_strip_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,domain_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,max,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,p99,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,p999,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,right_band_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_2l0_integral,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_2l0_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_4l0_integral,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_4l0_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_l0_integral,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,tip_l0_mean,0.0,0.0,0.0,
FEM state0 alpha_bar vs PIDL hist_fat0,top1_mean,0.0,0.0,0.0,
FEM state0 f vs PIDL f0,crack_strip_mean,1.0000000486634222,1.0000000486634222,0.0,1.0
FEM state0 f vs PIDL f0,domain_mean,0.9999999996826432,0.9999999996826432,0.0,1.0
FEM state0 f vs PIDL f0,max,1.0,1.0,0.0,1.0
FEM state0 f vs PIDL f0,p99,1.0,1.0,0.0,1.0
FEM state0 f vs PIDL f0,p999,1.0,1.0,0.0,1.0
FEM state0 f vs PIDL f0,right_band_mean,1.0000000691391773,1.0000000691391773,0.0,1.0
FEM state0 f vs PIDL f0,tip_2l0_integral,0.001259216516473316,0.001259216516473316,0.0,1.0
FEM state0 f vs PIDL f0,tip_2l0_mean,1.000000047489275,1.000000047489275,0.0,1.0
FEM state0 f vs PIDL f0,tip_4l0_integral,0.005020006615723105,0.005020006615723105,0.0,1.0
FEM state0 f vs PIDL f0,tip_4l0_mean,1.0000000111422014,1.0000000111422014,0.0,1.0
FEM state0 f vs PIDL f0,tip_l0_integral,0.0003134280797212341,0.0003134280797212341,0.0,1.0
FEM state0 f vs PIDL f0,tip_l0_mean,0.9999999829521296,0.9999999829521296,0.0,1.0
FEM state0 f vs PIDL f0,top1_mean,1.0,1.0,0.0,1.0
state0_to_step1_pre,d_native_delta_max_abs,,,0.038307011127471924,
state0_to_step1_pre,alpha_bar_native_delta_max_abs,,,0.0,
state0_to_step1_pre,f_fatigue_native_delta_max_abs,,,0.0,
state0_to_step1_pre,psi_plus_current_native_delta_max_abs,,,2.832002878189087,
state0_to_step1_pre,psi_plus_peak_to_date_native_delta_max_abs,,,2.832002878189087,
peak_pre_to_peak_post,d_native_delta_max_abs,,,0.0,
peak_pre_to_peak_post,alpha_bar_native_delta_max_abs,,,0.12186724692583084,
peak_pre_to_peak_post,f_fatigue_native_delta_max_abs,,,0.0,
peak_pre_to_peak_post,psi_plus_current_native_delta_max_abs,,,0.0,
peak_pre_to_peak_post,psi_plus_peak_to_date_native_delta_max_abs,,,0.0,
peak_post_to_unloaded_post,d_native_delta_max_abs,,,0.007919669151306152,
peak_post_to_unloaded_post,alpha_bar_native_delta_max_abs,,,0.0,
peak_post_to_unloaded_post,f_fatigue_native_delta_max_abs,,,0.0,
peak_post_to_unloaded_post,psi_plus_current_native_delta_max_abs,,,684.29248046875,
peak_post_to_unloaded_post,psi_plus_peak_to_date_native_delta_max_abs,,,0.0,
