cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,damage_alpha,crack_strip_mean,0.21703000817748133,0.1985628753900528,0.9149097724203806,1.0930039553020778
1,1,0,-1,damage_alpha,domain_mean,0.004274232448982488,0.007921146228909492,1.8532324396150188,0.5395977205146133
1,1,0,-1,damage_alpha,max,1.000079870223999,1.0008054971694946,1.0007255689941374,0.9992749570745286
1,1,0,-1,damage_alpha,p99,0.9979155778884887,0.962966799736023,0.9649782216784163,1.0362928173245913
1,1,0,-1,damage_alpha,p999,0.9999323940277098,1.0005438327789307,1.000611480090927,0.9993888935884772
1,1,0,-1,damage_alpha,right_band_mean,-3.966301678226875e-06,-2.2365151380654424e-05,5.638792304536126,0.17734293905373144
1,1,0,-1,damage_alpha,tip_2l0_integral,0.0001695177505033132,0.0003980344336014241,2.3480398508098688,0.42588714993703675
1,1,0,-1,damage_alpha,tip_2l0_mean,0.3118212349698559,0.3160969018936157,1.0137119170994662,0.9864735563741818
1,1,0,-1,damage_alpha,tip_4l0_integral,0.0003158236544777051,0.0007166067371144891,2.2690090718492284,0.4407210232901388
1,1,0,-1,damage_alpha,tip_4l0_mean,0.14607790628640072,0.14275015890598297,0.9772193655767947,1.0233116894994803
1,1,0,-1,damage_alpha,tip_l0_integral,7.669597190015169e-05,0.00018035800894722342,2.3515968893650165,0.4252429506615066
1,1,0,-1,damage_alpha,tip_l0_mean,0.5729458450570166,0.5754366517066956,1.0043473683789976,0.9956714494248995
1,1,0,-1,damage_alpha,top1_mean,0.9992091074639324,0.9918884038925171,0.9926735019559662,1.0073805717888085
1,1,0,-1,psi_plus_raw,crack_strip_mean,22.470369214789454,49.71950149536133,2.2126695391652556,0.4519427697175497
1,1,0,-1,psi_plus_raw,domain_mean,0.44721847532746334,1.9926079511642456,4.455558213924891,0.22443876883365918
1,1,0,-1,psi_plus_raw,max,684.29248046875,5280.42138671875,7.716614660300793,0.12959050620275758
1,1,0,-1,psi_plus_raw,p99,466.364837646481,0.9500404596328735,0.00203711854527299,490.88944888378705
1,1,0,-1,psi_plus_raw,p999,661.7947705078144,3101.931640625,4.687150426173355,0.2133492440131502
1,1,0,-1,psi_plus_raw,right_band_mean,0.009071614811447158,0.008618088439106941,0.9500059932253817,1.0526249382963182
1,1,0,-1,psi_plus_raw,tip_2l0_integral,0.0014174171474106378,0.007742348592728376,5.4622935858171555,0.18307327943640742
1,1,0,-1,psi_plus_raw,tip_2l0_mean,2.6072830960814164,6.148544788360596,2.3582190969601555,0.424048809242976
1,1,0,-1,psi_plus_raw,tip_4l0_integral,0.00480425965379388,0.02621392533183098,5.456392289523752,0.1832712801680325
1,1,0,-1,psi_plus_raw,tip_4l0_mean,2.222114086555793,5.221890449523926,2.3499650540525088,0.4255382429094009
