package_id,trajectory_id,availability,validation,evidence_class,primary_road_loto_eligible,within_hard5_loco_eligible,family_id,umax,n_substeps,initial_tip_state,loading_history,first_hit,confirmed,state_count,source_root,reason
Hard5_eta0_5step_Umax_0.11_20260729,hard5_eta0_u011_5step_20260729,present,pass,load_amplitude_sensitivity_library,False,False,hard5_eta0_5step_load_amplitude_family_20260729,0.11,5,hard_recovery_shared,retained_5step_shared,122,125,125,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Hard5_eta0_5step_Umax_011_012_013_20260729/u011/SENS_hard5_u011_eta0_canonical_v1,Only Umax changes; this family cannot inflate independent-trajectory count.
Hard5_eta0_5step_Umax_0.12_20260729,hard5_eta0_u012_5step_20260729,present,pass,load_amplitude_sensitivity_library,False,False,hard5_eta0_5step_load_amplitude_family_20260729,0.12,5,hard_recovery_shared,retained_5step_shared,83,86,89,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Hard5_eta0_5step_Umax_011_012_013_20260729/u012/SENS_hard5_u012_eta0_formal_pidl_native_q4_v1,Only Umax changes; this family cannot inflate independent-trajectory count.
Hard5_eta0_5step_Umax_0.13_20260729,hard5_eta0_u013_5step_20260729,present,pass,load_amplitude_sensitivity_library,False,False,hard5_eta0_5step_load_amplitude_family_20260729,0.13,5,hard_recovery_shared,retained_5step_shared,59,62,62,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Hard5_eta0_5step_Umax_011_012_013_20260729/u013/SENS_hard5_u013_eta0_canonical_v1,Only Umax changes; this family cannot inflate independent-trajectory count.
Umax_012_2x2::01_hard_8step_historical,factorial_hard_8step_u012,present,pass,shared_geometry_2x2_factorial,False,True,hard5_eta0_u012_shared_geometry_2x2_factorial_20260729,0.12,8,hard_recovery,explicit_8step,86,89,89,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Umax_012_all_versions_20260729/01_hard_8step_historical,Controlled initial-tip x loading-history combination; shared geometry/material/Umax.
Umax_012_2x2::02_hard_5step_factorial,factorial_hard_5step_u012,present,pass,shared_geometry_2x2_factorial,False,True,hard5_eta0_u012_shared_geometry_2x2_factorial_20260729,0.12,5,hard_recovery,retained_5step,83,86,86,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Umax_012_all_versions_20260729/02_hard_5step_factorial,Controlled initial-tip x loading-history combination; shared geometry/material/Umax.
Umax_012_2x2::03_soft_8step,factorial_soft_8step_u012,present,pass,shared_geometry_2x2_factorial,False,True,hard5_eta0_u012_shared_geometry_2x2_factorial_20260729,0.12,8,analytic_soft_profile,explicit_8step,83,86,86,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Umax_012_all_versions_20260729/03_soft_8step,Controlled initial-tip x loading-history combination; shared geometry/material/Umax.
Umax_012_2x2::04_soft_5step,factorial_soft_5step_u012,present,pass,shared_geometry_2x2_factorial,False,True,hard5_eta0_u012_shared_geometry_2x2_factorial_20260729,0.12,5,analytic_soft_profile,retained_5step,84,87,87,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Umax_012_all_versions_20260729/04_soft_5step,Controlled initial-tip x loading-history combination; shared geometry/material/Umax.
hard5_u012_formal_duplicate,EXCLUDED_DUPLICATE_CONFIGURATION,present,registered_not_ingested,duplicate_hard_5step_configuration,False,False,hard5_u012_hard_5step_duplicate_group,0.12,5,hard_recovery,retained_5step,83,86,not_counted,/Users/wenxiaofang/Library/CloudStorage/OneDrive-UniversityofCambridge/griphfith/Umax_012_all_versions_20260729/05_hard_5step_formal_pidl_native_q4,Same factorial cell as hard/5-step; excluded to prevent replicate/configuration leakage.
legacy_reversebc_soft_hist0_c69,legacy_c69_reversebc_soft_hist0,remote_reference_only,rejected_old_c69,do_not_cite,False,False,legacy_reversebc_soft_hist0,0.12,unknown_or_unmatched,legacy,legacy,69,69,0,/mnt/data2/drtao/pidl_fem_handoff/reverseBC_u12_diffuse_precrack_soft_hist0_2026-05-28/reverseBC_u12_diffuse_precrack_soft_hist0_element_fields_c1_c69.mat,Explicit legacy c69 package rejected by provenance marker.
independent_initial_defect_variant,UNASSIGNED,awaiting_handoff,not_run_missing_data,pending_independent_trajectory,False,False,UNASSIGNED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,0,,Producer-reported independent trajectory is still awaiting a source package.
independent_material_variant,UNASSIGNED,awaiting_handoff,not_run_missing_data,pending_independent_trajectory,False,False,UNASSIGNED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,0,,Producer-reported independent trajectory is still awaiting a source package.
independent_loading_history_variant,UNASSIGNED,awaiting_handoff,not_run_missing_data,pending_independent_trajectory,False,False,UNASSIGNED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,UNDECLARED,0,,Producer-reported independent trajectory is still awaiting a source package.
