registration_id,reid,category,previous_image,current_image,previous_timestamp_local_naive,current_timestamp_local_naive,coordinate_frame_id,target_frame_id,spatial_unit,timezone_status,previous_keypoints,current_keypoints,good_matches,inliers,inlier_ratio,median_reprojection_error_px,p95_reprojection_error_px,projected_area_ratio,registration_passed,failure_reasons,homography_current_to_previous,mechanical_decision_eligible
19433ca126983304ad098a19a875699dc4bd1074f033195dcbc0fe7be7b64796,2027,Transverse Crack,2022-11-30_12-48-57-948-n00088.jpg,2023-02-02_13-43-46-345-n00088.jpg,2022-11-30T12:48:57.948,2023-02-02T13:43:46.345,pavetrack:2027:2023-02-02_13-43-46-345-n00088.jpg:pixels,pavetrack:2027:2022-11-30_12-48-57-948-n00088.jpg:pixels,pixel,unknown_not_ingested,2480,2307,114,54,0.47368421052631576,1.155627727508545,3.9763176441192627,1.1032656455641991,True,,"[[0.9786419100895309,-0.05731311518087552,154.5824404418607],[-0.014504868245473751,0.9718031890718171,10.197030682492718],[-2.095365061818804e-06,-8.278864383975567e-05,1.0]]",False
3a8e2e2a3cb312a415adc0662040410c3a0a0923a7da6225bd055816b0592e54,2027,Transverse Crack,2023-02-02_13-43-46-345-n00088.jpg,2023-03-09_12-41-05-560-n00088.jpg,2023-02-02T13:43:46.345,2023-03-09T12:41:05.560,pavetrack:2027:2023-03-09_12-41-05-560-n00088.jpg:pixels,pavetrack:2027:2023-02-02_13-43-46-345-n00088.jpg:pixels,pixel,unknown_not_ingested,2307,1950,58,19,0.3275862068965517,1.4352009296417236,4.872285842895508,1.1144397555788366,True,,"[[0.9936852901668853,-0.14767796502338135,98.3078771178298],[0.0123756817356652,0.9863707048200031,-21.582530379755557],[-5.125358917399618e-06,-6.631316443797543e-05,1.0]]",False
20ab92fd0cd226915baba3fdaf6ea4bf6fda8dd3bceead97a2477131b5b75d56,2027,Transverse Crack,2023-03-09_12-41-05-560-n00088.jpg,2023-04-21_13-08-11-860-n00088.jpg,2023-03-09T12:41:05.560,2023-04-21T13:08:11.860,pavetrack:2027:2023-04-21_13-08-11-860-n00088.jpg:pixels,pavetrack:2027:2023-03-09_12-41-05-560-n00088.jpg:pixels,pixel,unknown_not_ingested,1950,2165,57,13,0.22807017543859648,1.7745366096496582,5.001908302307129,1.3700839790773254,False,too_few_inliers|low_inlier_ratio,"[[0.9946012691142694,-0.2704837089678302,14.37648120683131],[0.012167983889939255,0.8788471749086543,3.656240410711669],[3.841704002854404e-05,-0.0002876429416988068,1.0]]",False
0c3ccebd5b096688759d0762d0fc20c7f8a7612e8a66dd86ad5710392871244f,2027,Transverse Crack,2023-04-21_13-08-11-860-n00088.jpg,2023-05-30_12-04-56-293-n00088.jpg,2023-04-21T13:08:11.860,2023-05-30T12:04:56.293,pavetrack:2027:2023-05-30_12-04-56-293-n00088.jpg:pixels,pavetrack:2027:2023-04-21_13-08-11-860-n00088.jpg:pixels,pixel,unknown_not_ingested,2165,1671,75,22,0.29333333333333333,2.169785499572754,3.7754740715026855,0.7602836106626699,True,,"[[1.0389441276283442,0.08708319719188885,-7.030784884954387],[0.041108535655736606,0.8883484662721166,1.490690208077634],[1.8405879150422408e-05,9.150267556307642e-05,1.0]]",False
c504ec58ad7fbc344bab595637e628fcec6b60c4aa3bb0c7885f4f2c2a77ea2c,2027,Transverse Crack,2023-05-30_12-04-56-293-n00088.jpg,2023-07-08_10-54-55-839-n00088.jpg,2023-05-30T12:04:56.293,2023-07-08T10:54:55.839,pavetrack:2027:2023-07-08_10-54-55-839-n00088.jpg:pixels,pavetrack:2027:2023-05-30_12-04-56-293-n00088.jpg:pixels,pixel,unknown_not_ingested,1671,1848,110,44,0.4,1.635984182357788,4.619973182678223,1.1978241966170078,True,,"[[0.9908642018423043,-0.04775086703585325,-41.45925063403046],[-0.007606594219306233,0.9853417938848339,-12.815902244751378],[-5.708053229808389e-06,-0.00010847256525888,0.9999999999999999]]",False
b2aed6fdddcb9af819b8ec01e3a4ab5203c026993d31a8a968f0267b3e707ec6,2027,Transverse Crack,2023-07-08_10-54-55-839-n00088.jpg,2023-08-19_10-41-12-970-n00088.jpg,2023-07-08T10:54:55.839,2023-08-19T10:41:12.970,pavetrack:2027:2023-08-19_10-41-12-970-n00088.jpg:pixels,pavetrack:2027:2023-07-08_10-54-55-839-n00088.jpg:pixels,pixel,unknown_not_ingested,1848,1765,102,57,0.5588235294117647,1.8044840097427368,5.29427433013916,1.0436692839414317,True,,"[[1.0033526567307898,-0.1646781591583716,6.897908796279794],[-0.006417016326897209,0.812086083143424,9.54092915545365],[3.056497781421555e-05,-0.00018603499553215263,1.0]]",False
112ed8110f08d02eda45d3b5ef5e9358e97d39d00144ba03aa3ae446d081cb64,2027,Transverse Crack,2023-08-19_10-41-12-970-n00088.jpg,2023-11-08_12-31-54-570-n00088.jpg,2023-08-19T10:41:12.970,2023-11-08T12:31:54.570,pavetrack:2027:2023-11-08_12-31-54-570-n00088.jpg:pixels,pavetrack:2027:2023-08-19_10-41-12-970-n00088.jpg:pixels,pixel,unknown_not_ingested,1765,1383,95,53,0.5578947368421052,0.2690817713737488,0.612653374671936,1.0742429852092237,True,,"[[0.9913663694257614,-0.016421362127872065,1.5915074933865077],[-0.00047923258319114285,0.9928599870526751,0.2548455644867035],[-1.2012247529099432e-05,-3.130507075201706e-05,1.0]]",False
08efabe30d9580b9e631fcc9088eb923860f2ad032c415d4aea763ad131a9228,5982,Transverse Crack,2022-11-30_13-31-18-050-n00088.jpg,2023-01-17_10-06-06-428-n00088.jpg,2022-11-30T13:31:18.050,2023-01-17T10:06:06.428,pavetrack:5982:2023-01-17_10-06-06-428-n00088.jpg:pixels,pavetrack:5982:2022-11-30_13-31-18-050-n00088.jpg:pixels,pixel,unknown_not_ingested,2282,2576,93,52,0.5591397849462365,1.7596055269241333,4.751909255981445,1.1388844986739415,True,,"[[0.9727705917984506,-0.016319584226256716,134.40574245185888],[0.0017196798338363793,0.9595147746506668,3.6633843338411674],[-1.8878532058965568e-05,-8.066166444106947e-05,1.0]]",False
5c66440f6ca93435225853cabb6b59694825a142f969d16fadae46d987197e95,5982,Transverse Crack,2023-01-17_10-06-06-428-n00088.jpg,2023-03-09_12-20-36-273-n00088.jpg,2023-01-17T10:06:06.428,2023-03-09T12:20:36.273,pavetrack:5982:2023-03-09_12-20-36-273-n00088.jpg:pixels,pavetrack:5982:2023-01-17_10-06-06-428-n00088.jpg:pixels,pixel,unknown_not_ingested,2576,2428,83,45,0.5421686746987951,2.060396432876587,5.207935810089111,0.7510776257755981,True,,"[[0.97002859386952,0.15944620992884628,42.66272688110252],[-0.004452480473449982,1.0428027734128547,-4.065766176152472],[-3.939602756461336e-05,0.00029542749752008575,1.0]]",False
28c16cd66660cf08bfc4699d7800cc37f5a5cdb7dfe22d40a2e362837042ba10,5982,Transverse Crack,2023-03-09_12-20-36-273-n00088.jpg,2023-04-21_12-49-21-367-n00088.jpg,2023-03-09T12:20:36.273,2023-04-21T12:49:21.367,pavetrack:5982:2023-04-21_12-49-21-367-n00088.jpg:pixels,pavetrack:5982:2023-03-09_12-20-36-273-n00088.jpg:pixels,pixel,unknown_not_ingested,2428,2275,60,32,0.5333333333333333,2.609269618988037,5.127313613891602,0.8279676235214629,True,,"[[1.0451546864242862,0.1412021974829955,-8.72958077346263],[0.008291891674444486,0.9844929490212881,-0.8566431250319307],[2.889816762491601e-05,9.084825294929704e-05,1.0]]",False
