integration_step_index,model_trigger_risk_score,model_only_request_inspection,model_only_stop_recursive,image_channel_z,fwd_channel_z,strain_proxy_channel_z,observation_warning_count,observation_hard_count,image_only_request_inspection,image_only_stop_recursive,innovation_aware_request_inspection,innovation_aware_stop_recursive,runtime_decision_status,audit_only_fem_absolute_p99_iou,audit_only_fem_support_area_ratio,audit_only_fem_active_log_mae,audit_only_hidden_support_gate_failed
76,0.0,False,False,0.0,0.0,0.0,0,0,False,False,False,False,diagnostic_only_single_synthetic_trajectory,1.0,1.0,3.429714693750868e-17,False
77,1.55777519206655,False,False,0.0,0.0,0.6744907594765952,0,0,False,False,False,False,diagnostic_only_single_synthetic_trajectory,0.8634089683032047,0.9096419624385901,0.02420095430200288,False
78,0.0,False,False,0.0,0.0,0.0,0,0,False,False,False,False,diagnostic_only_single_synthetic_trajectory,0.8304044213182106,0.851512455990624,0.03247177200119479,False
79,0.8047081756969177,False,False,1.3878150268288976,0.0,5.467823635257027,1,1,False,False,False,False,diagnostic_only_single_synthetic_trajectory,0.7406347067228797,0.7801578915647757,0.04951208168416294,False
80,1.6875461733210477,False,False,3.328294555382119,0.0,43.52953907423929,2,1,False,False,True,True,diagnostic_only_single_synthetic_trajectory,0.5553754526289139,0.7326378339661935,0.07582134058737315,False
81,2.040407203357733,False,False,4.387982256275365,0.0,91.84274870493569,2,1,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.4309513957400499,0.7076645520048293,0.09119141469105123,True
82,2.6500354533095343,False,False,5.044592864532653,0.0,98.24669150767696,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.3888856164463885,0.7282045974426695,0.10135981002462925,True
83,3.2881616925988912,True,False,6.743882676255341,0.0,142.87599652304849,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.2900584083009669,0.7376154819326162,0.13371331813885368,True
84,3.9165937100625476,True,True,9.073981391503713,0.0,176.15554232010524,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.20687716928258468,0.7646605327345957,0.1962151918919283,True
85,4.53655149091138,True,True,10.741757180779578,0.0,165.12188226058467,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.19146563423164975,0.9005270821089135,0.2542061381957989,True
86,5.149805589414082,True,True,15.8239552918503,0.0,84.87894299296137,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.34938954126772687,2.086785819946176,0.4821227429851347,True
87,5.757496191458081,True,True,15.823918742771076,0.0,2556.386838735866,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.010146249047610433,97.16380636237953,3.2672621847313743,True
88,6.361302089250645,True,True,18.21743074395391,0.0,2289.100265832265,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.010124724375217933,97.13211659493065,3.2563060618810273,True
89,6.962394655988724,True,True,21.261108042923752,0.0,2219.771894156049,2,2,True,True,True,True,diagnostic_only_single_synthetic_trajectory,0.010115313227182123,97.0817478815722,3.2443895089044976,True
