log,arch,stage,mode,adaptive_lambda_hist,short_relaunch,status,N_detect,N_stop,last_cycle,alpha_bar_max,f_min,f_mean,Kt,tip_x,tip_y,alpha_bdy,N_bdy_gt095,diag_cycle,window_active,corr_over_total,tip_grad_over_global
mlp_s1_alpha.log,mlp,S1,alpha,False,False,fracture_confirmed,79,82,82,6.5866e+00,0.0199,0.8595,610.54,0.5000,0.0109,1.0009,25,82,0.029,1.511e-01,1.200e-03
mlp_s1_uv.log,mlp,S1,uv,False,False,fracture_confirmed,81,84,84,1.0534e+01,0.0082,0.8508,886.38,0.5000,0.0070,1.0005,26,84,0.029,2.303e-03,5.662e-02
mlp_s2_all.log,mlp,S2,all,False,False,fracture_confirmed,76,79,79,1.0853e+01,0.0078,0.7896,784.16,0.5000,0.0010,1.0007,142,79,0.059,3.039e-02,4.968e-03
mlp_s2_all_adapthist.log,mlp,S2,all,True,False,fracture_confirmed,76,79,79,1.0853e+01,0.0078,0.7896,784.16,0.5000,0.0010,1.0007,142,79,0.059,3.039e-02,4.968e-03
mlp_s2_alpha.log,mlp,S2,alpha,False,False,fracture_confirmed,78,81,81,6.5889e+00,0.0199,0.7752,575.81,0.5000,0.0030,1.0008,135,81,0.059,1.972e-01,9.989e-04
mlp_s2_uv.log,mlp,S2,uv,False,False,fracture_confirmed,79,82,82,9.5565e+00,0.0099,0.7697,832.35,0.5000,0.0030,1.0007,140,82,0.060,1.071e-02,6.103e-02
fourier_s1_alpha.log,fourier,S1,alpha,False,False,fracture_confirmed,81,84,84,9.0280e+00,0.0110,0.8565,740.61,0.5000,0.0070,1.0011,25,84,0.029,3.109e-02,3.052e-04
fourier_s1_uv.log,fourier,S1,uv,False,False,fracture_confirmed,80,83,83,1.0878e+01,0.0077,0.8587,921.37,0.5000,0.0129,1.0007,27,83,0.029,6.807e-03,2.413e-03
fourier_s2_all.log,fourier,S2,all,False,False,fracture_confirmed,76,79,79,8.0182e+00,0.0138,0.7920,772.24,0.5000,-0.0010,1.0006,141,79,0.060,3.355e-02,1.198e-03
fourier_s2_all_adapthist_short.log,fourier,S2,all,True,True,fracture_confirmed,76,79,79,8.0182e+00,0.0138,0.7920,772.24,0.5000,-0.0010,1.0006,141,79,0.060,3.355e-02,1.198e-03
fourier_s2_alpha.log,fourier,S2,alpha,False,False,no_fracture_or_incomplete,,,,,,,,,,,,,,,
fourier_s2_alpha_short.log,fourier,S2,alpha,False,True,fracture_confirmed,78,81,81,9.7250e+00,0.0096,0.7781,870.47,0.5000,0.0010,1.0008,121,81,0.060,9.580e-02,4.744e-04
fourier_s2_uv.log,fourier,S2,uv,False,False,no_fracture_or_incomplete,,,,,,,,,,,,,,,
fourier_s2_uv_short.log,fourier,S2,uv,False,True,fracture_confirmed,78,81,81,1.1285e+01,0.0072,0.7770,948.07,0.5000,0.0010,1.0010,136,81,0.060,1.213e-02,9.596e-04
siren_s1_alpha.log,siren,S1,alpha,False,False,fracture_confirmed,79,82,82,6.9998e+00,0.0178,0.8621,618.71,0.5000,0.0050,1.0021,25,82,0.029,7.301e-02,4.416e-03
siren_s1_uv.log,siren,S1,uv,False,False,nan_or_failed,,,,,,,,,,,,,,,
siren_s2_all.log,siren,S2,all,False,False,fracture_confirmed,75,78,78,6.8302e+00,0.0186,0.7960,713.45,0.5000,-0.0050,1.0009,143,78,0.059,3.969e-02,6.557e-03
siren_s2_all_adapthist.log,siren,S2,all,True,False,no_fracture_or_incomplete,,,,,,,,,,,,,,,
siren_s2_all_adapthist_short.log,siren,S2,all,True,True,fracture_confirmed,75,78,78,7.3448e+00,0.0162,0.7964,737.09,0.5000,0.0030,1.0007,135,78,0.060,3.539e-02,1.611e-02
siren_s2_alpha.log,siren,S2,alpha,False,False,no_fracture_or_incomplete,,,,,,,,,,,,,,,
siren_s2_alpha_short.log,siren,S2,alpha,False,True,fracture_confirmed,79,82,82,6.8257e+00,0.0186,0.7720,689.35,0.5000,-0.0030,1.0005,129,82,0.060,5.147e-02,1.811e-03
siren_s2_uv.log,siren,S2,uv,False,False,fracture_confirmed,77,80,80,9.5677e+00,0.0099,0.7834,1175.57,0.5000,0.0010,1.0008,135,80,0.059,4.206e-03,1.504e-03
