run,arch,stage,mode,wr,adaptive_lambda_hist,N_detect,N_stop,snapshot_cycle,n_points,alpha_snapshot_max,alpha_snapshot_mean,frac_alpha_gt_0p5,frac_alpha_gt_0p9,frac_alpha_gt_0p95,x_tip_alpha_gt_0p5,x_tip_alpha_gt_0p9,x_tip_alpha_gt_0p95,width_y_alpha_gt_0p5,width_y_alpha_gt_0p9,width_y_alpha_gt_0p95,abs_y_p95_alpha_gt_0p9,n_boundary_alpha_gt_0p95,alpha_bar_max_final,alpha_bar_mean_final,f_min_or_f_slot_final,Kt_final,Kt_max,E_el_final,E_d_final,E_hist_final,lambda_hist_final,lambda_hat_balance_final,grad_E_el_final,grad_E_d_final,grad_E_hist_final,tip_corr_over_total_final,tip_grad_ratio_final,final_snapshot
fourier_s1_alpha,fourier,S1,alpha,0.05,False,81,84,84,40704,1.001633644104004,0.1736324859619047,0.1541371855345912,0.047071540880503145,0.03503341194968553,0.5,0.5,0.5,0.021697175595909356,0.013511304394342005,0.012885689036920667,0.010899276472628117,7,9.028027534484863,0.36734068393707275,0.011015241034328938,740.6140547383484,740.6140547383484,1.1669621017063037e-05,0.0079797748476266,0.0,1.0,,0.3521595671965259,2.2643308895111867,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/fourier_s1_alpha/alpha_snapshots/alpha_cycle_0084.npy
fourier_s1_uv,fourier,S1,uv,0.05,False,80,83,83,40704,1.0022364854812622,0.15292266737406124,0.1363748034591195,0.03923447327044025,0.0316185141509434,0.5,0.5,0.5,0.02406557835638523,0.016827767807990307,0.016709447326138615,0.01450508944690227,8,10.8781099319458,0.3672989010810852,0.007724311668425798,921.3685864870158,921.3685864870158,1.845603037509136e-05,0.0077007366344332,0.0,1.0,,0.3758403073537996,0.7726665116477951,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/fourier_s1_uv/alpha_snapshots/alpha_cycle_0083.npy
mlp_s1_alpha,mlp,S1,alpha,0.05,False,79,82,82,40704,1.0011637210845947,0.18439171264612894,0.16325176886792453,0.05188679245283019,0.03803066037735849,0.5,0.5,0.5,0.022870715148746966,0.014611051126848905,0.013968277745880185,0.011919315066188572,8,6.586555004119873,0.36210229992866516,0.019912676885724068,610.5393554792624,621.1232880939394,9.064106052392162e-06,0.0082774702459573,0.0,1.0,,0.1171594597679895,1.3253010374415777,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s1_alpha/alpha_snapshots/alpha_cycle_0082.npy
mlp_s1_uv,mlp,S1,uv,0.05,False,81,84,84,40704,1.0009435415267944,0.1552463069385351,0.13856132075471697,0.04051198899371069,0.032109866352201255,0.5,0.5,0.5,0.015126875508576634,0.007827677624300122,0.007856462826021017,0.005676307156682014,8,10.533735275268555,0.37461674213409424,0.008214004337787628,886.3802240113072,886.3802240113072,1.4916789950802922e-05,0.0076957205310463,0.0,1.0,,0.6322918478942285,1.1094721146776814,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s1_uv/alpha_snapshots/alpha_cycle_0084.npy
fourier_s2_all,fourier,S2,all,0.05,False,76,79,79,80544,1.001225233078003,0.18209841837540394,0.1554678188319428,0.04411253476360747,0.03138657131505761,0.5,0.5,0.5,0.014900880539789791,0.006327051343396301,0.005828984110848978,0.004075415991246696,29,8.018150329589844,0.5216899514198303,0.01378190889954567,772.2411353737782,772.2411353737782,1.2021643669868354e-05,0.0087494859471917,0.0,1.0,,0.1578069652168952,1.1182427259059282,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/fourier_s2_all/alpha_snapshots/alpha_cycle_0079.npy
fourier_s2_alpha_short,fourier,S2,alpha,0.05,False,78,81,81,80765,1.0026912689208984,0.20922910344974843,0.17466724447471058,0.05269609360490311,0.038531542128397205,0.5,0.5,0.5,0.016632781829684973,0.00757885113125667,0.006880368856946003,0.005407135933637619,20,9.725034713745117,0.5355943441390991,0.00956468004733324,870.4747875479533,870.4747875479533,1.2130536561016925e-05,0.0090103279799222,0.0,1.0,,0.2752841836200005,3.977499498488757,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/fourier_s2_alpha_short/alpha_snapshots/alpha_cycle_0081.npy
mlp_s2_all,mlp,S2,all,0.05,False,76,79,79,80456,1.0007623434066772,0.18900979213706243,0.1567440588644725,0.043825196380630406,0.03031470617480362,0.5,0.5,0.5,0.015419287839904428,0.006864439754281193,0.00663239313289523,0.003932704217731953,26,10.853422164916992,0.524082362651825,0.007757939863950014,784.1627913171279,784.1627913171279,9.814367331273388e-06,0.0088060619309544,0.0,1.0,,0.1364229564970781,1.0372105557312663,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s2_all/alpha_snapshots/alpha_cycle_0079.npy
mlp_s2_all_adapthist,mlp,S2,all,0.05,True,76,79,79,80456,1.0007623434066772,0.18900979213706243,0.1567440588644725,0.043825196380630406,0.03031470617480362,0.5,0.5,0.5,0.015419287839904428,0.006864439754281193,0.00663239313289523,0.003932704217731953,26,10.853422164916992,0.524082362651825,0.007757939863950014,784.1627913171279,784.1627913171279,9.814367331273388e-06,0.0088060619309544,0.0,1.0,,0.1364229564970781,1.0372105557312663,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s2_all_adapthist/alpha_snapshots/alpha_cycle_0079.npy
mlp_s2_alpha,mlp,S2,alpha,0.05,False,78,81,81,80476,1.0032808780670166,0.24649521023645346,0.20824842188975595,0.07309011382275461,0.05684924698046623,0.5,0.5,0.5,0.02104639345780014,0.013627949869260188,0.014082580152899031,0.0100853381678462,22,6.588875770568848,0.5363805890083313,0.01989964209496975,575.8053945740588,580.441066787067,6.989705525484169e-06,0.0097377635538578,0.0,1.0,,0.0589881665144386,2.320604084084993,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s2_alpha/alpha_snapshots/alpha_cycle_0081.npy
mlp_s2_uv,mlp,S2,uv,0.05,False,79,82,82,80885,1.0016692876815796,0.1628357965170088,0.14304259133337455,0.04077393830747358,0.029103047536626073,0.5,0.5,0.5,0.01415980691090226,0.006597581296227868,0.005982881534146144,0.004732064763084049,21,9.556473731994629,0.5454956293106079,0.009888002648949623,832.3499438385975,832.3499438385975,1.3360476259549614e-05,0.0083367312327027,0.0,1.0,,0.320787572273095,1.016282684507764,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s2_uv/alpha_snapshots/alpha_cycle_0082.npy
siren_s2_uv,siren,S2,uv,0.05,False,77,80,80,80494,1.0012104511260986,0.16045805823766812,0.13996074241558376,0.03924516113002211,0.0281511665465749,0.5,0.5,0.5,0.013527526869438589,0.005426655756309628,0.004913736745947972,0.0036627990426495666,22,9.567658424377441,0.531893789768219,0.00986604392528534,1175.5674031819135,1175.5674031819135,1.070253892976325e-05,0.0084198853000998,0.0,1.0,,0.144866483653875,0.6682135331187044,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/siren_s2_uv/alpha_snapshots/alpha_cycle_0080.npy
fourier_s2_all_adapthist_wr010_shorttag,fourier,S2,all,0.1,True,78,81,81,81181,1.001202940940857,0.254600447721961,0.20134021507495597,0.05929958980549636,0.04248531060223451,0.5,0.5,0.5,0.019888657890260217,0.0064603438600897775,0.005071844789199531,0.004152125539258122,13,8.096529960632324,0.5320828557014465,0.013531738892197609,485.22553402754403,548.8253643085941,1.0946313523163552e-05,0.0098631670698523,0.0,1.0,,4.364280520170246,118.2892564335008,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/fourier_s2_all_adapthist_wr010_shorttag/alpha_snapshots/alpha_cycle_0081.npy
mlp_s2_all_adapthist_wr010,mlp,S2,all,0.1,True,77,80,80,80556,1.0013335943222046,0.25996570357614174,0.2080416108049059,0.06590446397537117,0.0487735240081434,0.5,0.5,0.5,0.019745996221899986,0.006675565848127006,0.005292170867323875,0.004017553478479384,20,7.6295294761657715,0.5302560329437256,0.015131051652133465,395.6618578127767,577.3169406489817,9.262608728022316e-06,0.0102070244029164,0.0,1.0,,0.0698579889772171,4.70965678373077,0.0,,,/Users/wenxiaofang/phase-field-fracture-with-pidl/upload code/.claude/worktrees/exp/tip-local-net/_analysis_exp18_wr010_20260527/pidl_tiplocal_finished_artifacts_20260527_065230/mlp_s2_all_adapthist_wr010/alpha_snapshots/alpha_cycle_0080.npy
