run,arch,stage,mode,wr,adaptive_lambda_hist,N_detect,N_stop,alpha_bar_max_final,Kt_final,E_el_final,E_d_final,E_hist_final,n_boundary_alpha_gt_0p95,width_y_alpha_gt_0p9,tip_corr_over_total_final,tip_grad_ratio_final
fourier_s1_alpha,fourier,S1,alpha,0.05,False,81,84,9.028027534484863,740.6140547383484,1.1669621017063037e-05,0.0079797748476266,0.0,7,0.013511304394342005,,
fourier_s1_uv,fourier,S1,uv,0.05,False,80,83,10.8781099319458,921.3685864870158,1.845603037509136e-05,0.0077007366344332,0.0,8,0.016827767807990307,,
mlp_s1_alpha,mlp,S1,alpha,0.05,False,79,82,6.586555004119873,610.5393554792624,9.064106052392162e-06,0.0082774702459573,0.0,8,0.014611051126848905,,
mlp_s1_uv,mlp,S1,uv,0.05,False,81,84,10.533735275268555,886.3802240113072,1.4916789950802922e-05,0.0076957205310463,0.0,8,0.007827677624300122,,
fourier_s2_all,fourier,S2,all,0.05,False,76,79,8.018150329589844,772.2411353737782,1.2021643669868354e-05,0.0087494859471917,0.0,29,0.006327051343396301,,
fourier_s2_alpha_short,fourier,S2,alpha,0.05,False,78,81,9.725034713745117,870.4747875479533,1.2130536561016925e-05,0.0090103279799222,0.0,20,0.00757885113125667,,
mlp_s2_all,mlp,S2,all,0.05,False,76,79,10.853422164916992,784.1627913171279,9.814367331273388e-06,0.0088060619309544,0.0,26,0.006864439754281193,,
mlp_s2_all_adapthist,mlp,S2,all,0.05,True,76,79,10.853422164916992,784.1627913171279,9.814367331273388e-06,0.0088060619309544,0.0,26,0.006864439754281193,,
mlp_s2_alpha,mlp,S2,alpha,0.05,False,78,81,6.588875770568848,575.8053945740588,6.989705525484169e-06,0.0097377635538578,0.0,22,0.013627949869260188,,
mlp_s2_uv,mlp,S2,uv,0.05,False,79,82,9.556473731994629,832.3499438385975,1.3360476259549614e-05,0.0083367312327027,0.0,21,0.006597581296227868,,
siren_s2_uv,siren,S2,uv,0.05,False,77,80,9.567658424377441,1175.5674031819135,1.070253892976325e-05,0.0084198853000998,0.0,22,0.005426655756309628,,
fourier_s2_all_adapthist_wr010_shorttag,fourier,S2,all,0.1,True,78,81,8.096529960632324,485.22553402754403,1.0946313523163552e-05,0.0098631670698523,0.0,13,0.0064603438600897775,,
mlp_s2_all_adapthist_wr010,mlp,S2,all,0.1,True,77,80,7.6295294761657715,395.6618578127767,9.262608728022316e-06,0.0102070244029164,0.0,20,0.006675565848127006,,
siren_s2_all_adapthist_wr010,siren,S2,all,0.1,True,76,79,10.395305633544922,544.4803431875914,1.0470598681422416e-05,0.010657163336873,0.0,20,0.007967026089318097,,
