control,cycle,comparison_class,state_label,field,metric_space,status,note,mae,rmse,max_abs,correlation,reference_mean,candidate_mean
F1_exact_pi,20,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,alpha,linear,observed,area-weighted archived-FEM dimensional round trip,0.0,0.0,0.0,1.0,0.00891877151074421,0.00891877151074421
F1_exact_pi,20,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,history,log10,observed,area-weighted archived-FEM dimensional round trip,8.236057747918574e-18,4.397254736628205e-17,4.440892098500626e-16,1.0,-1.5114737192352974,-1.5114737192352974
F1_exact_pi,20,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,raw,log10,observed,area-weighted archived-FEM dimensional round trip,1.997452932815105e-18,2.990609749520846e-17,8.881784197001252e-16,1.0,-3.0075101647550975,-3.0075101647550975
F1_exact_pi,20,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,active,log10,observed,area-weighted archived-FEM dimensional round trip,7.883068016726589e-18,6.850193390587855e-17,8.881784197001252e-16,1.0,-3.026249463319408,-3.026249463319408
F1_exact_pi,40,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,alpha,linear,observed,area-weighted archived-FEM dimensional round trip,0.0,0.0,0.0,1.0,0.010299570398210157,0.010299570398210157
F1_exact_pi,40,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,history,log10,observed,area-weighted archived-FEM dimensional round trip,7.31642338086023e-18,4.178299861406206e-17,4.440892098500626e-16,1.0,-1.311735207963097,-1.311735207963097
F1_exact_pi,40,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,raw,log10,observed,area-weighted archived-FEM dimensional round trip,5.053252790747814e-18,5.194816899285095e-17,8.881784197001252e-16,1.0,-3.262943927730321,-3.262943927730321
F1_exact_pi,40,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,active,log10,observed,area-weighted archived-FEM dimensional round trip,7.719526380173524e-18,7.273945015252009e-17,8.881784197001252e-16,1.0,-3.2846711955433197,-3.2846711955433197
F1_exact_pi,60,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,alpha,linear,observed,area-weighted archived-FEM dimensional round trip,0.0,0.0,0.0,1.0,0.012304184318295476,0.012304184318295476
F1_exact_pi,60,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,history,log10,observed,area-weighted archived-FEM dimensional round trip,8.081927344814372e-18,4.272213447954324e-17,4.440892098500626e-16,0.9999999999999999,-1.2180533243312355,-1.2180533243312355
F1_exact_pi,60,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,raw,log10,observed,area-weighted archived-FEM dimensional round trip,5.409642132026212e-18,5.993441642172909e-17,8.881784197001252e-16,1.0,-3.5997591710074612,-3.5997591710074612
F1_exact_pi,60,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,active,log10,observed,area-weighted archived-FEM dimensional round trip,5.461822770953859e-18,5.582436809621001e-17,8.881784197001252e-16,1.0,-3.6257816948496213,-3.6257816948496213
F1_exact_pi,89,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,alpha,linear,observed,area-weighted archived-FEM dimensional round trip,0.0,0.0,0.0,1.0,0.0154381901265992,0.0154381901265992
F1_exact_pi,89,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,history,log10,observed,area-weighted archived-FEM dimensional round trip,7.665522525016194e-18,4.233151119796637e-17,4.440892098500626e-16,1.0,-1.163616884805555,-1.163616884805555
F1_exact_pi,89,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,raw,log10,observed,area-weighted archived-FEM dimensional round trip,2.001564654873353e-18,4.2120245545189105e-17,1.7763568394002505e-15,0.9999999999999998,-7.318677450297166,-7.318677450297166
F1_exact_pi,89,same-cycle dimensional replay,FEM cycle-peak raw plus cycle-output damage/history,active,log10,observed,area-weighted archived-FEM dimensional round trip,9.122075264412555e-18,9.150560027172629e-17,1.7763568394002505e-15,1.0,-7.352590847956044,-7.352590847956044
F2_bc_negative,74,own-event archived FEM,old free-lateral c82 event versus reverseBC c74 event,alpha,linear,observed,same mesh/material/load amplitude; boundary constraint differs,0.0002109958441299768,0.0027594137980719168,0.19112789192450186,0.9990784313075849,0.0064862180330390986,0.00640022546749464
F2_bc_negative,74,own-event archived FEM,old free-lateral c82 event versus reverseBC c74 event,history,log10,observed,same mesh/material/load amplitude; boundary constraint differs,0.09730394870863879,0.1251156285476068,0.8319441390586879,0.9945852657253943,-1.1922120330547923,-1.2614581241855585
F2_bc_negative,74,own-event archived FEM,old free-lateral c82 event versus reverseBC c74 event,raw,log10,unobservable,FEM7 c82 archive did not export a raw driver; no value imputed,,,,,,
F2_bc_negative,74,own-event archived FEM,old free-lateral c82 event versus reverseBC c74 event,active,log10,unobservable,FEM7 c82 archive did not export a raw driver; no value imputed,,,,,,
