control,group,category,reference,candidate,candidate_over_reference,status
F1_exact_pi,ell_over_L,buckingham_pi,0.01,0.01,1.0,matched
F1_exact_pi,h_over_ell,buckingham_pi,1.0,1.0,1.0,matched
F1_exact_pi,G_c_over_E_ell,buckingham_pi,1.0,0.9999999999999998,0.9999999999999998,matched
F1_exact_pi,alpha_T_over_w1,buckingham_pi,0.5,0.5,1.0,matched
F1_exact_pi,E_uL2_over_w1,buckingham_pi,0.0144,0.0144,1.0,matched
F1_exact_pi,nu,buckingham_pi,0.3,0.3,1.0,matched
F1_exact_pi,eta,buckingham_pi,0.0,0.0,,matched
F1_exact_pi,R_ratio,buckingham_pi,0.0,0.0,,matched
F1_exact_pi,pff_model,model_form,AT1,AT1,,matched
F1_exact_pi,plane_condition,model_form,plane_strain,plane_strain,,matched
F1_exact_pi,energy_split,model_form,amor,amor,,matched
F1_exact_pi,boundary_condition,model_form,top_bottom_ux_clamp_reverse_bc,top_bottom_ux_clamp_reverse_bc,,matched
F1_exact_pi,geometry_form,model_form,homogeneous_sent_square_void_notch,homogeneous_sent_square_void_notch,,matched
F1_exact_pi,load_form,model_form,cyclic_edge_displacement,cyclic_edge_displacement,,matched
F1_exact_pi,geometry_load_ratio:loaded_edge_fraction,geometry_load_ratio,1.0,1.0,1.0,matched
F2_bc_negative,ell_over_L,buckingham_pi,0.01,0.01,1.0,matched
F2_bc_negative,h_over_ell,buckingham_pi,1.0,1.0,1.0,matched
F2_bc_negative,G_c_over_E_ell,buckingham_pi,1.0,1.0,1.0,matched
F2_bc_negative,alpha_T_over_w1,buckingham_pi,0.5,0.5,1.0,matched
F2_bc_negative,E_uL2_over_w1,buckingham_pi,0.0144,0.0144,1.0,matched
F2_bc_negative,nu,buckingham_pi,0.3,0.3,1.0,matched
F2_bc_negative,eta,buckingham_pi,0.0,0.0,,matched
F2_bc_negative,R_ratio,buckingham_pi,0.0,0.0,,matched
F2_bc_negative,pff_model,model_form,AT1,AT1,,matched
F2_bc_negative,plane_condition,model_form,plane_strain,plane_strain,,matched
F2_bc_negative,energy_split,model_form,amor,amor,,matched
F2_bc_negative,boundary_condition,model_form,bottom_left_ux_anchor_free_lateral,top_bottom_ux_clamp_reverse_bc,,mismatched
F2_bc_negative,geometry_form,model_form,homogeneous_sent_square_void_notch,homogeneous_sent_square_void_notch,,matched
F2_bc_negative,load_form,model_form,cyclic_edge_displacement,cyclic_edge_displacement,,matched
F2_bc_negative,geometry_load_ratio:loaded_edge_fraction,geometry_load_ratio,1.0,1.0,1.0,matched
