ell_over_L,alpha_T_over_psi_ref,u_max_over_u_ref,load_energy_ratio,a0_over_L,toy_ell_ratio,toy_fatigue_threshold_ratio,toy_load_energy_ratio,toy_crack_ratio,exact_toy_similarity
0.005,0.5,0.06,0.0036,0.05,0.5,1.0,0.25,0.1,False
0.005,0.5,0.06,0.0036,0.5,0.5,1.0,0.25,1.0,False
0.005,0.5,0.12,0.0144,0.05,0.5,1.0,1.0,0.1,False
0.005,0.5,0.12,0.0144,0.5,0.5,1.0,1.0,1.0,False
0.005,0.5,0.24,0.0576,0.05,0.5,1.0,4.0,0.1,False
0.005,0.5,0.24,0.0576,0.5,0.5,1.0,4.0,1.0,False
0.005,1.0,0.06,0.0036,0.05,0.5,2.0,0.25,0.1,False
0.005,1.0,0.06,0.0036,0.5,0.5,2.0,0.25,1.0,False
0.005,1.0,0.12,0.0144,0.05,0.5,2.0,1.0,0.1,False
0.005,1.0,0.12,0.0144,0.5,0.5,2.0,1.0,1.0,False
0.005,1.0,0.24,0.0576,0.05,0.5,2.0,4.0,0.1,False
0.005,1.0,0.24,0.0576,0.5,0.5,2.0,4.0,1.0,False
0.005,10.0,0.06,0.0036,0.05,0.5,20.0,0.25,0.1,False
0.005,10.0,0.06,0.0036,0.5,0.5,20.0,0.25,1.0,False
0.005,10.0,0.12,0.0144,0.05,0.5,20.0,1.0,0.1,False
0.005,10.0,0.12,0.0144,0.5,0.5,20.0,1.0,1.0,False
0.005,10.0,0.24,0.0576,0.05,0.5,20.0,4.0,0.1,False
0.005,10.0,0.24,0.0576,0.5,0.5,20.0,4.0,1.0,False
0.005,100.0,0.06,0.0036,0.05,0.5,200.0,0.25,0.1,False
0.005,100.0,0.06,0.0036,0.5,0.5,200.0,0.25,1.0,False
0.005,100.0,0.12,0.0144,0.05,0.5,200.0,1.0,0.1,False
0.005,100.0,0.12,0.0144,0.5,0.5,200.0,1.0,1.0,False
0.005,100.0,0.24,0.0576,0.05,0.5,200.0,4.0,0.1,False
0.005,100.0,0.24,0.0576,0.5,0.5,200.0,4.0,1.0,False
0.01,0.5,0.06,0.0036,0.05,1.0,1.0,0.25,0.1,False
0.01,0.5,0.06,0.0036,0.5,1.0,1.0,0.25,1.0,False
0.01,0.5,0.12,0.0144,0.05,1.0,1.0,1.0,0.1,False
0.01,0.5,0.12,0.0144,0.5,1.0,1.0,1.0,1.0,True
0.01,0.5,0.24,0.0576,0.05,1.0,1.0,4.0,0.1,False
0.01,0.5,0.24,0.0576,0.5,1.0,1.0,4.0,1.0,False
0.01,1.0,0.06,0.0036,0.05,1.0,2.0,0.25,0.1,False
0.01,1.0,0.06,0.0036,0.5,1.0,2.0,0.25,1.0,False
0.01,1.0,0.12,0.0144,0.05,1.0,2.0,1.0,0.1,False
0.01,1.0,0.12,0.0144,0.5,1.0,2.0,1.0,1.0,False
0.01,1.0,0.24,0.0576,0.05,1.0,2.0,4.0,0.1,False
0.01,1.0,0.24,0.0576,0.5,1.0,2.0,4.0,1.0,False
0.01,10.0,0.06,0.0036,0.05,1.0,20.0,0.25,0.1,False
0.01,10.0,0.06,0.0036,0.5,1.0,20.0,0.25,1.0,False
0.01,10.0,0.12,0.0144,0.05,1.0,20.0,1.0,0.1,False
0.01,10.0,0.12,0.0144,0.5,1.0,20.0,1.0,1.0,False
0.01,10.0,0.24,0.0576,0.05,1.0,20.0,4.0,0.1,False
0.01,10.0,0.24,0.0576,0.5,1.0,20.0,4.0,1.0,False
0.01,100.0,0.06,0.0036,0.05,1.0,200.0,0.25,0.1,False
0.01,100.0,0.06,0.0036,0.5,1.0,200.0,0.25,1.0,False
0.01,100.0,0.12,0.0144,0.05,1.0,200.0,1.0,0.1,False
0.01,100.0,0.12,0.0144,0.5,1.0,200.0,1.0,1.0,False
0.01,100.0,0.24,0.0576,0.05,1.0,200.0,4.0,0.1,False
0.01,100.0,0.24,0.0576,0.5,1.0,200.0,4.0,1.0,False
0.02,0.5,0.06,0.0036,0.05,2.0,1.0,0.25,0.1,False
0.02,0.5,0.06,0.0036,0.5,2.0,1.0,0.25,1.0,False
0.02,0.5,0.12,0.0144,0.05,2.0,1.0,1.0,0.1,False
0.02,0.5,0.12,0.0144,0.5,2.0,1.0,1.0,1.0,False
0.02,0.5,0.24,0.0576,0.05,2.0,1.0,4.0,0.1,False
0.02,0.5,0.24,0.0576,0.5,2.0,1.0,4.0,1.0,False
0.02,1.0,0.06,0.0036,0.05,2.0,2.0,0.25,0.1,False
0.02,1.0,0.06,0.0036,0.5,2.0,2.0,0.25,1.0,False
0.02,1.0,0.12,0.0144,0.05,2.0,2.0,1.0,0.1,False
0.02,1.0,0.12,0.0144,0.5,2.0,2.0,1.0,1.0,False
0.02,1.0,0.24,0.0576,0.05,2.0,2.0,4.0,0.1,False
0.02,1.0,0.24,0.0576,0.5,2.0,2.0,4.0,1.0,False
0.02,10.0,0.06,0.0036,0.05,2.0,20.0,0.25,0.1,False
0.02,10.0,0.06,0.0036,0.5,2.0,20.0,0.25,1.0,False
0.02,10.0,0.12,0.0144,0.05,2.0,20.0,1.0,0.1,False
0.02,10.0,0.12,0.0144,0.5,2.0,20.0,1.0,1.0,False
0.02,10.0,0.24,0.0576,0.05,2.0,20.0,4.0,0.1,False
0.02,10.0,0.24,0.0576,0.5,2.0,20.0,4.0,1.0,False
0.02,100.0,0.06,0.0036,0.05,2.0,200.0,0.25,0.1,False
0.02,100.0,0.06,0.0036,0.5,2.0,200.0,0.25,1.0,False
