authorization_scope,case_id,cycle,substep_ordinal,stagger_iteration,reassembly_ordinal,displacement_residual,raw_phase_residual,projected_phase_kkt,consecutive_stagger_delta,primal_feasibility
production_authorized,T2_material_state,5,4,1,1,0.00017862210157072831,0.0060310560001925681,5.4916164515805832e-06,0.043277542540233527,0
production_authorized,T2_material_state,5,4,2,2,0.00014075979261851006,0.006031045955929985,5.5057038665928815e-06,0.036535490688386352,0
production_authorized,T2_material_state,5,4,3,3,0.000131851305800213,0.0060310343829838627,5.5222096865259473e-06,0.032653481775509752,0
production_authorized,T2_material_state,5,4,4,4,0.00012871614753116515,0.0060310230265093337,5.5383212437254414e-06,0.030662467041603358,0
production_authorized,T2_material_state,5,4,5,5,0.00011985751299107204,0.006031012113679882,5.5528566290652392e-06,0.030242729624368248,0
production_authorized,T2_material_state,5,4,6,6,0.00011650636860137238,0.0060310014294892595,5.568141579370689e-06,0.028582111857910264,0
production_authorized,T2_material_state,5,4,7,7,0.00011016151442222561,0.0060309910476207028,5.5819988543648336e-06,0.026976690352542798,0
production_authorized,T2_material_state,5,4,8,8,0.00010424321588462761,0.0060309811182415072,5.5953414448417504e-06,0.025656321562430029,0
production_authorized,T2_material_state,5,4,9,9,9.9270134685125672e-05,0.0060309715331650637,5.6087717660302516e-06,0.024084163855820795,0
production_authorized,T2_material_state,5,4,10,10,9.5532106436062606e-05,0.0060309623139502859,5.6204509988333484e-06,0.02314355863511286,0
production_authorized,T2_material_state,5,4,11,11,9.2648123684314931e-05,0.0060309541731911453,5.6324491840564761e-06,0.022014910905601481,0
production_authorized,T2_material_state,5,4,12,12,9.3174081865522512e-05,0.0060309467884527481,5.6425267869197882e-06,0.021094535550942539,0
production_authorized,T2_material_state,5,4,13,13,8.7720157960183433e-05,0.0060309390362800449,5.6524075409125629e-06,0.020264606899107473,0
production_authorized,T2_material_state,5,4,14,14,8.5561221124135607e-05,0.0060309328636967297,5.6616905549367047e-06,0.019571764119505286,0
production_authorized,T2_material_state,5,4,15,15,8.2001700924627018e-05,0.0060309264033806681,5.6699240771340698e-06,0.020625112581892396,0
production_authorized,T2_material_state,5,4,16,16,7.9010062917948294e-05,0.0060309180023767226,5.6795370498852193e-06,0.027497960670446634,0
production_authorized,T2_material_state,5,4,17,17,7.4113835623823758e-05,0.0060309106053335858,5.6897074429684835e-06,0.017046181005693106,0
production_authorized,T2_material_state,5,4,18,18,7.1960462916844094e-05,0.0060309041705488746,5.6981191276506138e-06,0.016364665211928586,0
production_authorized,T2_material_state,5,4,19,19,6.7927425470576646e-05,0.0060308974967110424,5.7064427151365393e-06,0.016056955432427023,0
production_authorized,T2_material_state,5,4,20,20,6.9991706756879557e-05,0.0060308909763153373,5.7151435421953778e-06,0.020833931856233355,0
production_authorized,T2_material_state,5,4,21,21,6.3594635303868975e-05,0.0060308853036288171,5.7224735950933692e-06,0.014818962375618971,0
production_authorized,T2_material_state,5,4,22,22,6.4328657714418489e-05,0.0060308799804325523,5.7300703885099225e-06,0.016617910333357296,0
production_authorized,T2_material_state,5,4,23,23,6.7819810891286148e-05,0.0060308753394790089,5.7372840783775914e-06,0.024400343303103051,0
production_authorized,T2_material_state,5,4,24,24,9.1540067596550625e-05,0.0060308715146055085,5.7433566509335066e-06,0.044196563552110747,0
production_authorized,T2_material_state,5,4,25,25,7.2823214833044045e-05,0.0060308653307425851,5.7488011810935546e-06,0.042219918279211267,0
production_authorized,T2_material_state,5,4,26,26,6.282420205207156e-05,0.0060308597117691275,5.7570327463007942e-06,0.02187880127698786,0
production_authorized,T2_material_state,5,4,27,27,5.5687463546096572e-05,0.0060308546275184491,5.7622310394300769e-06,0.020256702518129933,0
production_authorized,T2_material_state,5,4,28,28,6.245998221872185e-05,0.0060308502209780136,5.7694340397373978e-06,0.024503692528370889,0
production_authorized,T2_material_state,5,4,29,29,6.1013911426623484e-05,0.006030845692783034,5.7747339446967416e-06,0.019525460164613866,0
production_authorized,T2_material_state,5,4,30,30,5.8698627289313259e-05,0.0060308395264596923,5.7811504333704633e-06,0.035657675462473483,0
production_authorized,T2_material_state,5,4,31,31,4.8346674257681969e-05,0.0060308344235151133,5.7880205959204289e-06,0.01119079368861875,0
production_authorized,T2_material_state,5,4,32,32,5.2791774207382275e-05,0.0060308302231305124,5.7940623005015013e-06,0.01871024317803506,0
production_authorized,T2_material_state,5,4,33,33,7.3970649212445099e-05,0.0060308280181384493,5.7992916971949526e-06,0.038267952192554223,0
production_authorized,T2_material_state,5,4,34,34,5.9978182003218426e-05,0.0060308242102151514,5.8035095449326946e-06,0.032552061146162582,0
production_authorized,T2_material_state,5,4,35,35,5.8358257569726174e-05,0.0060308185803466408,5.8084275449399314e-06,0.03101444955232241,0
production_authorized,T2_material_state,5,4,36,36,5.0175176817455961e-05,0.0060308132896400978,5.8149218112868439e-06,0.023366746081368774,0
production_authorized,T2_material_state,5,4,37,37,4.4476772538104443e-05,0.0060308087849977,5.8206299515806137e-06,0.012782198133995002,0
production_authorized,T2_material_state,5,4,38,38,4.7357136289661171e-05,0.0060308040957944608,5.8259366639834553e-06,0.019698287803624506,0
production_authorized,T2_material_state,5,4,39,39,4.6449166406310059e-05,0.0060308007162146824,5.8315054715096792e-06,0.017351013199632486,0
production_authorized,T2_material_state,5,4,40,40,4.6537990725311839e-05,0.0060307970574981279,5.8359239001326557e-06,0.014883316092047991,0
production_authorized,T2_material_state,5,4,41,41,4.5823627782310218e-05,0.0060307929932035707,5.8409049710217431e-06,0.01680445445627363,0
production_authorized,T2_material_state,5,4,42,42,5.5371486315928936e-05,0.0060307897373665124,5.8455624460940214e-06,0.026502021219025083,0
production_authorized,T2_material_state,5,4,43,43,5.8352897810700987e-05,0.0060307861559397444,5.8498776237536632e-06,0.032050208839293048,0
production_authorized,T2_material_state,5,4,44,44,4.0744944267997969e-05,0.0060307818429086273,5.8545947684285338e-06,0.0091245259847563265,0
production_authorized,T2_material_state,5,4,45,45,4.6167793969246259e-05,0.0060307771495710242,5.8594546901158395e-06,0.032242317636872922,0
production_authorized,T2_material_state,5,4,46,46,4.0186567429452876e-05,0.006030773204152593,5.8646424864194913e-06,0.011241504082447663,0
production_authorized,T2_material_state,5,4,47,47,3.9366086072307263e-05,0.0060307698173703763,5.8692601084819884e-06,0.008493597872788472,0
production_authorized,T2_material_state,5,4,48,48,4.3574199726204705e-05,0.0060307668192643472,5.873786011245663e-06,0.017841709850090464,0
production_authorized,T2_material_state,5,4,49,49,4.1126284974685104e-05,0.006030762919541373,5.8776688047768033e-06,0.016013596755072908,0
production_authorized,T2_material_state,5,4,50,50,4.0679541084989634e-05,0.006030759324305148,5.8824531331547192e-06,0.012587784048421584,0
production_authorized,T2_material_state,5,4,51,51,4.2651957627290375e-05,0.0060307553042635602,5.886774167684905e-06,0.023009679558171032,0
production_authorized,T2_material_state,5,4,52,52,4.1676289415552415e-05,0.0060307515580637393,5.8916369779504763e-06,0.011657492121309468,0
production_authorized,T2_material_state,5,4,53,53,5.066261014580365e-05,0.0060307488345145302,5.8959560124138832e-06,0.027070729370901367,0
production_authorized,T2_material_state,5,4,54,54,5.8529804782600961e-05,0.0060307461670584791,5.8994005582846398e-06,0.028737009879965046,0
production_authorized,T2_material_state,5,4,55,55,4.4568320141953248e-05,0.006030742393390548,5.9036566576464722e-06,0.019396013765054027,0
production_authorized,T2_material_state,5,4,56,56,4.6270106510542352e-05,0.006030739319113923,5.9083740406862262e-06,0.026323295626103208,0
production_authorized,T2_material_state,5,4,57,57,4.5461469516502646e-05,0.0060307343610848194,5.912487830883606e-06,0.032821162481971373,0
production_authorized,T2_material_state,5,4,58,58,4.1221043507492697e-05,0.0060307307103846901,5.9177393221254704e-06,0.011039984022342995,0
production_authorized,T2_material_state,5,4,59,59,3.9077002687216185e-05,0.0060307267859395506,5.9216628649494396e-06,0.013195654196763419,0
production_authorized,T2_material_state,5,4,60,60,3.7694002520364704e-05,0.0060307229373707102,5.926408016332374e-06,0.0080829072187881268,0
production_authorized,T2_material_state,5,4,61,61,5.2930665290602912e-05,0.0060307210787342753,5.9308340618624555e-06,0.033093695013765981,0
production_authorized,T2_material_state,5,4,62,62,4.2876550705565901e-05,0.0060307183027464373,5.9332160062819383e-06,0.026001960757721647,0
production_authorized,T2_material_state,5,4,63,63,4.2918871071013895e-05,0.0060307145070963046,5.937907805009246e-06,0.017926363523650467,0
production_authorized,T2_material_state,5,4,64,64,4.0013926937485391e-05,0.0060307098621665452,5.9421872586895574e-06,0.01849245338082018,0
production_authorized,T2_material_state,5,4,65,65,3.7891849952630095e-05,0.0060307058193902171,5.9471895706986189e-06,0.0077379984535100865,0
production_authorized,T2_material_state,5,4,66,66,7.3295384954977694e-05,0.0060307051416821963,5.9515715031821514e-06,0.049818877524235597,0
production_authorized,T2_material_state,5,4,67,67,5.4448638470455011e-05,0.0060307030068722763,5.9534157498264406e-06,0.037358538778720883,0
production_authorized,T2_material_state,5,4,68,68,4.433611118371259e-05,0.0060306980234948113,5.9571133453895087e-06,0.022790542415319158,0
production_authorized,T2_material_state,5,4,69,69,3.6871194115955087e-05,0.0060306938179864262,5.9621842132262515e-06,0.0079183601097354561,0
production_authorized,T2_material_state,5,4,70,70,3.9166403765235416e-05,0.006030689731407868,5.9666234367705684e-06,0.017255722382963003,0
production_authorized,T2_material_state,5,4,71,71,4.4258008410492106e-05,0.0060306864460319002,5.9712892859220545e-06,0.01206079434264351,0
production_authorized,T2_material_state,5,4,72,72,3.9397306328592615e-05,0.006030682787592335,5.9746895730850014e-06,0.0127618303482584,0
production_authorized,T2_material_state,5,4,73,73,4.197596864048512e-05,0.006030679642001692,5.979390813370955e-06,0.017364477160562237,0
production_authorized,T2_material_state,5,4,74,74,3.6968770178497193e-05,0.0060306761446747787,5.98277173957662e-06,0.013312437923888063,0
production_authorized,T2_material_state,5,4,75,75,3.8114026277163288e-05,0.0060306732961418717,5.9870602568956599e-06,0.0093974306073803509,0
production_authorized,T2_material_state,5,4,76,76,4.2563139949301678e-05,0.0060306707028282835,5.9908044346412836e-06,0.017807027222513573,0
production_authorized,T2_material_state,5,4,77,77,3.9819218161694499e-05,0.0060306676889384098,5.9943327193057172e-06,0.014238513175717421,0
production_authorized,T2_material_state,5,4,78,78,4.1320259213560112e-05,0.0060306639279911235,5.9981993353330765e-06,0.018552624252321896,0
production_authorized,T2_material_state,5,4,79,79,5.6491190843911121e-05,0.0060306631529801012,6.0026520108946713e-06,0.039834724138307437,0
production_authorized,T2_material_state,5,4,80,80,5.6122550491514747e-05,0.0060306587376339049,6.0055711619266816e-06,0.036741936923162542,0
production_authorized,T2_material_state,5,4,81,81,4.3365175884431249e-05,0.0060306561959526037,6.0094690514933546e-06,0.023053092966962174,0
production_authorized,T2_material_state,5,4,82,82,5.1204494706666162e-05,0.0060306536320647473,6.0135322199617036e-06,0.028080438013713009,0
production_authorized,T2_material_state,5,4,83,83,3.9074293228195596e-05,0.0060306505048410494,6.0169321816072596e-06,0.016851782039893241,0
production_authorized,T2_material_state,5,4,84,84,4.1654970483839576e-05,0.0060306474755122512,6.0207897145669875e-06,0.016665097800436367,0
production_authorized,T2_material_state,5,4,85,85,5.3545119221786452e-05,0.0060306446696196765,6.0244737813963667e-06,0.032000749232115128,0
production_authorized,T2_material_state,5,4,86,86,4.3588700479928317e-05,0.006030641400589714,6.0276105779966116e-06,0.029871426427985057,0
production_authorized,T2_material_state,5,4,87,87,4.2433606530089864e-05,0.0060306367088936719,6.0318254609947886e-06,0.018484891868339726,0
production_authorized,T2_material_state,5,4,88,88,3.8160890612258137e-05,0.0060306332887315236,6.0367561247609558e-06,0.01378422785415513,0
production_authorized,T2_material_state,5,4,89,89,4.483891835658981e-05,0.0060306286266526704,6.0408042110715598e-06,0.029876708174973871,0
production_authorized,T2_material_state,5,4,90,90,3.6366237050195334e-05,0.006030625210635702,6.0453381336422751e-06,0.0074565327210892596,0
production_authorized,T2_material_state,5,4,91,91,3.7964148802498797e-05,0.0060306223787023171,6.0492578698445598e-06,0.014615475271634239,0
production_authorized,T2_material_state,5,4,92,92,4.2087334737616191e-05,0.0060306184336683544,6.0529619035909477e-06,0.016335668253707376,0
production_authorized,T2_material_state,5,4,93,93,4.2602009553975208e-05,0.0060306153799642879,6.0571906144168963e-06,0.017809371234048396,0
production_authorized,T2_material_state,5,4,94,94,4.7993602499385296e-05,0.0060306138053244215,6.0610460282939371e-06,0.033013606379441771,0
production_authorized,T2_material_state,5,4,95,95,4.0908403554927595e-05,0.0060306099696471006,6.063886525242701e-06,0.018961898533723518,0
production_authorized,T2_material_state,5,4,96,96,4.5051739411592236e-05,0.006030607653015164,6.0680697306914055e-06,0.020471758402622664,0
production_authorized,T2_material_state,5,4,97,97,5.0960988721836811e-05,0.0060306043016407412,6.0714194130007115e-06,0.029784460349050867,0
production_authorized,T2_material_state,5,4,98,98,4.2359503494148242e-05,0.0060306011822904328,6.0751629854527422e-06,0.020563116822857976,0
production_authorized,T2_material_state,5,4,99,99,4.3432755493377453e-05,0.006030596902100744,6.0791750106092834e-06,0.029600099208868431,0
production_authorized,T2_material_state,5,4,100,100,5.6067926648886106e-05,0.0060305952312221132,6.0834391051312053e-06,0.033548263844658005,0
production_authorized,T2_material_state,5,4,101,101,3.7668128685282691e-05,0.0060305925872258907,6.0861184572047478e-06,0.0075483380276633039,0
production_authorized,T2_material_state,5,4,102,102,4.1921242757105027e-05,0.0060305888911349964,6.0896656309816777e-06,0.025676476816321198,0
production_authorized,T2_material_state,5,4,103,103,4.442227625320586e-05,0.006030583903754637,6.0939857061681479e-06,0.020266383841055668,0
production_authorized,T2_material_state,5,4,104,104,4.4386067328079525e-05,0.0060305798544648872,5.9383675359292454e-06,0.016320533723993592,0
production_authorized,T2_material_state,5,4,105,105,4.5539868650194084e-05,0.0060305769579207967,5.9391219197069134e-06,0.023536857400141185,0
production_authorized,T2_material_state,5,4,106,106,4.7215451629657122e-05,0.0060305737920878103,5.939876910443509e-06,0.032008822010886763,0
production_authorized,T2_material_state,5,4,107,107,3.8042249112819009e-05,0.0060305692459871572,5.9408268124894192e-06,0.009817493706718361,0
production_authorized,T2_material_state,5,4,108,108,5.0712082257166524e-05,0.0060305674291273549,5.9417021378571633e-06,0.030984541694123659,0
production_authorized,T2_material_state,5,4,109,109,3.9287701855017679e-05,0.0060305643773300105,5.9422714850931868e-06,0.020659823760723995,0
production_authorized,T2_material_state,5,4,110,110,4.4776230845789139e-05,0.0060305611044046041,5.9430929039150371e-06,0.029568464005782544,0
production_authorized,T2_material_state,5,4,111,111,3.8486932517060976e-05,0.0060305573858919995,5.9438393955613122e-06,0.018511680148101228,0
production_authorized,T2_material_state,5,4,112,112,4.5601750421714297e-05,0.0060305549201332244,5.9446460534129386e-06,0.019770811996418398,0
production_authorized,T2_material_state,5,4,113,113,5.0060406354078816e-05,0.0060305505962210439,5.9453626398697779e-06,0.036713962679705552,0
production_authorized,T2_material_state,5,4,114,114,3.700995943839061e-05,0.0060305469200118275,5.9463414283644767e-06,0.010980322816748555,0
production_authorized,T2_material_state,5,4,115,115,4.5365705774678646e-05,0.0060305443267931547,5.9471927374987743e-06,0.024548451926033242,0
production_authorized,T2_material_state,5,4,116,116,4.3124624937663354e-05,0.006030541988057754,5.9478228807696709e-06,0.017296523162765698,0
production_authorized,T2_material_state,5,4,117,117,4.1662940712216812e-05,0.006030538213204175,5.9485408784309968e-06,0.020597476986062332,0
production_authorized,T2_material_state,5,4,118,118,3.8595321034761646e-05,0.0060305346494469803,5.9494524989878173e-06,0.007668225593436051,0
production_authorized,T2_material_state,5,4,119,119,3.8728891937661735e-05,0.0060305308473631155,5.9502198137550977e-06,0.017241160732596295,0
production_authorized,T2_material_state,5,4,120,120,5.734063800595854e-05,0.0060305277827270107,5.9510910623838953e-06,0.034608095385883123,0
production_authorized,T2_material_state,5,4,121,121,4.7084158300041138e-05,0.0060305239907934658,5.9517337763770328e-06,0.035362173373463313,0
production_authorized,T2_material_state,5,4,122,122,3.8678184707700745e-05,0.0060305201599051344,5.9527201587972201e-06,0.019249873368256516,0
production_authorized,T2_material_state,5,4,123,123,3.7797915027142738e-05,0.0060305171086915254,5.9535204767202643e-06,0.010249216572200784,0
production_authorized,T2_material_state,5,4,124,124,3.8074840470693864e-05,0.0060305133811767971,5.9542843831028591e-06,0.014534164998001468,0
production_authorized,T2_material_state,5,4,125,125,4.144394658221262e-05,0.0060305098333790557,5.9551607469732204e-06,0.019112823340390654,0
production_authorized,T2_material_state,5,4,126,126,4.1572036259591705e-05,0.0060305067418506622,5.9559380846119225e-06,0.020914542937454275,0
production_authorized,T2_material_state,5,4,127,127,4.4523889882072307e-05,0.0060305037677920986,5.9566714871728266e-06,0.027095152942965245,0
production_authorized,T2_material_state,5,4,128,128,4.7620341277687576e-05,0.0060305013783099907,5.9574468226353261e-06,0.022503766295533745,0
production_authorized,T2_material_state,5,4,129,129,4.1778805318974733e-05,0.0060304986175693694,5.9580768846378973e-06,0.018574364828019364,0
production_authorized,T2_material_state,5,4,130,130,4.2776720675631136e-05,0.0060304943714258362,5.9588560131773605e-06,0.020711343291021624,0
production_authorized,T2_material_state,5,4,131,131,4.2853565855728096e-05,0.0060304912361031715,5.9598188186793521e-06,0.022366563446515109,0
production_authorized,T2_material_state,5,4,132,132,3.9796702816840976e-05,0.0060304877036886544,5.9605108094773485e-06,0.02262788411195564,0
production_authorized,T2_material_state,5,4,133,133,4.6924690424960442e-05,0.0060304849846653102,5.9613716505424463e-06,0.026807219872769315,0
production_authorized,T2_material_state,5,4,134,134,4.6726506296814491e-05,0.0060304829082464123,5.9620182309982894e-06,0.031838483936215869,0
production_authorized,T2_material_state,5,4,135,135,4.1174072901045155e-05,0.0060304790674708137,5.9626576428550848e-06,0.030699006227875313,0
production_authorized,T2_material_state,5,4,136,136,4.6043322499737818e-05,0.0060304756294112943,5.9634788723839094e-06,0.033196213650310703,0
production_authorized,T2_material_state,5,4,137,137,3.7601248343665654e-05,0.0060304721864456613,5.9644535848057956e-06,0.0074250911050680601,0
production_authorized,T2_material_state,5,4,138,138,3.7630352826433425e-05,0.0060304689180171621,5.9652035444557328e-06,0.007498384577757089,0
production_authorized,T2_material_state,5,4,139,139,3.7932440620991898e-05,0.0060304650130035432,5.9660182213372437e-06,0.015984678494606278,0
production_authorized,T2_material_state,5,4,140,140,4.2897968640681112e-05,0.0060304607199333591,5.9668061075379697e-06,0.026554895894711175,0
production_authorized,T2_material_state,5,4,141,141,4.1768580121165912e-05,0.006030457836706987,5.9676793864316124e-06,0.022666174272341504,0
production_authorized,T2_material_state,5,4,142,142,4.2139107705518499e-05,0.0060304550864783207,5.9683609181515607e-06,0.012990047973495948,0
production_authorized,T2_material_state,5,4,143,143,3.9880871291971471e-05,0.0060304528355275069,5.9690422281599709e-06,0.013994290545741136,0
production_authorized,T2_material_state,5,4,144,144,4.3425600735346164e-05,0.0060304487077433161,5.9697206333808595e-06,0.022909771348226061,0
production_authorized,T2_material_state,5,4,145,145,4.1327885630478898e-05,0.0060304456601338293,5.9706069198695033e-06,0.021663863388141059,0
production_authorized,T2_material_state,5,4,146,146,4.2251972910741688e-05,0.006030442740314587,5.9713684045226145e-06,0.024619764649281232,0
production_authorized,T2_material_state,5,4,147,147,4.0917031292525803e-05,0.0060304393573606336,5.9720653473593899e-06,0.024632888416217254,0
production_authorized,T2_material_state,5,4,148,148,4.2963937777149021e-05,0.006030436549915536,5.9729188595092353e-06,0.024723601710393193,0
production_authorized,T2_material_state,5,4,149,149,3.9150262802770725e-05,0.006030433042988316,5.9735846583697239e-06,0.020519871114038839,0
production_authorized,T2_material_state,5,4,150,150,4.4378336535046074e-05,0.0060304306608665922,5.9743615884455537e-06,0.014659397215006613,0
production_authorized,T2_material_state,5,4,151,151,3.7645531476386273e-05,0.0060304277572697899,5.9750409704406593e-06,0.0079323703533072075,0
production_authorized,T2_material_state,5,4,152,152,4.0937632510528672e-05,0.0060304238788376945,5.9757789283576557e-06,0.024227647863655985,0
production_authorized,T2_material_state,5,4,153,153,3.8861020017972549e-05,0.0060304204832857819,5.9765638541486865e-06,0.014468147079160713,0
production_authorized,T2_material_state,5,4,154,154,4.360371305302105e-05,0.0060304157474479793,5.9772864200446918e-06,0.026724593445875969,0
production_authorized,T2_material_state,5,4,155,155,3.7789797138794616e-05,0.0060304113737235741,5.9782943784281173e-06,0.015962864148195189,0
production_authorized,T2_material_state,5,4,156,156,3.7410541681995282e-05,0.0060304080171461787,5.9791527466934724e-06,0.0076479955882698958,0
production_authorized,T2_material_state,5,4,157,157,4.279448125252764e-05,0.006030405356651402,5.9799376392888348e-06,0.016146786946094685,0
production_authorized,T2_material_state,5,4,158,158,4.0821166597786796e-05,0.0060304022761059782,5.9806046958099657e-06,0.01672084792480328,0
production_authorized,T2_material_state,5,4,159,159,4.086410315500773e-05,0.0060303995271010803,5.9813323328716805e-06,0.020517696444212516,0
production_authorized,T2_material_state,5,4,160,160,3.7657533419524611e-05,0.0060303961136006692,5.982035533036445e-06,0.0076837124039743632,0
production_authorized,T2_material_state,5,4,161,161,3.9371884094623681e-05,0.0060303923076336224,5.9828297707120726e-06,0.021776067095709284,0
production_authorized,T2_material_state,5,4,162,162,4.0945418765614675e-05,0.0060303890097522447,5.983665206210631e-06,0.013135906925100208,0
production_authorized,T2_material_state,5,4,163,163,3.8106360454925061e-05,0.0060303856741631247,5.9843712219009859e-06,0.011404552415053944,0
production_authorized,T2_material_state,5,4,164,164,4.9781432989283672e-05,0.0060303842006325988,5.985150711595999e-06,0.02136680680470111,0
production_authorized,T2_material_state,5,4,165,165,4.3822872263008819e-05,0.0060303798920608095,5.9856333779473303e-06,0.026450367986390305,0
production_authorized,T2_material_state,5,4,166,166,3.88537702927889e-05,0.0060303761555456012,5.9865854385998674e-06,0.02603525556168549,0
production_authorized,T2_material_state,5,4,167,167,5.6155658790359633e-05,0.0060303746731374458,5.9872994336851448e-06,0.034059934958032952,0
production_authorized,T2_material_state,5,4,168,168,4.9352691032812879e-05,0.0060303706048853616,5.9877573957978214e-06,0.031780377013613963,0
production_authorized,T2_material_state,5,4,169,169,3.6618265398722334e-05,0.0060303666179551433,5.9887227445987179e-06,0.0074917189167897913,0
production_authorized,T2_material_state,5,4,170,170,4.0454680698121719e-05,0.0060303622210666217,5.9894931823123443e-06,0.027496268345154225,0
production_authorized,T2_material_state,5,4,171,171,3.7193003992885356e-05,0.0060303581808994929,5.990397668020897e-06,0.015326597893543818,0
production_authorized,T2_material_state,5,4,172,172,4.4998079929810809e-05,0.0060303563116196647,5.9912090297764564e-06,0.017867705490598997,0
production_authorized,T2_material_state,5,4,173,173,4.1334417710985227e-05,0.0060303525180187365,5.9917801588094122e-06,0.016266464045744944,0
production_authorized,T2_material_state,5,4,174,174,3.8847162448445621e-05,0.00603034874620266,5.9926226495532475e-06,0.010864159587032756,0
production_authorized,T2_material_state,5,4,175,175,4.0412561499255002e-05,0.0060303457226398779,5.9933856363381111e-06,0.019415657842743225,0
production_authorized,T2_material_state,5,4,176,176,4.1600621233621032e-05,0.0060303431019597745,5.9940790111401299e-06,0.01459148567813294,0
production_authorized,T2_material_state,5,4,177,177,3.7912746803461016e-05,0.0060303401106864005,5.9947569109874976e-06,0.0075994878042676683,0
production_authorized,T2_material_state,5,4,178,178,3.7400330116361853e-05,0.0060303366919828476,5.9954747454460389e-06,0.0089213262869948327,0
production_authorized,T2_material_state,5,4,179,179,4.0012288337831282e-05,0.0060303328883815049,5.9962219416398455e-06,0.023573626727107284,0
production_authorized,T2_material_state,5,4,180,180,4.274487090541248e-05,0.0060303288508545662,5.9970562529265692e-06,0.022738853513437633,0
production_authorized,T2_material_state,5,4,181,181,3.9760210694433761e-05,0.0060303252171749555,5.9977665013422055e-06,0.017745042404447322,0
production_authorized,T2_material_state,5,4,182,182,3.9303365744954423e-05,0.0060303222480251927,5.9985676258422771e-06,0.019933564264929211,0
production_authorized,T2_material_state,5,4,183,183,4.3146165806590947e-05,0.0060303199234310045,5.9992160262867245e-06,0.013119724534742814,0
production_authorized,T2_material_state,5,4,184,184,3.769506674511935e-05,0.0060303171111609783,5.9998135713001943e-06,0.0073156424425037114,0
production_authorized,T2_material_state,5,4,185,185,3.7343954979806976e-05,0.0060303140214331532,6.0004956307091462e-06,0.0073684748850691983,0
production_authorized,T2_material_state,5,4,186,186,4.1358305135335882e-05,0.0060303095824966882,6.0012008242793513e-06,0.022090642550102717,0
production_authorized,T2_material_state,5,4,187,187,3.7152875428090614e-05,0.0060303060545926889,6.0020851601061409e-06,0.013115663118428057,0
production_authorized,T2_material_state,5,4,188,188,3.7611008089901175e-05,0.006030302282633548,6.0028224728725377e-06,0.014976769143271415,0
production_authorized,T2_material_state,5,4,189,189,3.854562619581235e-05,0.0060302994367572834,6.0035856583873226e-06,0.014976769143271415,0
